Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Antonio Gates,San Diego Chargers,1,11,9,92,2,Away,Pittsburgh Steelers,5
Tyler Eifert,Cincinnati Bengals,1,12,8,90,2,Away,Seattle Seahawks,5
Gary Barnidge,Cleveland Browns,1,10,8,139,1,Home,Baltimore Ravens,5
Brent Celek,Philadelphia Eagles,1,3,3,44,1,Away,New Orleans Saints,5
Ben Watson,New Orleans Saints,1,5,3,36,1,Home,Philadelphia Eagles,5
Larry Donnell,New York Giants,1,7,6,35,1,Away,San Francisco 49ers,5
Jacob Tamme,Atlanta Falcons,1,10,8,94,0,Away,Washington Redskins,5
Derek Carrier,Washington Redskins,1,3,2,27,1,Home,Atlanta Falcons,5
Garrett Celek,San Francisco 49ers,1,5,3,26,1,Home,New York Giants,5
Darren Fells,Arizona Cardinals,1,2,2,25,1,Home,Detroit Lions,5
Rob Gronkowski,New England Patriots,1,5,4,67,0,Home,Dallas Cowboys,5
Zach Ertz,Philadelphia Eagles,1,7,5,60,0,Away,New Orleans Saints,5
Ladarius Green,San Diego Chargers,1,5,5,50,0,Away,Pittsburgh Steelers,5
Will Tye,New York Giants,1,4,4,48,0,Away,San Francisco 49ers,5
Heath Miller,Pittsburgh Steelers,1,3,3,46,0,Home,San Diego Chargers,5
Richard Rodgers,Green Bay Packers,1,8,6,45,0,Away,St. Louis Rams,5
Delanie Walker,Tennessee Titans,1,6,4,36,0,Away,Buffalo Bills,5
Travis Kelce,Kansas City Chiefs,1,6,3,35,0,Away,Chicago Bears,5
Brandon Myers,Tampa Bay Buccaneers,1,2,2,34,0,Away,Jacksonville Jaguars,5
Mychal Rivera,Oakland Raiders,1,3,3,33,0,Away,Denver Broncos,5
Clive Walford,Oakland Raiders,1,1,1,33,0,Away,Denver Broncos,5
Jason Witten,Dallas Cowboys,1,6,5,33,0,Away,New England Patriots,5
Martellus Bennett,Chicago Bears,1,11,4,32,0,Home,Kansas City Chiefs,5
Jimmy Graham,Seattle Seahawks,1,5,3,30,0,Home,Cincinnati Bengals,5
Brandon Pettigrew,Detroit Lions,1,5,3,29,0,Away,Arizona Cardinals,5
Nick Boyle,Baltimore Ravens,1,3,3,27,0,Away,Cleveland Browns,5
Dwayne Allen,Indianapolis Colts,1,1,1,21,0,Home,Houston Texans,5
Julius Thomas,Jacksonville Jaguars,1,2,2,20,0,Home,Tampa Bay Buccaneers,5
Luke Willson,Seattle Seahawks,1,3,2,17,0,Home,Cincinnati Bengals,5
Lance Kendricks,St. Louis Rams,1,3,2,16,0,Home,Green Bay Packers,5
Tim Wright,Detroit Lions,1,5,3,12,0,Away,Arizona Cardinals,5
Coby Fleener,Indianapolis Colts,1,3,2,9,0,Home,Houston Texans,5
Vance McDonald,San Francisco 49ers,1,3,2,9,0,Home,New York Giants,5
Jared Cook,St. Louis Rams,1,6,1,8,0,Home,Green Bay Packers,5
Garrett Graham,Houston Texans,1,1,1,8,0,Away,Indianapolis Colts,5
Charles Clay,Buffalo Bills,1,3,1,7,0,Home,Tennessee Titans,5
Jim Dray,Cleveland Browns,1,1,1,7,0,Home,Baltimore Ravens,5
Blake Bell,San Francisco 49ers,1,1,1,6,0,Home,New York Giants,5
Robert Housler,Cleveland Browns,1,1,1,6,0,Home,Baltimore Ravens,5
C.J. Fiedorowicz,Houston Texans,1,1,1,4,0,Away,Indianapolis Colts,5
Michael Hoomanawanui,New Orleans Saints,1,2,2,4,0,Home,Philadelphia Eagles,5
Craig Stevens,Tennessee Titans,1,2,1,1,0,Away,Buffalo Bills,5
Darren Waller,Baltimore Ravens,1,2,1,1,0,Away,Cleveland Browns,5
Owen Daniels,Denver Broncos,1,5,0,0,0,Home,Oakland Raiders,5
Jack Doyle,Indianapolis Colts,1,2,1,0,0,Home,Houston Texans,5
Gavin Escobar,Dallas Cowboys,1,2,0,0,0,Away,New England Patriots,5
Anthony Fasano,Tennessee Titans,1,1,0,0,0,Away,Buffalo Bills,5
Jermaine Gresham,Arizona Cardinals,1,1,0,0,0,Home,Detroit Lions,5
Josh Hill,New Orleans Saints,1,1,0,0,0,Home,Philadelphia Eagles,5
Khari Lee,Chicago Bears,1,1,0,0,0,Home,Kansas City Chiefs,5
Marcedes Lewis,Jacksonville Jaguars,1,4,0,0,0,Home,Tampa Bay Buccaneers,5
Zach Miller,Chicago Bears,1,1,0,0,0,Home,Kansas City Chiefs,5
Matt Spaeth,Pittsburgh Steelers,1,1,0,0,0,Home,San Diego Chargers,5
Maxx Williams,Baltimore Ravens,1,1,1,0,0,Away,Cleveland Browns,5
