Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
A.J. Green,Cincinnati Bengals,1,13,10,227,2,0,0,0,Home,Baltimore Ravens,3
Steve Smith,Baltimore Ravens,1,17,13,186,2,0,0,0,Away,Cincinnati Bengals,3
Julio Jones,Atlanta Falcons,1,20,12,164,2,0,0,0,Home,Dallas Cowboys,3
Randall Cobb,Green Bay Packers,1,12,7,91,3,1,12,0,Away,Kansas City Chiefs,3
Larry Fitzgerald,Arizona Cardinals,1,11,9,134,2,0,0,0,Away,San Francisco 49ers,3
Keenan Allen,San Diego Chargers,1,18,12,133,2,0,0,0,Home,Minnesota Vikings,3
Rishard Matthews,Miami Dolphins,1,10,6,113,2,0,0,0,Away,Buffalo Bills,3
Jeremy Maclin,Kansas City Chiefs,1,11,8,141,1,0,0,0,Home,Green Bay Packers,3
James Jones,Green Bay Packers,1,8,7,139,1,0,0,0,Away,Kansas City Chiefs,3
Rueben Randle,New York Giants,1,7,7,116,1,0,0,0,Away,Washington Redskins,3
Brandon Marshall,New York Jets,1,14,10,109,1,0,0,0,Away,Philadelphia Eagles,3
Kendall Wright,Tennessee Titans,1,12,7,95,1,1,13,0,Away,Indianapolis Colts,3
DeAndre Hopkins,Houston Texans,1,14,8,101,1,0,0,0,Away,Tampa Bay Buccaneers,3
Marvin Jones,Cincinnati Bengals,1,8,5,94,1,0,0,0,Home,Baltimore Ravens,3
Demaryius Thomas,Denver Broncos,1,13,9,92,1,0,0,0,Home,Detroit Lions,3
Odell Beckham Jr.,New York Giants,1,9,7,79,1,0,0,0,Away,Washington Redskins,3
Amari Cooper,Oakland Raiders,1,11,8,134,0,0,0,0,Home,Cleveland Browns,3
Allen Hurns,Jacksonville Jaguars,1,4,2,70,1,0,0,0,Home,New England Patriots,3
Seth Roberts,Oakland Raiders,1,5,3,56,1,0,0,0,Home,Cleveland Browns,3
Antonio Brown,Pittsburgh Steelers,1,13,11,108,0,0,0,0,Home,St. Louis Rams,3
Travis Benjamin,Cleveland Browns,1,10,4,45,1,0,0,0,Away,Oakland Raiders,3
Phillip Dorsett,Indianapolis Colts,1,3,2,43,1,0,0,0,Home,Tennessee Titans,3
Kenny Britt,St. Louis Rams,1,10,7,102,0,0,0,0,Away,Pittsburgh Steelers,3
Chris Hogan,Buffalo Bills,1,4,3,42,1,0,0,0,Home,Miami Dolphins,3
Mike Evans,Tampa Bay Buccaneers,1,17,7,101,0,0,0,0,Home,Houston Texans,3
Danny Amendola,New England Patriots,1,5,5,39,1,0,0,0,Away,Jacksonville Jaguars,3
Brian Hartline,Cleveland Browns,1,7,5,96,0,0,0,0,Away,Oakland Raiders,3
T.Y. Hilton,Indianapolis Colts,1,7,4,94,0,0,0,0,Home,Tennessee Titans,3
Ted Ginn Jr.,Carolina Panthers,1,6,4,93,0,0,0,0,Away,New Orleans Saints,3
Jeremy Kerley,New York Jets,1,11,6,33,1,0,0,0,Away,Philadelphia Eagles,3
Keshawn Martin,New England Patriots,1,3,3,33,1,0,0,0,Away,Jacksonville Jaguars,3
