Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Odell Beckham Jr.,New York Giants,1,9,8,130,3,0,0,0,Home,New Orleans Saints,8
Tavon Austin,St. Louis Rams,1,7,4,98,1,3,21,1,Away,San Francisco 49ers,8
Julio Jones,Atlanta Falcons,1,13,12,162,1,0,0,0,Away,Tampa Bay Buccaneers,8
Malcom Floyd,San Diego Chargers,1,6,4,92,2,0,0,0,Home,Baltimore Ravens,8
Brandin Cooks,New Orleans Saints,1,8,6,88,2,1,-3,0,Away,New York Giants,8
Julian Edelman,New England Patriots,1,9,7,81,2,0,0,0,Away,Miami Dolphins,8
Willie Snead,New Orleans Saints,1,8,7,76,2,0,0,0,Away,New York Giants,8
A.J. Green,Cincinnati Bengals,1,17,11,118,1,0,0,0,Home,Pittsburgh Steelers,8
Alshon Jeffery,Chicago Bears,1,15,10,116,1,0,0,0,Away,Minnesota Vikings,8
Marques Colston,New Orleans Saints,1,9,8,114,1,0,0,0,Away,New York Giants,8
Andre Holmes,Oakland Raiders,1,3,2,54,2,0,0,0,Away,New York Jets,8
Demaryius Thomas,Denver Broncos,1,11,8,168,0,0,0,0,Away,Green Bay Packers,8
Michael Floyd,Arizona Cardinals,1,8,4,106,1,0,0,0,Home,Cleveland Browns,8
Michael Crabtree,Oakland Raiders,1,12,7,102,1,0,0,0,Away,New York Jets,8
Dwayne Harris,New York Giants,1,7,3,37,2,0,0,0,Home,New Orleans Saints,8
Stefon Diggs,Minnesota Vikings,1,12,6,95,1,0,0,0,Home,Chicago Bears,8
DeAndre Hopkins,Houston Texans,1,11,8,94,1,0,0,0,Away,Tennessee Titans,8
Brian Hartline,Cleveland Browns,1,10,4,32,2,0,0,0,Away,Arizona Cardinals,8
Larry Fitzgerald,Arizona Cardinals,1,11,9,84,1,0,0,0,Home,Cleveland Browns,8
Andre Johnson,Indianapolis Colts,1,8,4,81,1,0,0,0,Home,Carolina Panthers,8
Nate Washington,Houston Texans,1,6,4,74,1,0,0,0,Away,Tennessee Titans,8
Eric Decker,New York Jets,1,7,6,60,1,0,0,0,Home,Oakland Raiders,8
Philly Brown,Carolina Panthers,1,5,3,42,1,1,14,0,Away,Indianapolis Colts,8
Brandon Marshall,New York Jets,1,18,9,108,0,0,0,0,Home,Oakland Raiders,8
Antonio Brown,Pittsburgh Steelers,1,11,6,47,1,0,0,0,Away,Cincinnati Bengals,8
Keenan Allen,San Diego Chargers,1,5,5,35,1,0,0,0,Home,Baltimore Ravens,8
Jeremy Maclin,Kansas City Chiefs,1,5,3,35,1,0,0,0,Away,Detroit Lions,8
Lance Moore,Detroit Lions,1,3,3,29,1,0,0,0,Home,Kansas City Chiefs,8
