Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
David Johnson,Arizona Cardinals,1,29,187,3,4,4,42,0,Home,Philadelphia Eagles,15
Danny Woodhead,San Diego Chargers,1,8,10,1,6,6,50,3,Away,Miami Dolphins,15
Rashad Jennings,New York Giants,1,16,107,1,3,1,0,0,Away,Carolina Panthers,15
Matt Forte,Chicago Bears,1,8,47,0,7,6,57,1,Home,Minnesota Vikings,15
Joique Bell,Detroit Lions,1,8,71,1,3,2,30,0,Home,New Orleans Saints,15
Devonta Freeman,Atlanta Falcons,1,25,56,1,10,7,45,0,Home,Jacksonville Jaguars,15
Jeremy Hill,Cincinnati Bengals,1,19,31,2,1,0,0,0,Home,San Francisco 49ers,15
Ameer Abdullah,Detroit Lions,1,9,77,1,2,2,12,0,Home,New Orleans Saints,15
Jerick McKinnon,Minnesota Vikings,1,7,10,0,4,4,76,1,Away,Chicago Bears,15
Charcandrick West,Kansas City Chiefs,1,16,76,1,2,2,9,0,Home,Baltimore Ravens,15
Mike Gillislee,Buffalo Bills,1,4,81,1,2,2,2,0,Home,Washington Redskins,15
Todd Gurley,St. Louis Rams,1,21,48,1,2,2,31,0,Away,Tampa Bay Buccaneers,15
Bilal Powell,New York Jets,1,6,25,1,7,7,54,0,Home,Dallas Cowboys,15
James White,New England Patriots,1,1,6,0,8,7,71,1,Away,Tennessee Titans,15
Shane Vereen,New York Giants,1,4,29,0,10,8,43,1,Away,Carolina Panthers,15
DeAngelo Williams,Pittsburgh Steelers,1,14,26,1,6,5,30,0,Away,Denver Broncos,15
Darren McFadden,Dallas Cowboys,1,16,100,0,3,2,13,0,Away,New York Jets,15
Alfred Blue,Houston Texans,1,20,107,0,0,0,0,0,Home,Indianapolis Colts,15
Donald Brown,San Diego Chargers,1,12,90,0,3,2,14,0,Away,Miami Dolphins,15
Jay Ajayi,Miami Dolphins,1,6,27,1,3,1,15,0,Home,San Diego Chargers,15
Doug Martin,Tampa Bay Buccaneers,1,18,91,0,2,1,6,0,Home,St. Louis Rams,15
Cameron Artis-Payne,Carolina Panthers,1,14,59,0,2,2,34,0,Home,New York Giants,15
Kyle Juszczyk,Baltimore Ravens,1,0,0,0,6,5,26,1,Away,Kansas City Chiefs,15
Tim Hightower,New Orleans Saints,1,13,54,0,4,3,31,0,Away,Detroit Lions,15
