Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Antonio Brown,Pittsburgh Steelers,1,17,13,187,1,0,0,0,Home,Cleveland Browns,17
Calvin Johnson,Detroit Lions,1,15,10,137,1,0,0,0,Home,Chicago Bears,17
Brandon Marshall,New York Jets,1,16,8,126,1,0,0,0,Home,Buffalo Bills,17
Devin Funchess,Carolina Panthers,1,8,7,120,1,0,0,0,Away,Tampa Bay Buccaneers,17
Demaryius Thomas,Denver Broncos,1,9,5,117,1,0,0,0,Away,San Diego Chargers,17
Jordan Matthews,Philadelphia Eagles,1,9,7,54,2,0,0,0,Home,New York Giants,17
Cole Beasley,Dallas Cowboys,1,7,5,53,2,0,0,0,Away,Washington Redskins,17
Terrance Williams,Dallas Cowboys,1,9,8,173,0,0,0,0,Away,Washington Redskins,17
Jamison Crowder,Washington Redskins,1,7,5,109,1,0,0,0,Home,Dallas Cowboys,17
DeVante Parker,Miami Dolphins,1,6,5,106,1,0,0,0,Away,New England Patriots,17
Tyrell Williams,San Diego Chargers,1,5,2,90,1,0,0,0,Home,Denver Broncos,17
Julio Jones,Atlanta Falcons,1,11,9,149,0,0,0,0,Away,New Orleans Saints,17
Rueben Randle,New York Giants,1,7,4,79,1,0,0,0,Away,Philadelphia Eagles,17
Sammy Watkins,Buffalo Bills,1,15,11,136,0,0,0,0,Away,New York Jets,17
Jeremy Maclin,Kansas City Chiefs,1,4,3,54,1,1,18,0,Away,Oakland Raiders,17
Anquan Boldin,San Francisco 49ers,1,8,5,71,1,0,0,0,Away,St. Louis Rams,17
Rashad Ross,Washington Redskins,1,3,2,71,1,0,0,0,Home,Dallas Cowboys,17
Markus Wheaton,Pittsburgh Steelers,1,5,3,57,1,0,0,0,Home,Cleveland Browns,17
Larry Fitzgerald,Arizona Cardinals,1,7,6,55,1,0,0,0,Away,Seattle Seahawks,17
Jerricho Cotchery,Carolina Panthers,1,2,2,52,1,0,0,0,Away,Tampa Bay Buccaneers,17
Eric Decker,New York Jets,1,9,5,50,1,0,0,0,Home,Buffalo Bills,17
Josh Bellamy,Chicago Bears,1,4,3,49,1,0,0,0,Away,Detroit Lions,17
Pierre Garcon,Washington Redskins,1,4,3,49,1,0,0,0,Home,Dallas Cowboys,17
Allen Robinson,Jacksonville Jaguars,1,9,5,108,0,0,0,0,Home,Houston Texans,17
Andre Johnson,Indianapolis Colts,1,6,4,46,1,0,0,0,Away,Tennessee Titans,17
James Jones,Green Bay Packers,1,13,4,102,0,0,0,0,Away,Minnesota Vikings,17
Mike Evans,Tampa Bay Buccaneers,1,9,4,99,0,0,0,0,Home,Carolina Panthers,17
Emmanuel Sanders,Denver Broncos,1,8,5,99,0,0,0,0,Away,San Diego Chargers,17
Michael Crabtree,Oakland Raiders,1,7,3,34,1,0,0,0,Home,Kansas City Chiefs,17
A.J. Green,Cincinnati Bengals,1,5,4,34,1,0,0,0,Away,Baltimore Ravens,17
Jermaine Kearse,Seattle Seahawks,1,3,3,34,1,0,0,0,Home,Arizona Cardinals,17
DeAndre Hopkins,Houston Texans,1,12,7,89,0,0,0,0,Away,Jacksonville Jaguars,17
Adam Thielen,Minnesota Vikings,1,1,1,16,0,2,67,0,Home,Green Bay Packers,17
Kenny Britt,St. Louis Rams,1,5,3,81,0,0,0,0,Home,San Francisco 49ers,17
Brandon Coleman,New Orleans Saints,1,8,5,81,0,0,0,0,Home,Atlanta Falcons,17
Dorial Green-Beckham,Tennessee Titans,1,5,2,21,1,0,0,0,Home,Indianapolis Colts,17
Ryan Grant,Washington Redskins,1,4,3,18,1,0,0,0,Home,Dallas Cowboys,17
Jarvis Landry,Miami Dolphins,1,11,6,72,0,2,6,0,Away,New England Patriots,17
Marc Mariani,Chicago Bears,1,8,6,80,0,1,-3,0,Away,Detroit Lions,17
Kamar Aiken,Baltimore Ravens,1,13,5,76,0,0,0,0,Home,Cincinnati Bengals,17
Darrius Heyward-Bey,Pittsburgh Steelers,1,5,2,74,0,0,0,0,Home,Cleveland Browns,17
Greg Jennings,Miami Dolphins,1,5,4,74,0,0,0,0,Away,New England Patriots,17
Tavon Austin,St. Louis Rams,1,8,5,30,0,6,32,0,Home,San Francisco 49ers,17
Torrey Smith,San Francisco 49ers,1,8,5,61,0,0,0,0,Away,St. Louis Rams,17
Brice Butler,Dallas Cowboys,1,10,4,60,0,0,0,0,Away,Washington Redskins,17
Philly Brown,Carolina Panthers,1,6,3,58,0,0,0,0,Away,Tampa Bay Buccaneers,17
Jeremy Butler,Baltimore Ravens,1,8,6,57,0,0,0,0,Home,Cincinnati Bengals,17
Jaelen Strong,Houston Texans,1,7,6,56,0,0,0,0,Away,Jacksonville Jaguars,17
Davante Adams,Green Bay Packers,1,6,4,54,0,0,0,0,Away,Minnesota Vikings,17
Odell Beckham Jr.,New York Giants,1,7,5,54,0,0,0,0,Away,Philadelphia Eagles,17
Travis Benjamin,Cleveland Browns,1,11,5,53,0,1,0,0,Away,Pittsburgh Steelers,17
Chris Matthews,Baltimore Ravens,1,5,4,51,0,0,0,0,Home,Cincinnati Bengals,17
Jordan Norwood,Denver Broncos,1,4,3,48,0,0,0,0,Away,San Diego Chargers,17
