Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Kawann Short,Carolina Panthers,1,6,2,3.0,1,0,1,0,Away,Philadelphia Eagles
Michael Bennett,Seattle Seahawks,1,4,1,3.5,0,0,0,0,Home,San Francisco 49ers
Cameron Wake,Miami Dolphins,1,2,0,2.0,1,0,2,0,Away,Houston Texans
William Hayes,St. Louis Rams,1,2,1,2.0,0,0,2,0,Away,Cleveland Browns
Ndamukong Suh,Miami Dolphins,1,5,1,2.0,2,0,0,0,Away,Houston Texans
J.J. Watt,Houston Texans,1,6,1,2.0,0,0,0,0,Home,Miami Dolphins
Cliff Avril,Seattle Seahawks,1,4,1,1.5,0,0,1,0,Home,San Francisco 49ers
Aaron Lynch,San Francisco 49ers,1,5,0,2.0,0,0,0,0,Away,Seattle Seahawks
Cameron Jordan,New Orleans Saints,1,2,0,2.0,2,0,0,0,Home,Indianapolis Colts
Jadeveon Clowney,Houston Texans,1,7,1,1.0,0,0,0,0,Home,Miami Dolphins
Sheldon Richardson,New York Jets,1,4,1,1.0,0,0,1,0,Home,New England Patriots
Ziggy Ansah,Detroit Lions,1,4,0,1.0,0,0,1,0,Away,Minnesota Vikings
Chris Clemons,Jacksonville Jaguars,1,2,0,0.0,0,0,0,1,Away,Buffalo Bills
Caraun Reid,Detroit Lions,1,5,1,1.0,0,0,0,0,Away,Minnesota Vikings
Andre Branch,Jacksonville Jaguars,1,2,0,1.0,0,0,1,0,Away,Buffalo Bills
Jacquies Smith,Tampa Bay Buccaneers,1,2,0,1.0,0,0,1,0,Home,Washington Redskins
Jared Allen,Carolina Panthers,1,2,3,1.0,1,0,0,0,Away,Philadelphia Eagles
Aaron Donald,St. Louis Rams,1,3,0,1.0,1,0,0,0,Away,Cleveland Browns
Howard Jones,Tampa Bay Buccaneers,1,0,0,0.0,0,0,0,1,Home,Washington Redskins
Everson Griffen,Minnesota Vikings,1,1,1,1.5,0,0,0,0,Home,Detroit Lions
Cameron Heyward,Pittsburgh Steelers,1,3,1,1.0,0,0,0,0,Home,Kansas City Chiefs
Devon Kennard,New York Giants,1,7,0,0.0,0,0,0,0,Away,Dallas Cowboys
Jared Crick,Houston Texans,1,3,1,0.0,0,0,1,0,Home,Miami Dolphins
Quinton Dial,San Francisco 49ers,1,2,1,1.0,0,0,0,0,Away,Seattle Seahawks
Greg Hardy,Dallas Cowboys,1,2,1,1.0,0,0,0,0,Home,New York Giants
Thomas Johnson,Minnesota Vikings,1,2,1,1.0,0,0,0,0,Home,Detroit Lions
Kendall Langford,Indianapolis Colts,1,2,1,1.0,0,0,0,0,Away,New Orleans Saints
George Selvie,New York Giants,1,3,3,0.5,0,0,0,0,Away,Dallas Cowboys
David Bass,Tennessee Titans,1,0,0,0.0,1,1,0,0,Away,Atlanta Falcons
Jack Crawford,Dallas Cowboys,1,2,0,1.0,0,0,0,0,Home,New York Giants
Corey Liuget,San Diego Chargers,1,6,0,0.0,0,0,0,0,Away,Oakland Raiders
Robert Mathis,Indianapolis Colts,1,2,0,1.0,0,0,0,0,Away,New Orleans Saints
Haloti Ngata,Detroit Lions,1,2,0,1.0,0,0,0,0,Away,Minnesota Vikings
O'Brien Schofield,Atlanta Falcons,1,2,0,1.0,0,0,0,0,Home,Tennessee Titans
Muhammad Wilkerson,New York Jets,1,1,0,1.0,1,0,0,0,Home,New England Patriots
Mario Williams,Buffalo Bills,1,2,0,1.0,0,0,0,0,Home,Jacksonville Jaguars
Mario Addison,Carolina Panthers,1,1,1,1.0,0,0,0,0,Away,Philadelphia Eagles
Chris Baker,Washington Redskins,1,1,5,0.0,0,0,0,1,Away,Tampa Bay Buccaneers
Nick Fairley,St. Louis Rams,1,3,1,0.0,0,0,0,1,Away,Cleveland Browns
Linval Joseph,Minnesota Vikings,1,5,1,0.0,0,0,0,0,Home,Detroit Lions
Rob Ninkovich,New England Patriots,1,1,1,0.0,4,0,0,0,Away,New York Jets
Frostee Rucker,Arizona Cardinals,1,1,1,1.0,0,0,0,0,Away,Baltimore Ravens
Randy Starks,Cleveland Browns,1,1,1,1.0,0,0,0,0,Home,St. Louis Rams
Tyson Alualu,Jacksonville Jaguars,1,1,0,1.0,0,0,0,0,Away,Buffalo Bills
Desmond Bryant,Cleveland Browns,1,1,0,1.0,0,0,0,0,Home,St. Louis Rams
Calais Campbell,Arizona Cardinals,1,5,0,0.0,0,0,0,0,Away,Baltimore Ravens
Chris Canty,Baltimore Ravens,1,4,2,0.0,0,0,0,0,Home,Arizona Cardinals
Jackson Jeffcoat,Washington Redskins,1,2,0,0.0,0,0,1,0,Away,Tampa Bay Buccaneers
Abry Jones,Jacksonville Jaguars,1,1,0,1.0,0,0,0,0,Away,Buffalo Bills
Clinton McDonald,Tampa Bay Buccaneers,1,4,2,0.0,0,0,0,0,Home,Washington Redskins
