Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Rashad Jennings,New York Giants,1,27,170,1,5,2,6,0,Away,Philadelphia Eagles,17
Ronnie Hillman,Denver Broncos,1,15,117,1,3,2,10,0,Away,San Diego Chargers,17
Jeremy Hill,Cincinnati Bengals,1,16,96,1,3,2,19,0,Away,Baltimore Ravens,17
Jonathan Grimes,Houston Texans,1,4,26,1,5,4,28,1,Away,Jacksonville Jaguars,17
Matt Forte,Chicago Bears,1,17,76,0,3,3,34,1,Away,Detroit Lions,17
Tim Hightower,New Orleans Saints,1,16,66,1,5,5,41,0,Home,Atlanta Falcons,17
Devonta Freeman,Atlanta Falcons,1,24,81,0,4,2,18,1,Away,New Orleans Saints,17
DuJuan Harris,San Francisco 49ers,1,16,67,0,12,8,86,0,Away,St. Louis Rams,17
C.J. Anderson,Denver Broncos,1,15,95,1,3,1,-5,0,Away,San Diego Chargers,17
Darren McFadden,Dallas Cowboys,1,12,92,0,8,5,53,0,Away,Washington Redskins,17
Spencer Ware,Kansas City Chiefs,1,16,76,1,0,0,0,0,Away,Oakland Raiders,17
David Cobb,Tennessee Titans,1,19,73,1,0,0,0,0,Home,Indianapolis Colts,17
DeMarco Murray,Philadelphia Eagles,1,12,69,1,1,0,0,0,Home,New York Giants,17
Adrian Peterson,Minnesota Vikings,1,19,67,1,1,1,1,0,Home,Green Bay Packers,17
Cameron Artis-Payne,Carolina Panthers,1,14,44,1,2,2,17,0,Away,Tampa Bay Buccaneers,17
Steven Jackson,New England Patriots,1,14,35,1,1,1,20,0,Home,Miami Dolphins,17
Doug Martin,Tampa Bay Buccaneers,1,15,48,0,7,7,60,0,Home,Carolina Panthers,17
Alfred Blue,Houston Texans,1,21,102,0,1,1,2,0,Away,Jacksonville Jaguars,17
Tre Mason,St. Louis Rams,1,18,44,1,0,0,0,0,Home,San Francisco 49ers,17
Darren Sproles,Philadelphia Eagles,1,3,24,1,3,3,20,0,Home,New York Giants,17
Christine Michael,Seattle Seahawks,1,17,102,0,1,0,0,0,Home,Arizona Cardinals,17
Alfred Morris,Washington Redskins,1,19,100,0,0,0,0,0,Home,Dallas Cowboys,17
Donald Brown,San Diego Chargers,1,21,81,0,3,2,10,0,Home,Denver Broncos,17
