Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Larry Fitzgerald,Arizona Cardinals,1,9,8,112,3,0,0,0,Home,Chicago Bears,2
Allen Robinson,Jacksonville Jaguars,1,12,6,155,2,0,0,0,Away,Miami Dolphins,2
Antonio Brown,Pittsburgh Steelers,1,11,9,195,1,0,0,0,Away,San Francisco 49ers,2
Travis Benjamin,Cleveland Browns,1,4,3,115,2,0,0,0,Away,Tennessee Titans,2
Julian Edelman,New England Patriots,1,19,11,97,2,1,12,0,Home,Buffalo Bills,2
Emmanuel Sanders,Denver Broncos,1,14,8,87,2,1,0,0,Home,Kansas City Chiefs,2
Odell Beckham Jr.,New York Giants,1,12,7,146,1,0,0,0,Away,Atlanta Falcons,2
Donte Moncrief,Indianapolis Colts,1,8,7,122,1,0,0,0,Away,New York Jets,2
Torrey Smith,San Francisco 49ers,1,7,6,120,1,0,0,0,Home,Pittsburgh Steelers,2
Michael Crabtree,Oakland Raiders,1,16,9,111,1,0,0,0,Away,Baltimore Ravens,2
Amari Cooper,Oakland Raiders,1,11,7,109,1,0,0,0,Away,Baltimore Ravens,2
Brandon Marshall,New York Jets,1,10,7,101,1,0,0,0,Home,Indianapolis Colts,2
Eric Decker,New York Jets,1,11,8,97,1,0,0,0,Home,Indianapolis Colts,2
Doug Baldwin,Seattle Seahawks,1,8,7,92,1,0,0,0,Home,Green Bay Packers,2
Steve Smith,Baltimore Ravens,1,16,10,150,0,0,0,0,Home,Oakland Raiders,2
Terrance Williams,Dallas Cowboys,1,7,4,84,1,0,0,0,Home,Philadelphia Eagles,2
Calvin Johnson,Detroit Lions,1,17,10,83,1,0,0,0,Home,Minnesota Vikings,2
Jordan Matthews,Philadelphia Eagles,1,9,6,80,1,0,0,0,Away,Dallas Cowboys,2
Leonard Hankerson,Atlanta Falcons,1,11,6,77,1,0,0,0,Home,New York Giants,2
Darrius Heyward-Bey,Pittsburgh Steelers,1,5,4,77,1,0,0,0,Away,San Francisco 49ers,2
Julio Jones,Atlanta Falcons,1,15,13,135,0,0,0,0,Home,New York Giants,2
Anquan Boldin,San Francisco 49ers,1,10,6,60,1,0,0,0,Home,Pittsburgh Steelers,2
Sammy Watkins,Buffalo Bills,1,8,6,60,1,0,0,0,Away,New England Patriots,2
Robert Woods,Buffalo Bills,1,3,3,60,1,0,0,0,Away,New England Patriots,2
Philly Brown,Carolina Panthers,1,4,3,57,1,0,0,0,Away,Houston Texans,2
Randall Cobb,Green Bay Packers,1,11,8,116,0,0,0,0,Away,Seattle Seahawks,2
Jarvis Landry,Miami Dolphins,1,10,8,110,0,1,6,0,Home,Jacksonville Jaguars,2
Demaryius Thomas,Denver Broncos,1,14,8,116,0,0,0,0,Home,Kansas City Chiefs,2
Malcom Floyd,San Diego Chargers,1,4,2,55,1,0,0,0,Home,Cincinnati Bengals,2
Rishard Matthews,Miami Dolphins,1,7,6,115,0,0,0,0,Home,Jacksonville Jaguars,2
Vincent Jackson,Tampa Bay Buccaneers,1,5,3,54,1,0,0,0,Home,New Orleans Saints,2
Marvin Jones,Cincinnati Bengals,1,5,2,48,1,1,3,0,Away,San Diego Chargers,2
Josh Bellamy,Chicago Bears,1,2,1,48,1,0,0,0,Away,Arizona Cardinals,2
A.J. Green,Cincinnati Bengals,1,4,3,45,1,0,0,0,Away,San Diego Chargers,2
Steve Johnson,San Diego Chargers,1,6,5,45,1,0,0,0,Home,Cincinnati Bengals,2
Kenny Britt,St. Louis Rams,1,4,2,44,1,0,0,0,Home,Washington Redskins,2
Willie Snead,New Orleans Saints,1,6,4,44,1,0,0,0,Away,Tampa Bay Buccaneers,2
Ted Ginn Jr.,Carolina Panthers,1,9,4,41,1,0,0,0,Away,Houston Texans,2
Kamar Aiken,Baltimore Ravens,1,7,5,89,0,0,0,0,Home,Oakland Raiders,2
James Jones,Green Bay Packers,1,3,1,29,1,0,0,0,Away,Seattle Seahawks,2
Aaron Dobson,New England Patriots,1,8,7,87,0,0,0,0,Home,Buffalo Bills,2
Pierre Garcon,Washington Redskins,1,7,6,23,1,0,0,0,Away,St. Louis Rams,2
Louis Murphy,Tampa Bay Buccaneers,1,4,3,82,0,0,0,0,Home,New Orleans Saints,2
Jaron Brown,Arizona Cardinals,1,3,2,20,1,0,0,0,Home,Chicago Bears,2
Golden Tate,Detroit Lions,1,10,6,80,0,0,0,0,Home,Minnesota Vikings,2
Dorial Green-Beckham,Tennessee Titans,1,2,1,13,1,0,0,0,Home,Cleveland Browns,2
Seth Roberts,Oakland Raiders,1,1,1,12,1,0,0,0,Away,Baltimore Ravens,2
Marques Colston,New Orleans Saints,1,5,4,69,0,0,0,0,Away,Tampa Bay Buccaneers,2
Allen Hurns,Jacksonville Jaguars,1,4,4,68,0,0,0,0,Away,Miami Dolphins,2
Markus Wheaton,Pittsburgh Steelers,1,4,2,67,0,0,0,0,Away,San Francisco 49ers,2
Nate Washington,Houston Texans,1,8,3,63,0,0,0,0,Home,Carolina Panthers,2
Brandin Cooks,New Orleans Saints,1,7,5,62,0,1,-4,0,Away,Tampa Bay Buccaneers,2
Percy Harvin,Buffalo Bills,1,5,4,47,0,1,7,0,Away,New England Patriots,2
DeAndre Hopkins,Houston Texans,1,11,5,53,0,0,0,0,Home,Carolina Panthers,2
Jeremy Maclin,Kansas City Chiefs,1,7,4,57,0,2,-5,0,Away,Denver Broncos,2
Andre Holmes,Oakland Raiders,1,4,3,50,0,0,0,0,Away,Baltimore Ravens,2
Tavon Austin,St. Louis Rams,1,3,1,6,0,4,40,0,Home,Washington Redskins,2
Jarius Wright,Minnesota Vikings,1,2,1,17,0,1,29,0,Away,Detroit Lions,2
John Brown,Arizona Cardinals,1,5,5,45,0,0,0,0,Home,Chicago Bears,2
Ryan Grant,Washington Redskins,1,6,3,45,0,0,0,0,Away,St. Louis Rams,2
T.Y. Hilton,Indianapolis Colts,1,7,4,45,0,0,0,0,Away,New York Jets,2
Andrew Hawkins,Cleveland Browns,1,4,3,43,0,0,0,0,Away,Tennessee Titans,2
Eddie Royal,Chicago Bears,1,8,7,41,0,0,0,0,Away,Arizona Cardinals,2
Marqise Lee,Jacksonville Jaguars,1,4,2,27,0,1,12,0,Away,Miami Dolphins,2
Mike Wallace,Minnesota Vikings,1,3,3,38,0,0,0,0,Away,Detroit Lions,2
Ty Montgomery,Green Bay Packers,1,4,4,37,0,0,0,0,Away,Seattle Seahawks,2
Cameron Meredith,Chicago Bears,1,4,3,36,0,0,0,0,Away,Arizona Cardinals,2
Justin Hunter,Tennessee Titans,1,2,2,34,0,0,0,0,Home,Cleveland Browns,2
Cecil Shorts,Houston Texans,1,12,6,34,0,0,0,0,Home,Carolina Panthers,2
Davante Adams,Green Bay Packers,1,5,5,33,0,0,0,0,Away,Seattle Seahawks,2
Brandon Coleman,New Orleans Saints,1,6,3,33,0,0,0,0,Away,Tampa Bay Buccaneers,2
Danny Amendola,New England Patriots,1,2,1,29,0,1,3,0,Home,Buffalo Bills,2
Nelson Agholor,Philadelphia Eagles,1,6,3,31,0,0,0,0,Away,Dallas Cowboys,2
Quincy Enunwa,New York Jets,1,3,1,27,0,0,0,0,Home,Indianapolis Colts,2
Andre Johnson,Indianapolis Colts,1,7,3,27,0,0,0,0,Away,New York Jets,2
Phillip Dorsett,Indianapolis Colts,1,6,1,25,0,0,0,0,Away,New York Jets,2
Quinton Patton,San Francisco 49ers,1,4,4,25,0,0,0,0,Home,Pittsburgh Steelers,2
Josh Huff,Philadelphia Eagles,1,3,2,20,0,0,0,0,Away,Dallas Cowboys,2
Devin Street,Dallas Cowboys,1,2,1,18,0,0,0,0,Home,Philadelphia Eagles,2
DeAndrew White,San Francisco 49ers,1,2,2,18,0,0,0,0,Home,Pittsburgh Steelers,2
Tyler Lockett,Seattle Seahawks,1,2,2,17,0,0,0,0,Home,Green Bay Packers,2
Preston Parker,New York Giants,1,6,3,17,0,0,0,0,Away,Atlanta Falcons,2
Kendall Wright,Tennessee Titans,1,4,2,17,0,0,0,0,Home,Cleveland Browns,2
Keenan Allen,San Diego Chargers,1,4,2,16,0,0,0,0,Home,Cincinnati Bengals,2
Devin Funchess,Carolina Panthers,1,4,1,15,0,0,0,0,Away,Houston Texans,2
Mohamed Sanu,Cincinnati Bengals,1,2,1,15,0,0,0,0,Away,San Diego Chargers,2
Chandler Worthy,Houston Texans,1,2,2,15,0,0,0,0,Home,Carolina Panthers,2
Cole Beasley,Dallas Cowboys,1,5,4,14,0,0,0,0,Home,Philadelphia Eagles,2
Lance Moore,Detroit Lions,1,6,3,14,0,0,0,0,Home,Minnesota Vikings,2
Jordan Norwood,Denver Broncos,1,5,3,14,0,0,0,0,Home,Kansas City Chiefs,2
Chris Matthews,Seattle Seahawks,1,2,1,13,0,0,0,0,Home,Green Bay Packers,2
Marlon Brown,Baltimore Ravens,1,4,2,12,0,0,0,0,Home,Oakland Raiders,2
Nick Williams,Atlanta Falcons,1,1,1,12,0,0,0,0,Home,New York Giants,2
Jerricho Cotchery,Carolina Panthers,1,1,1,11,0,0,0,0,Away,Houston Texans,2
Chris Hogan,Buffalo Bills,1,1,1,11,0,0,0,0,Away,New England Patriots,2
Charles Johnson,Minnesota Vikings,1,3,3,10,0,0,0,0,Away,Detroit Lions,2
Marquess Wilson,Chicago Bears,1,5,1,10,0,0,0,0,Away,Arizona Cardinals,2
