Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Andre Johnson,Indianapolis Colts,1,2,1,13,0,0,0,0,Home,Atlanta Falcons,11
Jordan Matthews,Philadelphia Eagles,1,4,4,13,0,0,0,0,Away,Tampa Bay Buccaneers,11
Nate Washington,Houston Texans,1,6,2,13,0,0,0,0,Away,New York Jets,11
Wes Welker,St. Louis Rams,1,4,2,13,0,0,0,0,Home,Baltimore Ravens,11
Nelson Agholor,Philadelphia Eagles,1,4,3,11,0,0,0,0,Away,Tampa Bay Buccaneers,11
Marc Mariani,Chicago Bears,1,1,1,10,0,0,0,0,Away,Denver Broncos,11
Jordan Norwood,Denver Broncos,1,1,1,8,0,0,0,0,Home,Chicago Bears,11
Justin Hardy,Atlanta Falcons,1,2,1,7,0,0,0,0,Away,Indianapolis Colts,11
Cameron Meredith,Chicago Bears,1,1,1,6,0,0,0,0,Away,Denver Broncos,11
Mike Wallace,Minnesota Vikings,1,2,0,0,0,1,6,0,Away,Green Bay Packers,11
Jamison Crowder,Washington Redskins,1,1,1,5,0,0,0,0,Home,Carolina Panthers,11
Amari Cooper,Oakland Raiders,1,4,1,4,0,0,0,0,Home,Detroit Lions,11
Rashad Greene,Jacksonville Jaguars,1,1,1,2,0,0,0,0,Away,Tennessee Titans,11
Miles Austin,Philadelphia Eagles,1,1,0,0,0,0,0,0,Away,Tampa Bay Buccaneers,11
Bruce Ellington,San Francisco 49ers,1,2,0,0,0,0,0,0,Home,Seattle Seahawks,11
Chris Harper,New England Patriots,1,1,0,0,0,0,0,0,Away,Buffalo Bills,11
Andre Holmes,Oakland Raiders,1,1,0,0,0,0,0,0,Home,Detroit Lions,11
Jeff Janis,Green Bay Packers,1,2,0,0,0,0,0,0,Home,Minnesota Vikings,11
Greg Jennings,Miami Dolphins,1,1,0,0,0,0,0,0,Away,Dallas Cowboys,11
Rico Richardson,Tennessee Titans,1,2,0,0,0,0,0,0,Home,Jacksonville Jaguars,11
Devin Smith,New York Jets,1,4,0,0,0,0,0,0,Home,Houston Texans,11
Jaelen Strong,Houston Texans,1,1,0,0,0,0,0,0,Away,New York Jets,11
Adam Thielen,Minnesota Vikings,1,1,0,0,0,0,0,0,Away,Green Bay Packers,11
Tyrell Williams,San Diego Chargers,1,1,0,0,0,0,0,0,Away,Kansas City Chiefs,11
