Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Phil Dawson,San Francisco 49ers,1,4,4,100.0%,1,1,Away,St. Louis Rams
Josh Brown,New York Giants,1,3,3,100.0%,3,3,Away,Philadelphia Eagles
Travis Coons,Cleveland Browns,1,4,4,100.0%,0,0,Away,Pittsburgh Steelers
Steve Hauschka,Seattle Seahawks,1,3,4,75.0%,3,4,Home,Arizona Cardinals
Nick Novak,Houston Texans,1,3,4,75.0%,3,3,Away,Jacksonville Jaguars
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,3,3,Away,Tennessee Titans
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,1,2,Away,New York Jets
Dustin Hopkins,Washington Redskins,1,2,2,100.0%,4,4,Home,Dallas Cowboys
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,1,1,Home,Cincinnati Bengals
Greg Zuerlein,St. Louis Rams,1,3,5,60.0%,1,1,Home,San Francisco 49ers
Brandon McManus,Denver Broncos,1,2,2,100.0%,3,3,Away,San Diego Chargers
Chris Boswell,Pittsburgh Steelers,1,2,3,66.7%,2,2,Home,Cleveland Browns
Kai Forbath,New Orleans Saints,1,2,2,100.0%,2,2,Home,Atlanta Falcons
Andrew Franks,Miami Dolphins,1,2,3,66.7%,2,2,Away,New England Patriots
Graham Gano,Carolina Panthers,1,1,1,100.0%,5,5,Away,Tampa Bay Buccaneers
Robbie Gould,Chicago Bears,1,2,2,100.0%,2,2,Away,Detroit Lions
Josh Lambo,San Diego Chargers,1,2,2,100.0%,2,2,Home,Denver Broncos
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,2,2,Home,Green Bay Packers
Mason Crosby,Green Bay Packers,1,2,2,100.0%,1,1,Away,Minnesota Vikings
Jason Myers,Jacksonville Jaguars,1,2,2,100.0%,0,0,Home,Houston Texans
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,3,3,Away,Baltimore Ravens
Matt Prater,Detroit Lions,1,1,2,50.0%,3,3,Home,Chicago Bears
Ryan Succop,Tennessee Titans,1,1,1,100.0%,3,3,Home,Indianapolis Colts
Randy Bullock,New York Jets,1,1,2,50.0%,2,2,Home,Buffalo Bills
Shayne Graham,Atlanta Falcons,1,1,2,50.0%,2,2,Away,New Orleans Saints
Sebastian Janikowski,Oakland Raiders,1,1,1,100.0%,2,2,Home,Kansas City Chiefs
Caleb Sturgis,Philadelphia Eagles,1,0,0,0.0%,5,5,Home,New York Giants
Connor Barth,Tampa Bay Buccaneers,1,1,1,100.0%,1,1,Home,Carolina Panthers
Stephen Gostkowski,New England Patriots,1,1,2,50.0%,1,1,Home,Miami Dolphins
Dan Bailey,Dallas Cowboys,1,0,0,0.0%,3,3,Away,Washington Redskins
Cairo Santos,Kansas City Chiefs,1,0,0,0.0%,3,3,Away,Oakland Raiders
Chandler Catanzaro,Arizona Cardinals,1,0,1,0.0%,0,1,Away,Seattle Seahawks
