Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Dustin Hopkins,Washington Redskins,1,4,4,100.0%,5,5,Away,New Orleans Saints
Cairo Santos,Kansas City Chiefs,1,5,6,83.3%,2,2,Home,Denver Broncos
Josh Brown,New York Giants,1,4,4,100.0%,2,2,Away,New England Patriots
Chandler Catanzaro,Arizona Cardinals,1,3,3,100.0%,4,4,Home,Seattle Seahawks
Robbie Gould,Chicago Bears,1,3,3,100.0%,4,4,Home,St. Louis Rams
Blair Walsh,Minnesota Vikings,1,3,5,60.0%,3,3,Home,Oakland Raiders
Chris Boswell,Pittsburgh Steelers,1,3,3,100.0%,1,2,Away,Cleveland Browns
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,1,2,Home,New York Jets
Jason Myers,Jacksonville Jaguars,1,3,4,75.0%,1,1,Home,Baltimore Ravens
Graham Gano,Carolina Panthers,1,2,2,100.0%,3,3,Home,Tennessee Titans
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Home,New York Giants
Andrew Franks,Miami Dolphins,1,2,2,100.0%,2,2,Home,Philadelphia Eagles
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Away,Arizona Cardinals
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,1,1,Away,Chicago Bears
Dan Bailey,Dallas Cowboys,1,2,3,66.7%,0,0,Home,Tampa Bay Buccaneers
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,0,0,Away,Houston Texans
Matt Prater,Detroit Lions,1,2,2,100.0%,0,2,Home,Green Bay Packers
Randy Bullock,New York Jets,1,1,1,100.0%,2,2,Away,Buffalo Bills
Caleb Sturgis,Philadelphia Eagles,1,1,2,50.0%,2,2,Away,Miami Dolphins
Connor Barth,Tampa Bay Buccaneers,1,1,2,50.0%,1,1,Away,Dallas Cowboys
Mason Crosby,Green Bay Packers,1,1,2,50.0%,1,1,Away,Detroit Lions
Nick Novak,Houston Texans,1,1,1,100.0%,1,1,Home,Cincinnati Bengals
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,1,Away,Carolina Panthers
Travis Coons,Cleveland Browns,1,1,1,100.0%,0,1,Home,Pittsburgh Steelers
Kai Forbath,New Orleans Saints,1,0,0,0.0%,2,2,Home,Washington Redskins
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,2,2,Away,Minnesota Vikings
Justin Tucker,Baltimore Ravens,1,0,1,0.0%,2,2,Away,Jacksonville Jaguars
Brandon McManus,Denver Broncos,1,0,0,0.0%,1,1,Away,Kansas City Chiefs
