Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Josh Brown,New York Giants,1,4,4,100.0%,2,2,Home,Tampa Bay Buccaneers
Graham Gano,Carolina Panthers,1,3,4,75.0%,4,4,Away,Green Bay Packers
Connor Barth,Tampa Bay Buccaneers,1,4,5,80.0%,0,0,Away,New York Giants
Chris Boswell,Pittsburgh Steelers,1,3,4,75.0%,3,3,Away,Oakland Raiders
Greg Zuerlein,St. Louis Rams,1,4,5,80.0%,0,0,Home,Minnesota Vikings
Jason Myers,Jacksonville Jaguars,1,3,3,100.0%,2,2,Home,New York Jets
Matt Bryant,Atlanta Falcons,1,3,3,100.0%,1,1,Home,San Francisco 49ers
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,3,3,Away,Philadelphia Eagles
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Away,Washington Redskins
Caleb Sturgis,Philadelphia Eagles,1,2,2,100.0%,3,3,Home,Dallas Cowboys
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,3,3,Away,Denver Broncos
Ryan Succop,Tennessee Titans,1,2,3,66.7%,2,2,Home,New Orleans Saints
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,4,4,Away,Miami Dolphins
Josh Lambo,San Diego Chargers,1,2,2,100.0%,1,2,Away,Chicago Bears
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,4,4,Away,Cleveland Browns
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,1,1,Away,St. Louis Rams
Brandon McManus,Denver Broncos,1,1,1,100.0%,3,3,Home,Indianapolis Colts
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,2,2,Away,Atlanta Falcons
Andrew Franks,Miami Dolphins,1,1,1,100.0%,2,2,Home,Buffalo Bills
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,5,5,Home,Pittsburgh Steelers
Travis Coons,Cleveland Browns,1,1,1,100.0%,1,1,Home,Cincinnati Bengals
Kai Forbath,New Orleans Saints,1,0,1,0.0%,4,4,Away,Tennessee Titans
Dustin Hopkins,Washington Redskins,1,1,1,100.0%,1,1,Home,New England Patriots
Mason Crosby,Green Bay Packers,1,0,0,0.0%,3,3,Home,Carolina Panthers
Robbie Gould,Chicago Bears,1,0,2,0.0%,2,2,Home,San Diego Chargers
