Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Kirk Cousins,Washington Redskins,1,33,40,317,3,0,3,15,1,Away,Tampa Bay Buccaneers,7
Tom Brady,New England Patriots,1,34,54,355,2,0,4,15,1,Away,New York Jets,7
Andrew Luck,Indianapolis Colts,1,23,44,333,3,2,3,27,0,Away,New Orleans Saints,7
Ryan Tannehill,Miami Dolphins,1,18,19,282,4,0,1,3,0,Away,Houston Texans,7
Philip Rivers,San Diego Chargers,1,38,58,336,3,2,0,0,0,Away,Oakland Raiders,7
Derek Carr,Oakland Raiders,1,24,31,289,3,0,2,3,0,Home,San Diego Chargers,7
EJ Manuel,Buffalo Bills,1,24,42,298,2,2,8,38,0,Home,Jacksonville Jaguars,7
Ryan Fitzpatrick,New York Jets,1,22,39,295,2,0,5,29,0,Home,New England Patriots,7
Brian Hoyer,Houston Texans,1,23,49,273,3,1,0,0,0,Home,Miami Dolphins,7
Teddy Bridgewater,Minnesota Vikings,1,25,35,316,2,0,3,1,0,Home,Detroit Lions,7
Jameis Winston,Tampa Bay Buccaneers,1,21,29,297,2,0,1,5,0,Home,Washington Redskins,7
Carson Palmer,Arizona Cardinals,1,20,29,275,2,0,2,2,0,Away,Baltimore Ravens,7
Cam Newton,Carolina Panthers,1,14,24,197,1,3,4,20,1,Away,Philadelphia Eagles,7
Matthew Stafford,Detroit Lions,1,18,26,256,2,0,1,5,0,Away,Minnesota Vikings,7
Russell Wilson,Seattle Seahawks,1,18,24,235,1,2,7,20,0,Home,San Francisco 49ers,7
Alex Smith,Kansas City Chiefs,1,21,32,251,1,0,3,5,0,Away,Pittsburgh Steelers,7
Blake Bortles,Jacksonville Jaguars,1,13,29,182,2,1,5,-3,0,Away,Buffalo Bills,7
Joe Flacco,Baltimore Ravens,1,26,40,252,1,1,0,0,0,Home,Arizona Cardinals,7
Drew Brees,New Orleans Saints,1,28,44,255,1,1,4,-4,0,Home,Indianapolis Colts,7
Matt Ryan,Atlanta Falcons,1,22,38,251,1,2,2,-3,0,Home,Tennessee Titans,7
Matt Cassel,Dallas Cowboys,1,17,27,227,1,3,1,4,0,Home,New York Giants,7
Josh McCown,Cleveland Browns,1,26,32,270,0,0,4,21,0,Home,St. Louis Rams,7
Landry Jones,Pittsburgh Steelers,1,16,29,209,1,2,1,-2,0,Home,Kansas City Chiefs,7
Zach Mettenberger,Tennessee Titans,1,22,35,187,1,2,1,0,0,Away,Atlanta Falcons,7
Sam Bradford,Philadelphia Eagles,1,26,46,205,0,1,3,6,0,Home,Carolina Panthers,7
Eli Manning,New York Giants,1,13,24,170,0,0,4,-4,0,Away,Dallas Cowboys,7
Nick Foles,St. Louis Rams,1,15,23,163,0,0,2,-2,0,Away,Cleveland Browns,7
Colin Kaepernick,San Francisco 49ers,1,13,24,124,0,0,0,0,0,Away,Seattle Seahawks,7
Johnny Manziel,Cleveland Browns,1,4,5,27,0,0,1,5,0,Home,St. Louis Rams,7
Luke McCown,New Orleans Saints,1,1,1,25,0,0,0,0,0,Home,Indianapolis Colts,7
Matt Moore,Miami Dolphins,1,1,1,14,0,0,3,-2,0,Away,Houston Texans,7
