Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Justin Tucker,Baltimore Ravens,1,5,5,100.0%,2,2,Away,San Diego Chargers
Adam Vinatieri,Indianapolis Colts,1,4,4,100.0%,2,2,Home,Carolina Panthers
Dan Bailey,Dallas Cowboys,1,4,4,100.0%,0,0,Away,Seattle Seahawks
Connor Barth,Tampa Bay Buccaneers,1,3,3,100.0%,2,2,Home,Atlanta Falcons
Graham Gano,Carolina Panthers,1,3,3,100.0%,2,3,Away,Indianapolis Colts
Blair Walsh,Minnesota Vikings,1,3,3,100.0%,2,2,Home,Chicago Bears
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,4,4,Home,Cleveland Browns
Kai Forbath,New Orleans Saints,1,1,1,100.0%,7,7,Away,New York Giants
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,4,4,Away,Miami Dolphins
Sebastian Janikowski,Oakland Raiders,1,2,3,66.7%,4,4,Away,New York Jets
Mike Nugent,Cincinnati Bengals,1,3,4,75.0%,1,1,Home,Pittsburgh Steelers
Brandon McManus,Denver Broncos,1,2,2,100.0%,3,3,Away,Green Bay Packers
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,6,6,Away,Detroit Lions
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,2,2,Away,Tampa Bay Buccaneers
Nick Folk,New York Jets,1,2,2,100.0%,2,2,Home,Oakland Raiders
Robbie Gould,Chicago Bears,1,2,3,66.7%,2,2,Away,Minnesota Vikings
Josh Lambo,San Diego Chargers,1,2,2,100.0%,2,3,Home,Baltimore Ravens
Nick Novak,Houston Texans,1,2,2,100.0%,2,2,Away,Tennessee Titans
Josh Brown,New York Giants,1,0,0,0.0%,7,7,Home,New Orleans Saints
Steve Hauschka,Seattle Seahawks,1,2,3,66.7%,1,1,Home,Dallas Cowboys
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,0,0,Home,St. Louis Rams
Ryan Succop,Tennessee Titans,1,2,2,100.0%,0,0,Home,Houston Texans
Greg Zuerlein,St. Louis Rams,1,1,2,50.0%,2,2,Away,San Francisco 49ers
Chris Boswell,Pittsburgh Steelers,1,1,1,100.0%,1,1,Away,Cincinnati Bengals
Mason Crosby,Green Bay Packers,1,1,1,100.0%,1,1,Home,Denver Broncos
Matt Prater,Detroit Lions,1,1,1,100.0%,1,1,Home,Kansas City Chiefs
Travis Coons,Cleveland Browns,1,0,0,0.0%,2,3,Away,Arizona Cardinals
Andrew Franks,Miami Dolphins,1,0,1,0.0%,1,1,Home,New England Patriots
