Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Devonta Freeman,Atlanta Falcons,1,14,68,3,6,5,81,0,Away,Houston Texans,4
Chris Ivory,New York Jets,1,29,166,1,2,0,0,0,Home,Miami Dolphins,4
Jeremy Hill,Cincinnati Bengals,1,9,40,3,0,0,0,0,Away,Kansas City Chiefs,4
Le'Veon Bell,Pittsburgh Steelers,1,22,129,1,7,7,21,0,Away,Baltimore Ravens,4
Doug Martin,Tampa Bay Buccaneers,1,20,106,1,5,5,37,0,Away,Carolina Panthers,4
Duke Johnson,Cleveland Browns,1,8,31,0,10,9,85,1,Home,San Diego Chargers,4
C.J. Spiller,New Orleans Saints,1,2,10,0,5,5,99,1,Away,Dallas Cowboys,4
Ronnie Hillman,Denver Broncos,1,11,103,1,1,1,5,0,Away,Minnesota Vikings,4
Todd Gurley,St. Louis Rams,1,19,146,0,2,2,15,0,Home,Arizona Cardinals,4
Matt Forte,Chicago Bears,1,25,91,0,4,4,64,0,Away,Oakland Raiders,4
Adrian Peterson,Minnesota Vikings,1,16,81,1,6,4,13,0,Home,Denver Broncos,4
Rashad Jennings,New York Giants,1,9,38,0,2,2,54,1,Home,Buffalo Bills,4
Justin Forsett,Baltimore Ravens,1,27,150,0,1,0,0,0,Home,Pittsburgh Steelers,4
Terron Ward,Atlanta Falcons,1,19,72,1,1,1,18,0,Away,Houston Texans,4
Jamaal Charles,Kansas City Chiefs,1,11,75,0,6,6,70,0,Home,Cincinnati Bengals,4
David Johnson,Arizona Cardinals,1,3,18,0,10,4,63,1,Away,St. Louis Rams,4
Danny Woodhead,San Diego Chargers,1,8,54,0,4,4,84,0,Away,Cleveland Browns,4
Karlos Williams,Buffalo Bills,1,18,40,0,4,3,30,1,Away,New York Giants,4
Mark Ingram,New Orleans Saints,1,17,77,0,7,6,51,0,Away,Dallas Cowboys,4
Isaiah Crowell,Cleveland Browns,1,12,63,0,3,3,62,0,Home,San Diego Chargers,4
Giovani Bernard,Cincinnati Bengals,1,13,62,1,0,0,0,0,Away,Kansas City Chiefs,4
Charles Sims,Tampa Bay Buccaneers,1,6,23,0,5,3,30,1,Away,Carolina Panthers,4
Chris Polk,Houston Texans,1,3,27,1,4,3,23,0,Home,Atlanta Falcons,4
T.J. Yeldon,Jacksonville Jaguars,1,22,105,0,3,2,4,0,Home,Indianapolis Colts,4
Roy Helu,Oakland Raiders,1,5,22,0,2,2,13,1,Home,Chicago Bears,4
Chris Johnson,Arizona Cardinals,1,16,83,0,3,3,11,0,Away,St. Louis Rams,4
Eddie Lacy,Green Bay Packers,1,18,90,0,3,1,3,0,Home,San Francisco 49ers,4
Frank Gore,Indianapolis Colts,1,17,53,0,7,5,34,0,Away,Jacksonville Jaguars,4
Joseph Randle,Dallas Cowboys,1,11,26,1,0,0,0,0,Home,New Orleans Saints,4
Zac Stacy,New York Jets,1,5,7,1,3,2,18,0,Home,Miami Dolphins,4
Khiry Robinson,New Orleans Saints,1,6,16,1,4,2,5,0,Away,Dallas Cowboys,4
Chris Thompson,Washington Redskins,1,6,53,0,3,2,24,0,Away,Philadelphia Eagles,4
C.J. Anderson,Denver Broncos,1,11,43,0,1,1,27,0,Away,Minnesota Vikings,4
John Kuhn,Green Bay Packers,1,1,1,1,1,1,8,0,Home,San Francisco 49ers,4
Alfred Morris,Washington Redskins,1,17,62,0,3,2,3,0,Away,Philadelphia Eagles,4
Latavius Murray,Oakland Raiders,1,16,49,0,5,3,12,0,Home,Chicago Bears,4
Lance Dunbar,Dallas Cowboys,1,3,54,0,0,0,0,0,Home,New Orleans Saints,4
Fred Jackson,Seattle Seahawks,1,3,21,0,4,2,33,0,Away,Detroit Lions,4
Jonathan Stewart,Carolina Panthers,1,10,50,0,0,0,0,0,Home,Tampa Bay Buccaneers,4
DeMarco Murray,Philadelphia Eagles,1,8,36,0,2,2,12,0,Home,Washington Redskins,4
Thomas Rawls,Seattle Seahawks,1,17,48,0,1,1,-1,0,Away,Detroit Lions,4
Melvin Gordon,San Diego Chargers,1,12,38,0,2,2,8,0,Away,Cleveland Browns,4
Ameer Abdullah,Detroit Lions,1,13,33,0,5,2,11,0,Home,Seattle Seahawks,4
James Starks,Green Bay Packers,1,9,28,0,2,2,11,0,Home,San Francisco 49ers,4
Lamar Miller,Miami Dolphins,1,7,26,0,2,1,10,0,Away,New York Jets,4
Theo Riddick,Detroit Lions,1,1,5,0,5,5,31,0,Home,Seattle Seahawks,4
Arian Foster,Houston Texans,1,8,10,0,5,3,25,0,Home,Atlanta Falcons,4
Andre Williams,New York Giants,1,11,35,0,1,0,0,0,Home,Buffalo Bills,4
Darren McFadden,Dallas Cowboys,1,10,31,0,0,0,0,0,Home,New Orleans Saints,4
Rex Burkhead,Cincinnati Bengals,1,0,0,0,1,1,27,0,Away,Kansas City Chiefs,4
Cameron Artis-Payne,Carolina Panthers,1,8,25,0,0,0,0,0,Home,Tampa Bay Buccaneers,4
Lorenzo Taliaferro,Baltimore Ravens,1,3,13,0,1,1,11,0,Home,Pittsburgh Steelers,4
Carlos Hyde,San Francisco 49ers,1,8,20,0,1,1,2,0,Away,Green Bay Packers,4
Shane Vereen,New York Giants,1,5,21,0,0,0,0,0,Home,Buffalo Bills,4
Charcandrick West,Kansas City Chiefs,1,5,17,0,3,1,4,0,Home,Cincinnati Bengals,4
