Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Doug Martin,Tampa Bay Buccaneers,1,24,123,2,3,3,35,1,Away,Jacksonville Jaguars,5
Devonta Freeman,Atlanta Falcons,1,27,153,1,8,7,44,0,Away,Washington Redskins,5
Justin Forsett,Baltimore Ravens,1,21,121,1,5,4,49,0,Away,Cleveland Browns,5
Thomas Rawls,Seattle Seahawks,1,23,169,1,0,0,0,0,Home,Cincinnati Bengals,5
Le'Veon Bell,Pittsburgh Steelers,1,21,111,1,5,4,16,0,Home,San Diego Chargers,5
DeMarco Murray,Philadelphia Eagles,1,20,83,1,8,7,37,0,Away,New Orleans Saints,5
Shane Vereen,New York Giants,1,5,24,0,8,8,86,1,Away,San Francisco 49ers,5
Matt Forte,Chicago Bears,1,18,71,0,7,5,38,1,Home,Kansas City Chiefs,5
Todd Gurley,St. Louis Rams,1,30,159,0,0,0,0,0,Home,Green Bay Packers,5
Frank Gore,Indianapolis Colts,1,22,98,1,0,0,0,0,Home,Houston Texans,5
Carlos Hyde,San Francisco 49ers,1,21,93,1,5,1,4,0,Home,New York Giants,5
Ryan Mathews,Philadelphia Eagles,1,8,73,1,3,3,23,0,Away,New Orleans Saints,5
Dion Lewis,New England Patriots,1,6,34,0,11,8,59,1,Home,Dallas Cowboys,5
Isaiah Crowell,Cleveland Browns,1,13,49,0,2,2,38,1,Home,Baltimore Ravens,5
Charles Sims,Tampa Bay Buccaneers,1,12,51,0,4,4,85,0,Away,Jacksonville Jaguars,5
David Johnson,Arizona Cardinals,1,3,6,2,0,0,0,0,Home,Detroit Lions,5
Andre Ellington,Arizona Cardinals,1,3,63,1,0,0,0,0,Home,Detroit Lions,5
T.J. Yeldon,Jacksonville Jaguars,1,11,32,0,6,5,31,1,Home,Tampa Bay Buccaneers,5
Arian Foster,Houston Texans,1,19,41,0,10,9,77,0,Away,Indianapolis Colts,5
Marcel Reece,Oakland Raiders,1,1,6,0,8,7,49,1,Away,Denver Broncos,5
Antonio Andrews,Tennessee Titans,1,7,9,1,4,3,45,0,Away,Buffalo Bills,5
Theo Riddick,Detroit Lions,1,0,0,0,13,10,53,1,Away,Arizona Cardinals,5
Chris Johnson,Arizona Cardinals,1,11,103,0,0,0,0,0,Home,Detroit Lions,5
Giovani Bernard,Cincinnati Bengals,1,15,80,0,8,5,21,0,Away,Seattle Seahawks,5
Matt Jones,Washington Redskins,1,11,20,1,2,1,17,0,Home,Atlanta Falcons,5
Melvin Gordon,San Diego Chargers,1,15,42,0,9,7,52,0,Away,Pittsburgh Steelers,5
Kyle Juszczyk,Baltimore Ravens,1,0,0,0,6,3,31,1,Away,Cleveland Browns,5
De'Anthony Thomas,Kansas City Chiefs,1,1,5,0,3,2,24,1,Away,Chicago Bears,5
Jamaal Charles,Kansas City Chiefs,1,12,58,0,4,1,26,0,Away,Chicago Bears,5
Darren McFadden,Dallas Cowboys,1,5,16,0,10,9,62,0,Away,New England Patriots,5
Duke Johnson,Cleveland Browns,1,9,22,0,8,6,55,0,Home,Baltimore Ravens,5
Danny Woodhead,San Diego Chargers,1,4,10,0,7,5,66,0,Away,Pittsburgh Steelers,5
LeGarrette Blount,New England Patriots,1,13,74,0,0,0,0,0,Home,Dallas Cowboys,5
Mark Ingram,New Orleans Saints,1,12,57,0,3,2,17,0,Home,Philadelphia Eagles,5
Joseph Randle,Dallas Cowboys,1,15,60,0,4,4,13,0,Away,New England Patriots,5
Rashad Jennings,New York Giants,1,11,46,0,4,4,21,0,Away,San Francisco 49ers,5
Javorius Allen,Baltimore Ravens,1,8,58,0,1,0,0,0,Away,Cleveland Browns,5
Latavius Murray,Oakland Raiders,1,13,39,0,4,3,18,0,Away,Denver Broncos,5
Chris Thompson,Washington Redskins,1,3,15,0,7,6,33,0,Home,Atlanta Falcons,5
James Starks,Green Bay Packers,1,5,17,0,6,3,29,0,Away,St. Louis Rams,5
Bishop Sankey,Tennessee Titans,1,7,20,0,3,3,23,0,Away,Buffalo Bills,5
C.J. Anderson,Denver Broncos,1,11,22,0,2,2,18,0,Home,Oakland Raiders,5
Anthony Dixon,Buffalo Bills,1,7,19,0,3,3,20,0,Home,Tennessee Titans,5
Darren Sproles,Philadelphia Eagles,1,5,27,0,2,1,10,0,Away,New Orleans Saints,5
Zach Zenner,Detroit Lions,1,10,30,0,2,1,7,0,Away,Arizona Cardinals,5
Charcandrick West,Kansas City Chiefs,1,7,31,0,2,1,5,0,Away,Chicago Bears,5
Eddie Lacy,Green Bay Packers,1,13,27,0,1,1,8,0,Away,St. Louis Rams,5
Fred Jackson,Seattle Seahawks,1,2,5,0,3,3,29,0,Home,Cincinnati Bengals,5
Alfred Blue,Houston Texans,1,6,22,0,1,1,11,0,Away,Indianapolis Colts,5
Khiry Robinson,New Orleans Saints,1,5,30,0,2,2,2,0,Home,Philadelphia Eagles,5
Benny Cunningham,St. Louis Rams,1,0,0,0,2,2,28,0,Home,Green Bay Packers,5
Dan Herron,Buffalo Bills,1,9,28,0,0,0,0,0,Home,Tennessee Titans,5
Ameer Abdullah,Detroit Lions,1,6,17,0,2,1,9,0,Away,Arizona Cardinals,5
Ronnie Hillman,Denver Broncos,1,7,21,0,2,1,5,0,Home,Oakland Raiders,5
Jeremy Hill,Cincinnati Bengals,1,8,13,0,2,1,12,0,Away,Seattle Seahawks,5
Bruce Miller,San Francisco 49ers,1,0,0,0,2,2,23,0,Home,New York Giants,5
Chris Polk,Houston Texans,1,1,5,0,3,2,17,0,Away,Indianapolis Colts,5
DeAngelo Williams,Pittsburgh Steelers,1,5,20,0,0,0,0,0,Home,San Diego Chargers,5
Stepfan Taylor,Arizona Cardinals,1,4,19,0,1,0,0,0,Home,Detroit Lions,5
Roy Helu,Oakland Raiders,1,3,6,0,6,3,12,0,Away,Denver Broncos,5
Dexter McCluster,Tennessee Titans,1,8,20,0,1,1,-2,0,Away,Buffalo Bills,5
Juwan Thompson,Denver Broncos,1,0,0,0,1,1,16,0,Home,Oakland Raiders,5
Alfred Morris,Washington Redskins,1,8,15,0,0,0,0,0,Home,Atlanta Falcons,5
Jamize Olawale,Oakland Raiders,1,6,13,0,0,0,0,0,Away,Denver Broncos,5
Jeremy Langford,Chicago Bears,1,2,-2,0,2,1,14,0,Home,Kansas City Chiefs,5
Josh Robinson,Indianapolis Colts,1,3,6,0,1,1,6,0,Home,Houston Texans,5
Jarryd Hayne,San Francisco 49ers,1,2,9,0,0,0,0,0,Home,New York Giants,5
Zurlon Tipton,Indianapolis Colts,1,2,9,0,1,0,0,0,Home,Houston Texans,5
Tre Mason,St. Louis Rams,1,2,8,0,0,0,0,0,Home,Green Bay Packers,5
Michael Burton,Detroit Lions,1,0,0,0,1,1,6,0,Away,Arizona Cardinals,5
Christine Michael,Dallas Cowboys,1,1,6,0,0,0,0,0,Away,New England Patriots,5
Bernard Pierce,Jacksonville Jaguars,1,2,6,0,0,0,0,0,Home,Tampa Bay Buccaneers,5
Rod Smith,Seattle Seahawks,1,2,5,0,0,0,0,0,Home,Cincinnati Bengals,5
Tevin Coleman,Atlanta Falcons,1,2,3,0,0,0,0,0,Away,Washington Redskins,5
John Kuhn,Green Bay Packers,1,1,3,0,1,0,0,0,Away,St. Louis Rams,5
Jacquizz Rodgers,Chicago Bears,1,2,3,0,0,0,0,0,Home,Kansas City Chiefs,5
Cierre Wood,Buffalo Bills,1,2,3,0,0,0,0,0,Home,Tennessee Titans,5
Knile Davis,Kansas City Chiefs,1,2,2,0,0,0,0,0,Away,Chicago Bears,5
Jerome Felton,Buffalo Bills,1,1,2,0,0,0,0,0,Home,Tennessee Titans,5
