Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Cam Newton,Carolina Panthers,1,25,45,340,5,0,8,100,0,Home,New York Giants,15
Kirk Cousins,Washington Redskins,1,22,28,319,4,0,3,11,1,Away,Buffalo Bills,15
Teddy Bridgewater,Minnesota Vikings,1,17,20,231,4,0,4,17,1,Away,Chicago Bears,15
Brock Osweiler,Denver Broncos,1,21,44,296,3,1,5,19,1,Home,Pittsburgh Steelers,15
Ben Roethlisberger,Pittsburgh Steelers,1,40,55,380,3,2,3,-3,0,Away,Denver Broncos,15
Drew Brees,New Orleans Saints,1,34,52,341,3,0,1,11,0,Away,Detroit Lions,15
Blake Bortles,Jacksonville Jaguars,1,23,38,297,1,1,6,44,1,Away,Atlanta Falcons,15
Russell Wilson,Seattle Seahawks,1,21,30,249,3,0,5,46,0,Away,Cleveland Browns,15
Eli Manning,New York Giants,1,29,46,245,4,1,1,4,0,Away,Carolina Panthers,15
Tyrod Taylor,Buffalo Bills,1,16,27,235,2,0,9,79,0,Home,Washington Redskins,15
Philip Rivers,San Diego Chargers,1,26,36,311,3,2,0,0,0,Away,Miami Dolphins,15
Jameis Winston,Tampa Bay Buccaneers,1,29,50,363,2,1,2,5,0,Home,St. Louis Rams,15
Sam Bradford,Philadelphia Eagles,1,28,41,361,2,2,1,4,0,Away,Arizona Cardinals,15
Derek Carr,Oakland Raiders,1,23,47,276,2,2,4,42,0,Away,Green Bay Packers,15
Jimmy Clausen,Baltimore Ravens,1,26,45,281,2,2,5,30,0,Away,Kansas City Chiefs,15
Matthew Stafford,Detroit Lions,1,22,25,254,3,0,4,-1,0,Home,New Orleans Saints,15
Tom Brady,New England Patriots,1,23,35,267,2,0,0,0,0,Away,Tennessee Titans,15
Zach Mettenberger,Tennessee Titans,1,20,28,242,2,2,2,5,0,Home,New England Patriots,15
Ryan Fitzpatrick,New York Jets,1,26,39,299,1,1,5,13,0,Home,Dallas Cowboys,15
Blaine Gabbert,San Francisco 49ers,1,30,50,295,1,3,2,10,0,Away,Cincinnati Bengals,15
Jay Cutler,Chicago Bears,1,26,37,231,2,1,1,1,0,Home,Minnesota Vikings,15
Case Keenum,St. Louis Rams,1,14,17,234,2,0,3,-3,0,Away,Tampa Bay Buccaneers,15
Carson Palmer,Arizona Cardinals,1,20,32,274,1,0,0,0,0,Home,Philadelphia Eagles,15
Ryan Tannehill,Miami Dolphins,1,20,34,216,0,0,3,4,1,Home,San Diego Chargers,15
Matt Ryan,Atlanta Falcons,1,22,35,246,1,1,3,0,0,Home,Jacksonville Jaguars,15
Alex Smith,Kansas City Chiefs,1,21,25,171,1,0,4,17,0,Home,Baltimore Ravens,15
Aaron Rodgers,Green Bay Packers,1,22,39,204,1,1,1,-1,0,Home,Oakland Raiders,15
AJ McCarron,Cincinnati Bengals,1,15,21,192,1,0,2,2,0,Home,San Francisco 49ers,15
Johnny Manziel,Cleveland Browns,1,19,32,161,1,1,2,17,0,Home,Seattle Seahawks,15
Kellen Moore,Dallas Cowboys,1,15,25,158,1,3,0,0,0,Away,New York Jets,15
Matt Hasselbeck,Indianapolis Colts,1,17,30,147,1,1,1,1,0,Away,Houston Texans,15
Brandon Weeden,Houston Texans,1,11,18,105,1,0,5,6,0,Home,Indianapolis Colts,15
T.J. Yates,Houston Texans,1,6,10,68,0,1,1,7,0,Home,Indianapolis Colts,15
Matt Cassel,Dallas Cowboys,1,3,8,37,0,1,0,0,0,Away,New York Jets,15
Marcus Mariota,Tennessee Titans,1,3,6,32,0,0,0,0,0,Home,New England Patriots,15
Charlie Whitehurst,Indianapolis Colts,1,1,2,13,0,0,0,0,0,Away,Houston Texans,15
EJ Manuel,Buffalo Bills,1,0,0,0,0,0,2,6,0,Home,Washington Redskins,15
Kellen Clemens,San Diego Chargers,1,0,0,0,0,0,1,-1,0,Away,Miami Dolphins,15
Tarvaris Jackson,Seattle Seahawks,1,0,0,0,0,0,1,-1,0,Away,Cleveland Browns,15
Trevor Siemian,Denver Broncos,1,0,0,0,0,0,1,-1,0,Home,Pittsburgh Steelers,15
Chase Daniel,Kansas City Chiefs,1,0,0,0,0,0,2,-2,0,Home,Baltimore Ravens,15
Drew Stanton,Arizona Cardinals,1,0,1,0,0,0,2,-2,0,Home,Philadelphia Eagles,15
