Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Kyle Rudolph,Minnesota Vikings,1,9,6,106,1,Away,Green Bay Packers,11
Tyler Eifert,Cincinnati Bengals,1,3,3,22,2,Home,Arizona Cardinals,11
Vance McDonald,San Francisco 49ers,1,4,4,65,1,Home,Seattle Seahawks,11
Greg Olsen,Carolina Panthers,1,6,3,54,1,Away,Washington Redskins,11
Delanie Walker,Tennessee Titans,1,10,8,109,0,Home,Jacksonville Jaguars,11
Cameron Brate,Tampa Bay Buccaneers,1,4,3,47,1,Home,Philadelphia Eagles,11
Lance Kendricks,St. Louis Rams,1,4,2,43,1,Home,Baltimore Ravens,11
Crockett Gillmore,Baltimore Ravens,1,8,5,101,0,Away,St. Louis Rams,11
Julius Thomas,Jacksonville Jaguars,1,8,5,28,1,Away,Tennessee Titans,11
Jordan Cameron,Miami Dolphins,1,5,2,21,1,Away,Dallas Cowboys,11
Brent Celek,Philadelphia Eagles,1,10,7,79,0,Away,Tampa Bay Buccaneers,11
Darren Fells,Arizona Cardinals,1,2,1,18,1,Away,Cincinnati Bengals,11
Owen Daniels,Denver Broncos,1,5,4,69,0,Home,Chicago Bears,11
Vernon Davis,Denver Broncos,1,6,6,68,0,Home,Chicago Bears,11
Zach Miller,Chicago Bears,1,6,3,47,0,Away,Denver Broncos,11
Travis Kelce,Kansas City Chiefs,1,7,5,46,0,Home,San Diego Chargers,11
Jordan Reed,Washington Redskins,1,8,6,46,0,Home,Carolina Panthers,11
Coby Fleener,Indianapolis Colts,1,5,3,45,0,Home,Atlanta Falcons,11
Jimmy Graham,Seattle Seahawks,1,3,3,39,0,Away,San Francisco 49ers,11
Rob Gronkowski,New England Patriots,1,7,2,37,0,Away,Buffalo Bills,11
Garrett Celek,San Francisco 49ers,1,3,2,35,0,Home,Seattle Seahawks,11
Jared Cook,St. Louis Rams,1,6,4,31,0,Home,Baltimore Ravens,11
Jason Witten,Dallas Cowboys,1,3,2,27,0,Home,Miami Dolphins,11
Martellus Bennett,Chicago Bears,1,6,2,26,0,Away,Denver Broncos,11
Demetrius Harris,Kansas City Chiefs,1,2,2,26,0,Home,San Diego Chargers,11
Clive Walford,Oakland Raiders,1,3,2,25,0,Home,Detroit Lions,11
Mychal Rivera,Oakland Raiders,1,2,1,21,0,Home,Detroit Lions,11
Gavin Escobar,Dallas Cowboys,1,3,2,20,0,Home,Miami Dolphins,11
Maxx Williams,Baltimore Ravens,1,4,3,20,0,Away,St. Louis Rams,11
Rhett Ellison,Minnesota Vikings,1,3,2,19,0,Away,Green Bay Packers,11
Clay Harbor,Jacksonville Jaguars,1,2,2,17,0,Away,Tennessee Titans,11
Phillip Supernaw,Tennessee Titans,1,2,2,16,0,Home,Jacksonville Jaguars,11
Jacob Tamme,Atlanta Falcons,1,3,1,16,0,Away,Indianapolis Colts,11
Luke Willson,Seattle Seahawks,1,2,2,15,0,Away,San Francisco 49ers,11
Charles Clay,Buffalo Bills,1,3,1,14,0,Home,New England Patriots,11
Anthony Fasano,Tennessee Titans,1,2,2,14,0,Home,Jacksonville Jaguars,11
Zach Ertz,Philadelphia Eagles,1,4,2,12,0,Away,Tampa Bay Buccaneers,11
Ladarius Green,San Diego Chargers,1,3,1,9,0,Away,Kansas City Chiefs,11
Virgil Green,Denver Broncos,1,1,1,9,0,Home,Chicago Bears,11
Brandon Pettigrew,Detroit Lions,1,1,1,8,0,Away,Oakland Raiders,11
MyCole Pruitt,Minnesota Vikings,1,1,1,8,0,Away,Green Bay Packers,11
Dwayne Allen,Indianapolis Colts,1,1,1,7,0,Home,Atlanta Falcons,11
Derek Carrier,Washington Redskins,1,3,2,7,0,Home,Carolina Panthers,11
Cooper Helfet,Seattle Seahawks,1,1,1,7,0,Away,San Francisco 49ers,11
Richard Rodgers,Green Bay Packers,1,5,3,7,0,Home,Minnesota Vikings,11
Antonio Gates,San Diego Chargers,1,3,1,6,0,Away,Kansas City Chiefs,11
Ryan Griffin,Houston Texans,1,2,2,6,0,Away,New York Jets,11
Scott Chandler,New England Patriots,1,2,1,3,0,Away,Buffalo Bills,11
Trey Burton,Philadelphia Eagles,1,1,0,0,0,Away,Tampa Bay Buccaneers,11
Kellen Davis,New York Jets,1,0,0,0,0,Home,Houston Texans,11
Ed Dickson,Carolina Panthers,1,1,0,0,0,Away,Washington Redskins,11
Eric Ebron,Detroit Lions,1,2,0,0,0,Away,Oakland Raiders,11
Chris Gragg,Buffalo Bills,1,1,0,0,0,Home,New England Patriots,11
Tyler Kroft,Cincinnati Bengals,1,1,0,0,0,Home,Arizona Cardinals,11
Marcedes Lewis,Jacksonville Jaguars,1,2,0,0,0,Away,Tennessee Titans,11
Craig Stevens,Tennessee Titans,1,1,0,0,0,Home,Jacksonville Jaguars,11
