Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Stephen Gostkowski,New England Patriots,1,4,4,100.0%,4,4,Home,Buffalo Bills
Justin Tucker,Baltimore Ravens,1,4,4,100.0%,3,3,Home,Oakland Raiders
Kyle Brindza,Tampa Bay Buccaneers,1,4,5,80.0%,2,2,Home,New Orleans Saints
Mason Crosby,Green Bay Packers,1,4,4,100.0%,1,1,Away,Seattle Seahawks
Sebastian Janikowski,Oakland Raiders,1,3,3,100.0%,4,4,Away,Baltimore Ravens
Robbie Gould,Chicago Bears,1,3,3,100.0%,2,2,Away,Arizona Cardinals
Jason Myers,Jacksonville Jaguars,1,3,3,100.0%,2,2,Away,Miami Dolphins
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,2,2,Home,Philadelphia Eagles
Josh Brown,New York Giants,1,2,2,100.0%,2,2,Away,Atlanta Falcons
Nick Folk,New York Jets,1,2,3,66.7%,2,2,Home,Indianapolis Colts
Andrew Franks,Miami Dolphins,1,2,3,66.7%,2,2,Home,Jacksonville Jaguars
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,2,3,Away,Detroit Lions
Josh Lambo,San Diego Chargers,1,2,3,66.7%,1,1,Home,Cincinnati Bengals
Brandon McManus,Denver Broncos,1,1,1,100.0%,4,4,Home,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,3,3,Home,New York Giants
Chandler Catanzaro,Arizona Cardinals,1,0,0,0.0%,6,7,Home,Chicago Bears
Graham Gano,Carolina Panthers,1,1,2,50.0%,3,3,Away,Houston Texans
Dustin Hopkins,Washington Redskins,1,1,1,100.0%,3,3,Away,St. Louis Rams
Mike Nugent,Cincinnati Bengals,1,1,2,50.0%,3,3,Away,San Diego Chargers
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,3,3,Away,Denver Broncos
Randy Bullock,Houston Texans,1,1,1,100.0%,2,2,Home,Carolina Panthers
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,2,2,Home,Green Bay Packers
Travis Coons,Cleveland Browns,1,0,0,0.0%,4,4,Away,Tennessee Titans
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,1,1,Home,Pittsburgh Steelers
Cody Parkey,Philadelphia Eagles,1,1,1,100.0%,1,1,Away,Dallas Cowboys
Matt Prater,Detroit Lions,1,1,1,100.0%,1,1,Home,Minnesota Vikings
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,1,1,Home,Washington Redskins
Josh Scobee,Pittsburgh Steelers,1,0,0,0.0%,3,4,Away,San Francisco 49ers
Dan Carpenter,Buffalo Bills,1,0,0,0.0%,2,3,Away,New England Patriots
Ryan Succop,Tennessee Titans,1,0,0,0.0%,2,2,Home,Cleveland Browns
Zach Hocker,New Orleans Saints,1,0,1,0.0%,1,2,Away,Tampa Bay Buccaneers
Adam Vinatieri,Indianapolis Colts,1,0,1,0.0%,1,1,Away,New York Jets
