Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Chris Boswell,Pittsburgh Steelers,1,4,4,100.0%,3,3,Home,Cincinnati Bengals
Randy Bullock,New York Jets,1,3,4,75.0%,3,3,Away,Tennessee Titans
Brandon McManus,Denver Broncos,1,4,5,80.0%,0,0,Away,Oakland Raiders
Chandler Catanzaro,Arizona Cardinals,1,3,3,100.0%,2,2,Away,Minnesota Vikings
Caleb Sturgis,Philadelphia Eagles,1,3,3,100.0%,2,2,Away,Buffalo Bills
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,1,1,Home,Jacksonville Jaguars
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Home,Houston Texans
Jason Myers,Jacksonville Jaguars,1,1,1,100.0%,6,7,Away,Indianapolis Colts
Dan Carpenter,Buffalo Bills,1,2,2,100.0%,2,2,Home,Philadelphia Eagles
Graham Gano,Carolina Panthers,1,1,1,100.0%,5,5,Away,Atlanta Falcons
Mike Nugent,Cincinnati Bengals,1,2,3,66.7%,2,2,Away,Pittsburgh Steelers
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,2,2,Home,Arizona Cardinals
Josh Brown,New York Giants,1,1,2,50.0%,4,4,Home,Miami Dolphins
Travis Coons,Cleveland Browns,1,1,2,50.0%,3,3,Away,San Francisco 49ers
Kai Forbath,New Orleans Saints,1,1,1,100.0%,3,3,Home,Tampa Bay Buccaneers
Andrew Franks,Miami Dolphins,1,1,1,100.0%,3,3,Away,New York Giants
Dustin Hopkins,Washington Redskins,1,1,1,100.0%,3,3,Home,Chicago Bears
Nick Novak,Houston Texans,1,2,2,100.0%,0,0,Away,New England Patriots
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,0,0,Away,Seattle Seahawks
Connor Barth,Tampa Bay Buccaneers,1,1,2,50.0%,2,2,Away,New Orleans Saints
Steve Hauschka,Seattle Seahawks,1,0,0,0.0%,5,5,Home,Baltimore Ravens
Mason Crosby,Green Bay Packers,1,0,0,0.0%,4,4,Away,Dallas Cowboys
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,1,1,Home,Cleveland Browns
Cairo Santos,Kansas City Chiefs,1,1,2,50.0%,1,1,Away,San Diego Chargers
Robbie Gould,Chicago Bears,1,0,1,0.0%,3,3,Away,Washington Redskins
Josh Lambo,San Diego Chargers,1,1,2,50.0%,0,0,Home,Kansas City Chiefs
Greg Zuerlein,St. Louis Rams,1,0,0,0.0%,3,3,Away,Detroit Lions
Matt Prater,Detroit Lions,1,0,0,0.0%,2,2,Home,St. Louis Rams
Dan Bailey,Dallas Cowboys,1,0,0,0.0%,1,1,Home,Green Bay Packers
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,1,1,Home,Denver Broncos
