Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Stephen Gostkowski,New England Patriots,1,4,5,80.0%,3,3,Away,Tennessee Titans
Mason Crosby,Green Bay Packers,1,3,4,75.0%,3,3,Home,Oakland Raiders
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,3,3,Away,Cleveland Browns
Connor Barth,Tampa Bay Buccaneers,1,3,3,100.0%,2,2,Home,St. Louis Rams
Shayne Graham,Atlanta Falcons,1,3,3,100.0%,2,2,Home,Jacksonville Jaguars
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,1,1,Away,New York Jets
Chris Boswell,Pittsburgh Steelers,1,2,2,100.0%,4,4,Away,Denver Broncos
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,4,5,Home,Philadelphia Eagles
Nick Novak,Houston Texans,1,3,4,75.0%,1,1,Home,Indianapolis Colts
Cairo Santos,Kansas City Chiefs,1,2,2,100.0%,4,4,Home,Baltimore Ravens
Kai Forbath,New Orleans Saints,1,2,2,100.0%,3,3,Away,Detroit Lions
Graham Gano,Carolina Panthers,1,1,2,50.0%,5,5,Home,New York Giants
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,2,2,Away,Green Bay Packers
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,5,5,Away,Chicago Bears
Randy Bullock,New York Jets,1,2,3,66.7%,1,2,Home,Dallas Cowboys
Travis Coons,Cleveland Browns,1,2,2,100.0%,1,1,Home,Seattle Seahawks
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,4,4,Away,Tampa Bay Buccaneers
Josh Lambo,San Diego Chargers,1,1,2,50.0%,3,4,Away,Miami Dolphins
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,3,3,Home,San Francisco 49ers
Josh Brown,New York Giants,1,0,0,0.0%,5,5,Away,Carolina Panthers
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,2,2,Home,Washington Redskins
Robbie Gould,Chicago Bears,1,1,1,100.0%,2,2,Home,Minnesota Vikings
Dustin Hopkins,Washington Redskins,1,0,0,0.0%,5,5,Away,Buffalo Bills
Jason Myers,Jacksonville Jaguars,1,1,1,100.0%,2,2,Away,Atlanta Falcons
Matt Prater,Detroit Lions,1,0,1,0.0%,5,5,Home,New Orleans Saints
Caleb Sturgis,Philadelphia Eagles,1,1,1,100.0%,2,2,Away,Arizona Cardinals
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,2,Home,New England Patriots
Adam Vinatieri,Indianapolis Colts,1,1,1,100.0%,1,1,Away,Houston Texans
Brandon McManus,Denver Broncos,1,0,0,0.0%,3,4,Home,Pittsburgh Steelers
Phil Dawson,San Francisco 49ers,1,0,1,0.0%,2,2,Away,Cincinnati Bengals
Andrew Franks,Miami Dolphins,1,0,0,0.0%,2,2,Home,San Diego Chargers
Justin Tucker,Baltimore Ravens,1,0,0,0.0%,2,2,Away,Kansas City Chiefs
