Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
DeAndre Hopkins,Houston Texans,1,15,10,148,2,0,0,0,Home,Jacksonville Jaguars,6
Martavis Bryant,Pittsburgh Steelers,1,8,6,137,2,1,8,0,Away,Arizona Cardinals,6
Calvin Johnson,Detroit Lions,1,9,6,166,1,0,0,0,Away,Chicago Bears,6
Alshon Jeffery,Chicago Bears,1,11,8,147,1,0,0,0,Home,Detroit Lions,6
Steve Smith,Baltimore Ravens,1,10,7,137,1,0,0,0,Home,San Francisco 49ers,6
John Brown,Arizona Cardinals,1,14,10,196,0,0,0,0,Home,Pittsburgh Steelers,6
Brandon Marshall,New York Jets,1,9,7,111,1,0,0,0,Away,Washington Redskins,6
Emmanuel Sanders,Denver Broncos,1,12,4,109,1,0,0,0,Home,Cleveland Browns,6
Lance Moore,Detroit Lions,1,6,5,106,1,0,0,0,Away,Chicago Bears,6
Keenan Allen,San Diego Chargers,1,15,14,157,0,0,0,0,Home,Green Bay Packers,6
Torrey Smith,San Francisco 49ers,1,6,3,96,1,0,0,0,Away,Baltimore Ravens,6
Marvin Jones,Cincinnati Bengals,1,12,9,95,1,0,0,0,Home,Buffalo Bills,6
Allen Robinson,Jacksonville Jaguars,1,12,6,86,1,0,0,0,Away,Houston Texans,6
Riley Cooper,Philadelphia Eagles,1,6,3,76,1,0,0,0,Away,New York Giants,6
T.Y. Hilton,Indianapolis Colts,1,9,6,74,1,0,0,0,Away,New England Patriots,6
Stefon Diggs,Minnesota Vikings,1,9,7,129,0,0,0,0,Away,Kansas City Chiefs,6
Donte Moncrief,Indianapolis Colts,1,11,6,69,1,0,0,0,Away,New England Patriots,6
Jarvis Landry,Miami Dolphins,1,4,3,42,0,2,24,1,Home,Tennessee Titans,6
Odell Beckham Jr.,New York Giants,1,8,7,61,1,0,0,0,Home,Philadelphia Eagles,6
Eric Decker,New York Jets,1,7,4,59,1,0,0,0,Away,Washington Redskins,6
Travis Benjamin,Cleveland Browns,1,13,9,117,0,0,0,0,Away,Denver Broncos,6
Albert Wilson,Kansas City Chiefs,1,6,3,57,1,0,0,0,Home,Minnesota Vikings,6
Julian Edelman,New England Patriots,1,10,6,50,1,1,2,0,Home,Indianapolis Colts,6
Demaryius Thomas,Denver Broncos,1,17,10,111,0,0,0,0,Home,Cleveland Browns,6
