,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
47,Jordan Reed,TE,14.85,0.0,14.85,14.85,14.849999999999998,14.85
13,Rob Gronkowski,TE,14.69,0.0,14.69,14.69,14.690000000000003,14.69
25,Greg Olsen,TE,14.29,0.0,14.29,14.29,14.290000000000001,14.29
29,Delanie Walker,TE,12.59,0.0,12.59,12.59,12.590000000000002,12.59
37,Coby Fleener,TE,11.99,0.0,11.99,11.99,11.989999999999998,11.99
61,Eric Ebron,TE,11.21,0.0,11.21,11.21,11.21,11.21
79,C.J. Uzomah,TE,10.74,0.0,10.74,10.74,10.739999999999998,10.74
30,Antonio Gates,TE,10.6,0.0,10.6,10.6,10.6,10.6
23,Julius Thomas,TE,10.59,0.0,10.59,10.59,10.590000000000002,10.59
53,Travis Kelce,TE,10.28,0.0,10.28,10.28,10.280000000000001,10.28
1,Gary Barnidge,TE,10.2,0.0,10.2,10.2,10.199999999999998,10.2
32,Brent Celek,TE,10.09,0.0,10.09,10.09,10.09,10.09
8,Zach Miller,TE,9.91,0.0,9.91,9.91,9.909999999999998,9.91
31,Jason Witten,TE,9.8,0.0,9.8,9.8,9.800000000000002,9.8
2,Martellus Bennett,TE,9.31,0.0,9.31,9.31,9.309999999999997,9.31
11,Jimmy Graham,TE,9.15,0.0,9.15,9.15,9.149999999999997,9.15
38,Dwayne Allen,TE,8.79,0.0,8.79,8.79,8.789999999999997,8.79
20,Jordan Cameron,TE,8.75,0.0,8.75,8.75,8.750000000000002,8.75
4,Jared Cook,TE,8.56,0.0,8.56,8.56,8.559999999999999,8.56
17,Charles Clay,TE,8.21,0.0,8.21,8.21,8.21,8.21
15,Dennis Pitta,TE,8.05,0.0,8.05,8.05,8.050000000000002,8.05
73,Clive Walford,TE,7.91,0.0,7.91,7.91,7.91,7.91
24,Kyle Rudolph,TE,7.73,0.0,7.73,7.73,7.7299999999999995,7.73
81,Jesse James,TE,7.33,0.0,7.33,7.33,7.33,7.33
21,Virgil Green,TE,6.71,0.0,6.71,6.71,6.71,6.71
51,Vance McDonald,TE,6.58,0.0,6.58,6.58,6.580000000000001,6.58
87,Will Tye,TE,6.14,0.0,6.14,6.14,6.14,6.14
18,Lance Kendricks,TE,5.65,0.0,5.65,5.65,5.650000000000001,5.65
0,Jacob Tamme,TE,5.63,0.0,5.63,5.63,5.630000000000001,5.63
66,Crockett Gillmore,TE,5.51,0.0,5.51,5.51,5.510000000000001,5.51
59,Ryan Griffin,TE,5.49,0.0,5.49,5.49,5.49,5.49
67,Trey Burton,TE,5.39,0.0,5.39,5.39,5.39,5.39
71,Cameron Brate,TE,5.15,0.0,5.15,5.15,5.15,5.15
80,Tyler Kroft,TE,5.03,0.0,5.03,5.03,5.03,5.03
44,Larry Donnell,TE,4.91,0.0,4.91,4.91,4.91,4.91
55,Darren Fells,TE,4.33,0.0,4.33,4.33,4.33,4.33
64,Austin Seferian-Jenkins,TE,4.28,0.0,4.28,4.28,4.28,4.28
92,Hunter Henry,TE,3.79,0.0,3.79,3.79,3.79,3.79
46,Mychal Rivera,TE,3.72,0.0,3.72,3.72,3.72,3.72
