,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
21,Drew Brees,QB,24.701,0.271,24.159,25.243,24.699513355529902,24.701
18,Cam Newton,QB,24.065,0.925,22.215,25.915,24.047216055086285,24.065
26,Eli Manning,QB,23.895,0.865,22.165,25.625,23.879338349292684,23.895
24,Carson Palmer,QB,22.743,2.463,17.817,27.669,22.609238819562243,22.743
29,Philip Rivers,QB,20.789,2.899,14.991,26.587,20.58587671195958,20.789
43,Russell Wilson,QB,20.06,1.58,16.9,23.22,19.997679865424388,20.06
56,Blake Bortles,QB,19.974,0.734,18.506,21.442,19.960509011545767,19.974
5,Matthew Stafford,QB,19.725,1.175,17.375,22.075,19.689972067019294,19.725
3,Joe Flacco,QB,18.79,0.23,18.33,19.25,18.7885922836172,18.79
31,Aaron Rodgers,QB,18.511,0.211,18.089,18.933,18.50979740569842,18.511
10,Andy Dalton,QB,18.445,0.345,17.755,19.135,18.441773233612867,18.445
65,Jimmy Garoppolo,QB,18.191,0.939,16.313,20.069,18.166748745991946,18.191
58,Derek Carr,QB,18.143,0.583,16.977,19.309,18.133630634817735,18.143
38,Kirk Cousins,QB,18.117,0.547,17.023,19.211,18.108740431073606,18.117
69,Marcus Mariota,QB,17.724,0.316,17.092,18.356,17.721182804767853,17.724
28,Ben Roethlisberger,QB,17.555,0.435,16.685,18.425,17.549609682269285,17.555
20,Jay Cutler,QB,17.211,0.401,16.409,18.013,17.206327905744452,17.211
41,Ryan Tannehill,QB,16.69,0.56,15.57,17.81,16.680602507103874,16.69
44,Andrew Luck,QB,16.597,0.423,15.751,17.443,16.591608722483784,16.597
35,Ryan Fitzpatrick,QB,16.196,0.194,15.808,16.584,16.194838066495137,16.196
67,Jameis Winston,QB,16.184,0.494,15.196,17.172,16.176458821386092,16.184
74,Dak Prescott,QB,15.724,1.016,13.692,17.756,15.691141449875465,15.724
2,Matt Ryan,QB,15.706,0.396,14.914,16.498,15.701006974076533,15.706
23,Josh McCown,QB,15.616,0.576,14.464,16.768,15.605373433532437,15.616
14,Tyrod Taylor,QB,15.469,0.109,15.251,15.687,15.468615969116309,15.469
73,Carson Wentz,QB,15.098,0.208,14.682,15.514,15.096567159457146,15.098
30,Alex Smith,QB,14.966,1.126,12.714,17.218,14.923581339611486,14.966
46,Brock Osweiler,QB,13.886,0.694,12.498,15.274,13.868646653513093,13.886
16,Blaine Gabbert,QB,13.473,0.983,11.507,15.439,13.437091947292764,13.473
8,Sam Bradford,QB,11.863,0.023,11.817,11.909,11.862977703763926,11.863
72,Trevor Siemian,QB,11.351,1.421,8.509,14.193,11.261703245957072,11.351
40,Case Keenum,QB,10.73,1.92,6.89,14.57,10.556822438593919,10.73
77,Paxton Lynch,QB,2.436,0.0,2.436,2.436,2.4359999999999995,2.436
12,Colin Kaepernick,QB,1.654,0.0,1.654,1.654,1.654,1.654
83,Trevone Boykin,QB,1.41,0.0,1.41,1.41,1.4100000000000001,1.41
6,Chase Daniel,QB,1.3,0.0,1.3,1.3,1.3,1.3
4,Mark Sanchez,QB,0.812,0.812,-0.812,2.436,1.624,0.812
51,Landry Jones,QB,0.74,0.0,0.74,0.74,0.74,0.74
52,Geno Smith,QB,0.346,0.0,0.346,0.346,0.346,0.346
70,Sean Mannion,QB,0.308,0.0,0.308,0.308,0.308,0.308
80,Cody Kessler,QB,0.26,0.0,0.26,0.26,0.26,0.26
34,Matt Cassel,QB,0.23,0.0,0.23,0.23,0.23,0.23
7,Brian Hoyer,QB,0.216,0.0,0.216,0.216,0.21599999999999997,0.216
