,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Nick Novak,SD,1,4,4,100.0%,3,3
Blair Walsh,MIN,1,4,5,80.0%,3,3
Phil Dawson,SF,1,4,4,100.0%,2,2
Randy Bullock,HOU,1,3,3,100.0%,2,2
Cairo Santos,KC,1,2,2,100.0%,5,5
Adam Vinatieri,IND,1,2,2,100.0%,5,5
Josh Brown,NYG,1,1,1,100.0%,6,6
Patrick Murray,TB,1,2,2,100.0%,3,3
Dan Bailey,DAL,1,1,1,100.0%,5,5
Mason Crosby,GB,1,1,2,50.0%,5,5
Caleb Sturgis,MIA,1,1,1,100.0%,5,5
Justin Tucker,BAL,1,1,2,50.0%,5,5
Alex Henery,DET,1,1,2,50.0%,3,3
Shaun Suisham,PIT,1,1,2,50.0%,3,3
Dan Carpenter,BUF,1,1,1,100.0%,2,2
Nick Folk,NYJ,1,1,1,100.0%,2,2
Robbie Gould,CHI,1,1,1,100.0%,2,2
Shayne Graham,NO,1,1,2,50.0%,2,2
Ryan Succop,TEN,1,1,1,100.0%,2,2
Matt Bryant,ATL,1,0,0,0.0%,4,4
Graham Gano,CAR,1,1,1,100.0%,1,1
Cody Parkey,PHI,1,0,0,0.0%,3,3
Kai Forbath,WAS,1,0,0,0.0%,2,2
Stephen Gostkowski,NE,1,0,0,0.0%,2,2
Sebastian Janikowski,OAK,1,0,0,0.0%,2,2
Josh Scobee,JAC,1,0,0,0.0%,2,2
