,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Julio Jones,ATL,1,11,9,161,2,0,0,0
Jeremy Maclin,PHI,1,10,8,154,1,0,0,0
Antonio Brown,PIT,1,10,10,90,2,0,0,0
Pierre Garcon,WAS,1,16,11,138,1,0,0,0
Jordan Matthews,PHI,1,9,8,59,2,0,0,0
DeSean Jackson,WAS,1,11,5,117,1,0,0,0
Kelvin Benjamin,CAR,1,11,8,115,1,0,0,0
John Brown,ARI,1,6,4,52,2,0,0,0
Victor Cruz,NYG,1,6,5,107,1,0,0,0
Eddie Royal,SD,1,6,4,42,2,0,0,0
Dez Bryant,DAL,1,7,6,89,1,0,0,0
Emmanuel Sanders,DEN,1,15,11,149,0,0,0,0
Michael Crabtree,SF,1,11,10,80,1,1,4,0
Jeremy Kerley,NYJ,1,11,7,81,1,0,0,0
Allen Hurns,JAC,1,3,1,63,1,0,0,0
Brian Quick,STL,1,4,2,62,1,0,0,0
Alshon Jeffery,CHI,1,13,8,105,0,2,13,0
DeAndre Hopkins,HOU,1,9,6,116,0,0,0,0
Damaris Johnson,HOU,1,2,2,56,1,1,0,0
Michael Floyd,ARI,1,9,5,114,0,0,0,0
Miles Austin,CLE,1,7,6,51,1,0,0,0
Hakeem Nicks,IND,1,4,4,50,1,0,0,0
Devin Hester,ATL,1,1,1,25,0,1,20,1
Steve Johnson,SF,1,9,9,103,0,0,0,0
A.J. Green,CIN,1,9,6,102,0,0,0,0
Steve Smith,BAL,1,7,5,101,0,0,0,0
Ricardo Lockette,SEA,1,1,1,39,1,0,0,0
Malcom Floyd,SD,1,4,2,98,0,0,0,0
Cecil Shorts,JAC,1,10,5,35,1,0,0,0
Terrance Williams,DAL,1,3,2,32,1,0,0,0
Julian Edelman,NE,1,13,10,84,0,1,5,0
Austin Pettis,STL,1,4,3,28,1,0,0,0
Andrew Hawkins,CLE,1,10,7,87,0,0,0,0
Mike Wallace,MIA,1,12,5,74,0,1,12,0
Marques Colston,NO,1,5,2,25,1,0,0,0
Brian Hartline,MIA,1,7,3,25,1,0,0,0
Calvin Johnson,DET,1,10,6,82,0,0,0,0
T.Y. Hilton,IND,1,6,5,80,0,0,0,0
Taylor Gabriel,CLE,1,2,2,81,0,2,-2,0
Allen Robinson,JAC,1,10,7,79,0,0,0,0
Vincent Jackson,TB,1,9,2,15,1,0,0,0
Brandin Cooks,NO,1,10,8,74,0,0,0,0
Harry Douglas,ATL,1,2,2,14,1,0,0,0
Kenny Britt,STL,1,7,5,69,0,1,2,0
Greg Jennings,MIN,1,7,5,70,0,0,0,0
Eric Weems,ATL,1,5,4,69,0,0,0,0
Philly Brown,CAR,1,9,7,66,0,0,0,0
Donte Moncrief,IND,1,5,4,55,0,1,7,0
Reggie Wayne,IND,1,5,4,62,0,0,0,0
Wes Welker,DEN,1,9,6,60,0,0,0,0
