,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Odell Beckham Jr.,NYG,1,12,8,148,2,1,0,0
Rueben Randle,NYG,1,6,6,132,1,0,0,0
Emmanuel Sanders,DEN,1,7,6,70,2,0,0,0
Torrey Smith,BAL,1,12,5,59,2,0,0,0
Mike Wallace,MIA,1,5,5,58,2,0,0,0
Riley Cooper,PHI,1,7,5,53,2,0,0,0
Jordy Nelson,GB,1,9,9,113,1,0,0,0
Terrance Williams,DAL,1,2,2,52,2,0,0,0
Eddie Royal,SD,1,12,10,94,1,0,0,0
Bruce Ellington,SF,1,4,1,8,1,3,12,1
Sammy Watkins,BUF,1,7,3,75,1,0,0,0
Dez Bryant,DAL,1,5,5,73,1,0,0,0
Antonio Brown,PIT,1,9,7,72,1,0,0,0
Alshon Jeffery,CHI,1,15,6,72,1,0,0,0
Randall Cobb,GB,1,14,11,131,0,0,0,0
DeSean Jackson,WAS,1,6,4,126,0,0,0,0
Jarius Wright,MIN,1,3,3,38,1,1,27,0
Greg Jennings,MIN,1,3,3,56,1,0,0,0
Demaryius Thomas,DEN,1,14,7,115,0,0,0,0
Doug Baldwin,SEA,1,11,7,113,0,0,0,0
Robert Woods,BUF,1,9,7,52,1,0,0,0
Malcom Floyd,SD,1,10,4,50,1,0,0,0
Chris Givens,STL,1,1,1,47,1,0,0,0
Julio Jones,ATL,1,8,7,107,0,0,0,0
Kenny Britt,STL,1,11,9,103,0,0,0,0
Calvin Johnson,DET,1,12,6,103,0,0,0,0
Kenbrell Thompkins,OAK,1,7,5,90,0,0,0,0
Cole Beasley,DAL,1,3,2,29,1,0,0,0
Albert Wilson,KC,1,7,5,87,0,0,0,0
Marques Colston,NO,1,10,6,80,0,0,0,0
Dontrelle Inman,SD,1,9,7,79,0,0,0,0
Andre Holmes,OAK,1,6,3,73,0,0,0,0
Kendall Wright,TEN,1,5,4,73,0,0,0,0
Hakeem Nicks,IND,1,11,9,72,0,0,0,0
Kenny Stills,NO,1,8,6,68,0,0,0,0
Marquess Wilson,CHI,1,10,7,66,0,0,0,0
Andre Johnson,HOU,1,13,6,65,0,0,0,0
Marqise Lee,JAC,1,6,4,65,0,0,0,0
Brandon LaFell,NE,1,10,7,64,0,0,0,0
Danny Amendola,NE,1,11,8,63,0,0,0,0
James Jones,OAK,1,5,1,3,1,0,0,0
Eric Weems,ATL,1,1,1,3,1,0,0,0
Jeremy Maclin,PHI,1,6,4,62,0,0,0,0
Golden Tate,DET,1,10,5,62,0,0,0,0
Anquan Boldin,SF,1,9,7,61,0,0,0,0
Pierre Garcon,WAS,1,5,4,61,0,0,0,0
Vincent Jackson,TB,1,6,3,60,0,0,0,0
Jordan Matthews,PHI,1,5,3,58,0,0,0,0
Dwayne Bowe,KC,1,8,6,57,0,0,0,0
Roddy White,ATL,1,9,6,55,0,0,0,0
