,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Adam Vinatieri,IND,1,3,3,100.0%,5,5
Nick Folk,NYJ,1,4,4,100.0%,1,1
Cody Parkey,PHI,1,3,3,100.0%,4,4
Shaun Suisham,PIT,1,3,3,100.0%,4,4
Josh Brown,NYG,1,3,3,100.0%,3,3
Chandler Catanzaro,ARI,1,3,3,100.0%,2,2
Justin Tucker,BAL,1,3,3,100.0%,2,2
Dan Bailey,DAL,1,2,2,100.0%,4,4
Kai Forbath,WAS,1,2,3,66.7%,4,4
Stephen Gostkowski,NE,1,3,3,100.0%,1,1
Robbie Gould,CHI,1,2,2,100.0%,3,3
Sebastian Janikowski,OAK,1,3,3,100.0%,0,0
Blair Walsh,MIN,1,3,3,100.0%,0,0
Matt Bryant,ATL,1,0,1,0.0%,8,8
Steve Hauschka,SEA,1,2,3,66.7%,2,2
Nick Novak,SD,1,2,2,100.0%,2,2
Graham Gano,CAR,1,2,2,100.0%,1,1
Mike Nugent,CIN,1,1,1,100.0%,4,4
Caleb Sturgis,MIA,1,2,3,66.7%,1,1
Greg Zuerlein,STL,1,1,1,100.0%,4,4
Randy Bullock,HOU,1,1,1,100.0%,2,2
Nate Freese,DET,1,1,2,50.0%,2,2
Josh Scobee,JAC,1,1,1,100.0%,2,2
Dan Carpenter,BUF,1,1,1,100.0%,1,1
Brandon McManus,DEN,1,1,1,100.0%,1,1
Cairo Santos,KC,1,0,0,0.0%,4,4
Billy Cundiff,CLE,1,0,2,0.0%,3,3
Phil Dawson,SF,1,0,1,0.0%,2,2
Shayne Graham,NO,1,0,0,0.0%,2,3
Patrick Murray,TB,1,0,0,0.0%,2,2
Mason Crosby,GB,1,0,0,0.0%,1,1
Ryan Succop,TEN,1,0,2,0.0%,1,1
