,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Dan Carpenter,BUF,1,5,6,83.3%,2,2
Dan Bailey,DAL,1,4,4,100.0%,2,2
Justin Tucker,BAL,1,4,4,100.0%,2,2
Chandler Catanzaro,ARI,1,4,4,100.0%,1,1
Greg Zuerlein,STL,1,4,4,100.0%,1,1
Randy Bullock,HOU,1,3,4,75.0%,3,3
Stephen Gostkowski,NE,1,3,3,100.0%,3,3
Nick Novak,SD,1,3,3,100.0%,3,3
Cody Parkey,PHI,1,3,4,75.0%,3,3
Mason Crosby,GB,1,3,3,100.0%,2,2
Kai Forbath,WAS,1,2,2,100.0%,5,5
Graham Gano,CAR,1,3,3,100.0%,1,1
Adam Vinatieri,IND,1,2,2,100.0%,3,3
Billy Cundiff,CLE,1,2,2,100.0%,2,2
Phil Dawson,SF,1,2,2,100.0%,2,2
Nick Folk,NYJ,1,1,1,100.0%,3,3
Shayne Graham,NO,1,1,1,100.0%,3,3
Brandon McManus,DEN,1,1,1,100.0%,3,3
Mike Nugent,CIN,1,1,4,25.0%,3,3
Shaun Suisham,PIT,1,2,2,100.0%,0,0
Patrick Murray,TB,1,1,2,50.0%,2,2
Cairo Santos,KC,1,1,2,50.0%,2,2
Matt Bryant,ATL,1,1,1,100.0%,1,1
Robbie Gould,CHI,1,0,0,0.0%,4,4
Josh Scobee,JAC,1,1,1,100.0%,1,1
Caleb Sturgis,MIA,1,1,1,100.0%,1,1
Ryan Succop,TEN,1,1,1,100.0%,1,1
Steve Hauschka,SEA,1,0,0,0.0%,3,3
Josh Brown,NYG,1,0,0,0.0%,2,2
Sebastian Janikowski,OAK,1,0,0,0.0%,2,2
Nate Freese,DET,1,0,2,0.0%,1,1
Blair Walsh,MIN,1,0,1,0.0%,1,1
