,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Russell Wilson,SEA,1,20,31,339,2,0,6,88,1
Ryan Tannehill,MIA,1,35,47,396,4,1,5,1,0
Philip Rivers,SD,1,33,54,356,4,3,0,0,0
Eli Manning,NYG,1,25,32,391,3,0,3,-3,0
Colin Kaepernick,SF,1,15,24,114,1,0,7,151,1
Tony Romo,DAL,1,18,20,218,4,0,3,28,0
Mark Sanchez,PHI,1,37,50,374,2,1,5,22,0
Kyle Orton,BUF,1,32,49,329,3,2,0,0,0
Cam Newton,CAR,1,18,31,201,1,1,12,63,1
Peyton Manning,DEN,1,28,44,311,2,4,0,0,0
Shaun Hill,STL,1,24,32,290,2,1,1,0,0
Teddy Bridgewater,MIN,1,19,26,259,2,1,5,13,0
Matt Ryan,ATL,1,30,40,322,1,0,2,7,0
Drew Brees,NO,1,30,47,313,1,2,2,8,0
Aaron Rodgers,GB,1,31,40,318,1,0,0,0,0
Charlie Whitehurst,TEN,1,24,35,287,1,0,3,12,0
Derek Carr,OAK,1,17,34,214,2,0,4,0,0
Joe Flacco,BAL,1,21,50,195,2,3,1,5,0
Jimmy Clausen,CHI,1,23,39,181,2,1,3,9,0
Andy Dalton,CIN,1,17,26,146,2,1,6,25,0
Alex Smith,KC,1,31,45,311,0,0,2,14,0
Geno Smith,NYJ,1,17,27,210,1,1,3,9,0
Blake Bortles,JAC,1,13,26,115,1,0,5,50,0
Ben Roethlisberger,PIT,1,18,25,220,1,0,4,-4,0
Tom Brady,NE,1,23,35,182,1,1,7,10,0
Brian Hoyer,CLE,1,7,13,134,1,1,2,19,0
Matthew Stafford,DET,1,22,39,243,0,2,4,2,0
Robert Griffin III,WAS,1,16,23,220,0,1,5,11,0
Case Keenum,HOU,1,20,42,185,0,1,4,19,0
Ryan Lindley,ARI,1,18,44,216,0,1,0,0,0
Matt Hasselbeck,IND,1,15,21,126,1,0,0,0,0
Josh McCown,TB,1,12,26,147,0,1,0,0,0
Brandon Weeden,DAL,1,1,1,43,1,0,0,0,0
Andrew Luck,IND,1,15,22,109,0,2,0,0,0
Johnny Manziel,CLE,1,3,8,32,0,0,2,3,0
Tarvaris Jackson,SEA,1,1,1,0,0,0,0,0,0
Logan Thomas,ARI,1,0,1,0,0,0,0,0,0
Matt Flynn,GB,1,0,0,0,0,0,3,-3,0
