,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Mike Evans,TB,1,9,7,209,2,0,0,0
Brandon Marshall,CHI,1,10,7,90,2,0,0,0
Alshon Jeffery,CHI,1,17,11,135,1,0,0,0
Kenny Britt,STL,1,7,4,128,1,0,0,0
A.J. Green,CIN,1,8,6,127,1,0,0,0
Michael Floyd,ARI,1,5,2,54,2,0,0,0
Kelvin Benjamin,CAR,1,13,9,109,1,0,0,0
Jordy Nelson,GB,1,10,4,109,1,0,0,0
Jordan Matthews,PHI,1,8,5,107,1,0,0,0
Emmanuel Sanders,DEN,1,8,5,102,1,0,0,0
Andrew Hawkins,CLE,1,13,6,97,1,0,0,0
Jeremy Maclin,PHI,1,11,9,93,1,0,0,0
Antonio Brown,PIT,1,11,9,91,1,0,0,0
Michael Crabtree,SF,1,8,3,85,1,0,0,0
Nate Washington,TEN,1,2,1,80,1,0,0,0
Roddy White,ATL,1,12,8,75,1,0,0,0
Randall Cobb,GB,1,13,10,129,0,0,0,0
Rueben Randle,NYG,1,15,7,112,0,0,0,0
Philly Brown,CAR,1,2,1,47,1,0,0,0
Jarvis Landry,MIA,1,5,5,46,1,0,0,0
Doug Baldwin,SEA,1,9,6,45,1,0,0,0
Malcom Floyd,SD,1,6,4,44,1,0,0,0
Demaryius Thomas,DEN,1,10,7,103,0,0,0,0
Odell Beckham Jr.,NYG,1,13,6,93,0,0,0,0
Taylor Gabriel,CLE,1,13,5,92,0,0,0,0
Kenny Stills,NO,1,4,4,32,1,0,0,0
Reggie Wayne,IND,1,9,5,91,0,0,0,0
Charles Johnson,MIN,1,7,6,87,0,0,0,0
Julian Edelman,NE,1,8,5,50,0,2,31,0
DeAndre Hopkins,HOU,1,8,4,80,0,0,0,0
Hakeem Nicks,IND,1,5,2,15,1,0,0,0
Chris Hogan,BUF,1,9,7,74,0,0,0,0
Davante Adams,GB,1,2,2,13,1,0,0,0
Brandon Gibson,MIA,1,3,2,13,1,0,0,0
Kendall Wright,TEN,1,8,4,70,0,0,0,0
John Brown,ARI,1,9,5,69,0,0,0,0
Andre Johnson,HOU,1,9,7,68,0,0,0,0
Keenan Allen,SD,1,13,8,63,0,0,0,0
Brandon LaFell,NE,1,4,3,62,0,0,0,0
Calvin Johnson,DET,1,12,5,59,0,0,0,0
Julio Jones,ATL,1,11,6,59,0,0,0,0
Marques Colston,NO,1,8,4,56,0,0,0,0
Brandin Cooks,NO,1,7,5,50,0,1,5,0
Brian Hartline,MIA,1,4,3,55,0,0,0,0
Jermaine Kearse,SEA,1,9,5,54,0,0,0,0
Anquan Boldin,SF,1,6,5,53,0,0,0,0
Golden Tate,DET,1,2,2,41,0,1,8,0
Justin Hunter,TEN,1,4,2,48,0,0,0,0
Kenbrell Thompkins,OAK,1,3,2,47,0,0,0,0
Harry Douglas,ATL,1,4,4,46,0,0,0,0
