,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Connor Barwin,PHI,1,5,0,3.0,0,0,1,0
J.J. Watt,HOU,1,4,3,2.0,3,0,0,1
Ziggy Ansah,DET,1,4,1,2.5,0,0,1,0
Rob Ninkovich,NE,1,4,2,3.0,0,0,0,0
Jurrell Casey,TEN,1,7,2,2.0,0,0,0,0
Olivier Vernon,MIA,1,5,2,1.5,0,0,1,0
Brandon Graham,PHI,1,4,0,1.0,0,0,1,0
George Johnson,DET,1,4,2,1.5,0,0,0,0
Muhammad Wilkerson,NYJ,1,6,2,1.0,0,0,0,0
Vinny Curry,PHI,1,2,0,2.0,0,0,0,0
Ndamukong Suh,DET,1,2,0,2.0,0,0,0,0
Everson Griffen,MIN,1,4,2,1.0,0,0,0,0
Ricky Jean-Francois,IND,1,3,1,1.0,1,0,0,0
Sheldon Richardson,NYJ,1,4,3,0.0,0,0,1,0
Cameron Wake,MIA,1,2,1,1.5,0,0,0,0
George Selvie,DAL,1,2,3,1.0,0,0,0,0
Mario Williams,BUF,1,3,1,1.0,0,0,0,0
Cameron Heyward,PIT,1,2,2,1.0,0,0,0,0
Desmond Bryant,CLE,1,2,1,1.0,0,0,0,0
Charles Johnson,CAR,1,2,1,1.0,0,0,0,0
Stephen Paea,CHI,1,1,1,1.0,1,0,0,0
Jared Allen,CHI,1,2,0,1.0,0,0,0,0
Brandon Bair,PHI,1,2,0,1.0,0,0,0,0
Leger Douzable,NYJ,1,2,0,1.0,0,0,0,0
Ziggy Hood,JAC,1,2,0,1.0,0,0,0,0
Damontre Moore,NYG,1,2,0,1.0,0,0,0,0
Brandon Williams,BAL,1,3,2,0.5,0,0,0,0
Ian Williams,SF,1,6,0,0.0,0,0,0,0
Kroy Biermann,ATL,1,3,1,0.5,0,0,0,0
Chris Clemons,JAC,1,1,1,1.0,0,0,0,0
Jared Crick,HOU,1,3,3,0.0,1,0,0,0
Bruce Irvin,SEA,1,1,1,1.0,0,0,0,0
Thomas Johnson,MIN,1,1,1,1.0,0,0,0,0
DeMarcus Ware,DEN,1,1,1,1.0,0,0,0,0
Kamerion Wimbley,TEN,1,1,1,1.0,0,0,0,0
Derek Wolfe,DEN,1,4,1,0.0,1,0,0,0
Karl Klug,TEN,1,1,0,1.0,0,0,0,0
Sen'Derrick Marks,JAC,1,4,0,0.0,1,0,0,0
Clinton McDonald,TB,1,5,0,0.0,0,0,0,0
Mike Neal,GB,1,1,0,1.0,0,0,0,0
C.J. Wilson,OAK,1,1,0,1.0,0,0,0,0
Fletcher Cox,PHI,1,4,1,0.0,0,0,0,0
Carlos Dunlap,CIN,1,4,1,0.0,0,0,0,0
Jason Jones,DET,1,2,1,0.5,0,0,0,0
Linval Joseph,MIN,1,2,1,0.5,0,0,0,0
Brian Robison,MIN,1,1,3,0.5,0,0,0,0
Kawann Short,CAR,1,4,1,0.0,0,0,0,0
Paul Soliai,ATL,1,2,1,0.5,0,0,0,0
Aaron Donald,STL,1,4,0,0.0,0,0,0,0
Johnathan Hankins,NYG,1,4,0,0.0,0,0,0,0
