,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Eli Manning,NYG,1,28,39,300,4,1,1,1,1
Andrew Luck,IND,1,29,41,393,4,1,1,-1,0
Aaron Rodgers,GB,1,22,28,302,4,0,1,8,0
Philip Rivers,SD,1,29,39,377,3,0,1,0,0
Matthew Stafford,DET,1,24,34,293,2,0,6,8,1
Joe Flacco,BAL,1,22,31,327,3,0,1,3,0
Ben Roethlisberger,PIT,1,29,40,314,3,0,2,4,0
Tony Romo,DAL,1,22,29,262,3,0,6,20,0
Matt Ryan,ATL,1,25,41,298,3,2,2,2,0
Drew Brees,NO,1,32,44,340,2,1,1,6,0
Ryan Tannehill,MIA,1,23,31,278,2,1,5,35,0
Alex Smith,KC,1,20,26,248,3,0,4,8,0
Colin Kaepernick,SF,1,17,30,218,2,1,7,58,0
Teddy Bridgewater,MIN,1,19,30,317,0,0,5,27,1
Jay Cutler,CHI,1,22,34,256,2,2,3,29,0
Mike Glennon,TB,1,21,42,302,2,1,0,0,0
EJ Manuel,BUF,1,21,44,225,2,2,1,3,0
Blake Bortles,JAC,1,29,37,253,1,2,5,24,0
Ryan Fitzpatrick,HOU,1,25,37,268,1,2,6,14,0
Kirk Cousins,WAS,1,19,33,257,1,4,1,12,0
Charlie Whitehurst,TEN,1,12,23,177,1,1,5,40,0
Geno Smith,NYJ,1,17,33,209,1,1,4,4,0
Cam Newton,CAR,1,14,25,197,1,0,2,7,0
Derek Carr,OAK,1,16,25,146,1,1,2,9,0
Tom Brady,NE,1,14,23,159,1,2,0,0,0
Matt McGloin,OAK,1,12,19,129,1,2,2,3,0
Nick Foles,PHI,1,21,43,195,0,2,1,1,0
Jimmy Garoppolo,NE,1,6,7,70,1,0,0,0,0
Derek Anderson,CAR,1,6,9,71,0,0,0,0,0
Zach Mettenberger,TEN,1,2,5,17,0,1,0,0,0
Jimmy Clausen,CHI,1,1,1,9,0,0,0,0,0
Christian Ponder,MIN,1,0,0,0,0,0,1,1,0
Matt Hasselbeck,IND,1,0,0,0,0,0,3,-2,0
Matt Moore,MIA,1,0,0,0,0,0,2,-2,0
