,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Stephen Gostkowski,NE,1,3,3,100.0%,6,6
Shayne Graham,NO,1,3,3,100.0%,5,5
Dan Carpenter,BUF,1,3,3,100.0%,4,5
Randy Bullock,HOU,1,3,3,100.0%,3,3
Mason Crosby,GB,1,3,3,100.0%,2,2
Billy Cundiff,CLE,1,3,3,100.0%,2,2
Matt Prater,DET,1,3,3,100.0%,1,1
Cairo Santos,KC,1,2,2,100.0%,4,4
Justin Tucker,BAL,1,3,3,100.0%,1,1
Adam Vinatieri,IND,1,2,2,100.0%,4,4
Graham Gano,CAR,1,3,3,100.0%,0,0
Mike Nugent,CIN,1,2,2,100.0%,3,3
Caleb Sturgis,MIA,1,2,2,100.0%,3,3
Kai Forbath,WAS,1,2,2,100.0%,2,2
Cody Parkey,PHI,1,2,2,100.0%,2,2
Steve Hauschka,SEA,1,2,2,100.0%,1,1
Sebastian Janikowski,OAK,1,2,2,100.0%,1,1
Patrick Murray,TB,1,2,2,100.0%,1,1
Josh Scobee,JAC,1,2,3,66.7%,1,1
Shaun Suisham,PIT,1,0,0,0.0%,7,7
Blair Walsh,MIN,1,2,3,66.7%,1,1
Chandler Catanzaro,ARI,1,1,1,100.0%,3,3
Dan Bailey,DAL,1,1,1,100.0%,2,2
Nick Folk,NYJ,1,1,1,100.0%,2,2
Brandon McManus,DEN,1,0,1,0.0%,5,5
Ryan Succop,TEN,1,1,1,100.0%,1,1
Matt Bryant,ATL,1,0,0,0.0%,3,3
Nick Novak,SD,1,0,0,0.0%,3,3
Robbie Gould,CHI,1,0,0,0.0%,1,1
Greg Zuerlein,STL,1,0,1,0.0%,1,1
