,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Calais Campbell,ARI,1,10,0,1.0,0,0,0,0
Mario Addison,CAR,1,2,1,2.5,0,0,0,0
Jason Pierre-Paul,NYG,1,2,2,1.5,2,0,0,0
Dwan Edwards,CAR,1,3,3,1.5,0,0,0,0
Clinton McDonald,TB,1,6,1,1.0,0,0,0,0
Jurrell Casey,TEN,1,2,0,2.0,0,0,0,0
C.J. Mosley,DET,1,2,0,2.0,0,0,0,0
Mike Daniels,GB,1,5,0,1.0,0,0,0,0
William Gholston,TB,1,4,2,1.0,0,0,0,0
Ropati Pitoitua,TEN,1,3,0,1.0,0,0,0,1
Michael Bennett,SEA,1,3,2,1.0,0,0,0,0
Johnathan Hankins,NYG,1,2,4,1.0,0,0,0,0
Jason Hatcher,WAS,1,1,2,1.5,0,0,0,0
Kyle Williams,BUF,1,3,1,1.0,0,0,0,0
Fletcher Cox,PHI,1,4,0,0.0,0,0,1,0
Shea McClellin,CHI,1,3,0,1.0,0,0,0,0
Rob Ninkovich,NE,1,3,0,1.0,0,0,0,0
Robert Ayers,NYG,1,2,1,1.0,0,0,0,0
Bennie Logan,PHI,1,6,1,0.0,0,0,0,0
Jared Allen,CHI,1,3,0,0.0,0,0,1,0
Ryan Davis,JAC,1,1,0,1.0,1,0,0,0
Dominique Easley,NE,1,0,0,0.0,1,1,0,0
Haloti Ngata,BAL,1,0,0,0.0,1,1,0,0
Eugene Sims,STL,1,3,2,0.5,0,0,0,0
Kamerion Wimbley,TEN,1,4,2,0.0,1,0,0,0
Quinton Coples,NYJ,1,1,1,1.0,0,0,0,0
Carlos Dunlap,CIN,1,1,1,1.0,0,0,0,0
Sheldon Richardson,NYJ,1,3,1,0.0,0,0,0,1
Jabaal Sheard,CLE,1,3,3,0.0,1,0,0,0
Justin Smith,SF,1,1,1,1.0,0,0,0,0
Tyson Alualu,JAC,1,3,4,0.0,0,0,0,0
Ziggy Ansah,DET,1,2,2,0.5,0,0,0,0
Stefan Charles,BUF,1,1,0,1.0,0,0,0,0
Akiem Hicks,NO,1,5,0,0.0,0,0,0,0
Thomas Johnson,MIN,1,1,0,1.0,0,0,0,0
Frank Kearse,WAS,1,1,0,1.0,0,0,0,0
Sen'Derrick Marks,JAC,1,4,2,0.0,0,0,0,0
Stephen Paea,CHI,1,1,0,1.0,0,0,0,0
Pat Sims,OAK,1,5,0,0.0,0,0,0,0
Paul Soliai,ATL,1,4,2,0.0,0,0,0,0
Mario Williams,BUF,1,1,0,1.0,0,0,0,0
Kroy Biermann,ATL,1,3,3,0.0,0,0,0,0
Cameron Heyward,PIT,1,2,5,0.0,0,0,0,0
Cedric Thornton,PHI,1,4,1,0.0,0,0,0,0
Olivier Vernon,MIA,1,3,3,0.0,0,0,0,0
Ricky Jean-Francois,IND,1,3,0,0.0,1,0,0,0
Tommy Kelly,ARI,1,3,0,0.0,1,0,0,0
Mathias Kiwanuka,NYG,1,2,0,0.5,0,0,0,0
Terrance Knighton,DEN,1,2,0,0.0,2,0,0,0
Tony McDaniel,SEA,1,3,2,0.0,0,0,0,0
