,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Coby Fleener,IND,1,7,7,144,0
Jermaine Gresham,CIN,1,3,2,13,2
Rob Gronkowski,NE,1,5,4,71,1
Larry Donnell,NYG,1,6,3,54,1
Garrett Graham,HOU,1,2,2,34,1
Chase Coffman,TEN,1,4,3,32,1
Heath Miller,PIT,1,5,5,71,0
Rhett Ellison,MIN,1,1,1,7,1
Tim Wright,NE,1,2,1,2,1
Tony Moeaki,SEA,1,1,1,1,1
Greg Olsen,CAR,1,11,5,61,0
Zach Ertz,PHI,1,6,4,55,0
Luke Willson,SEA,1,3,3,51,0
Jim Dray,CLE,1,2,2,46,0
Mychal Rivera,OAK,1,5,3,40,0
John Carlson,ARI,1,3,3,37,0
Travis Kelce,KC,1,5,3,37,0
Andrew Quarless,GB,1,2,2,35,0
Antonio Gates,SD,1,3,3,32,0
Charles Clay,MIA,1,6,5,31,0
Jacob Tamme,DEN,1,10,4,31,0
Martellus Bennett,CHI,1,4,4,29,0
Jimmy Graham,NO,1,3,3,29,0
Robert Housler,ARI,1,1,1,27,0
Levine Toilolo,ATL,1,4,2,23,0
Eric Ebron,DET,1,4,4,22,0
Jordan Reed,WAS,1,3,2,22,0
Brandon Myers,TB,1,1,1,21,0
Ed Dickson,CAR,1,2,2,20,0
Jared Cook,STL,1,5,3,19,0
Richard Rodgers,GB,1,2,1,19,0
Niles Paul,WAS,1,5,3,17,0
Gary Barnidge,CLE,1,5,1,11,0
Brent Celek,PHI,1,3,1,11,0
Vernon Davis,SF,1,5,1,7,0
Ladarius Green,SD,1,2,1,11,0
Dion Sims,MIA,1,2,2,11,0
Dante Rosario,CHI,1,2,1,7,0
Austin Seferian-Jenkins,TB,1,1,1,7,0
Lance Kendricks,STL,1,3,2,5,0
Troy Niklas,ARI,1,2,1,5,0
Chase Ford,MIN,1,2,1,4,0
David Johnson,SD,1,1,1,4,0
Brian Leonhardt,OAK,1,1,1,4,0
Phillip Supernaw,KC,1,1,1,3,0
Julius Thomas,DEN,1,3,2,3,0
Chris Gragg,BUF,1,1,1,2,0
Cooper Helfet,SEA,1,3,1,2,0
Scott Chandler,BUF,1,3,0,0,0
Jack Doyle,IND,1,1,0,0,0
