,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Justin Gilbert,CLE,1,3,1,0.0,1,1,0,0
Jim Leonhard,CLE,1,4,3,1.0,1,1,0,0
Chris Harris,DEN,1,5,0,1.0,1,1,0,0
Dwight Lowery,ATL,1,11,2,0.0,0,0,1,0
Orlando Scandrick,DAL,1,9,0,0.0,1,1,0,0
Bene Benwikere,CAR,1,6,2,0.0,2,1,0,0
Marqueston Huff,TEN,1,2,0,0.0,1,1,0,0
Charles Woodson,OAK,1,7,1,0.0,1,1,0,0
David Bruton,DEN,1,9,0,0.0,1,0,1,0
Morgan Burnett,GB,1,6,2,0.0,1,1,0,0
Rodney McLeod,STL,1,4,0,0.0,1,1,1,0
Corey Graham,BUF,1,4,1,0.0,1,1,0,1
R.J. Stanford,MIA,1,6,1,0.0,1,1,0,0
Patrick Peterson,ARI,1,8,0,1.0,0,0,0,0
Bradley Roby,DEN,1,9,0,0.0,0,0,1,0
Jaiquawn Jarrett,NYJ,1,8,0,0.0,0,0,1,0
Brandian Ross,OAK,1,5,0,0.0,1,1,0,0
James Ihedigbo,DET,1,4,1,0.0,1,1,0,0
Harrison Smith,MIN,1,5,3,1.0,0,0,0,0
Jahleel Addae,SD,1,6,2,0.0,0,0,1,0
Glover Quin,DET,1,2,0,0.0,3,1,0,0
Mike Adams,IND,1,3,1,0.0,1,1,0,0
Michael Griffin,TEN,1,9,1,0.0,0,0,0,0
Jason McCourty,TEN,1,9,1,0.0,0,0,0,0
D.J. Swearinger,HOU,1,3,1,0.0,1,1,0,0
Ryan Clark,WAS,1,8,2,0.0,0,0,0,0
Quintin Demps,NYG,1,3,0,0.0,1,1,0,0
Joe Haden,CLE,1,4,0,0.0,2,0,1,0
Reshad Jones,MIA,1,8,2,0.0,0,0,0,0
Darrin Walls,NYJ,1,2,0,0.0,2,1,0,0
Pierre Warren,NO,1,6,2,0.0,2,0,0,0
Ron Parker,KC,1,8,1,0.0,0,0,0,0
Robert Blanton,MIN,1,5,6,0.0,0,0,0,0
Stephon Gilmore,BUF,1,1,2,0.0,1,1,0,0
Brandon Harris,TEN,1,6,0,0.0,2,0,0,0
Malcolm Jenkins,PHI,1,5,0,0.0,1,0,0,1
Trumaine Johnson,STL,1,6,2,0.0,1,0,0,0
T.J. McDonald,STL,1,0,4,0.0,1,1,0,0
Mark Barron,STL,1,3,1,1.0,0,0,0,0
Buster Skrine,CLE,1,4,1,0.0,3,0,0,0
Antoine Bethea,SF,1,7,0,0.0,0,0,0,0
Marcus Burley,SEA,1,3,0,1.0,0,0,0,0
T.J. Carrie,OAK,1,7,0,0.0,0,0,0,0
Josh Gordy,IND,1,1,0,0.0,1,1,0,0
Mike Harris,NYG,1,3,0,1.0,0,0,0,0
Kemal Ishmael,ATL,1,5,2,0.0,1,0,0,0
Rashean Mathis,DET,1,4,2,0.0,2,0,0,0
Terence Newman,CIN,1,3,4,0.0,2,0,0,0
Josh Norman,CAR,1,4,0,0.0,0,0,1,0
Xavier Rhodes,MIN,1,4,0,0.0,3,0,0,0
