,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Aaron Rodgers,GB,1,18,27,315,6,0,0,0,0
Peyton Manning,DEN,1,31,44,340,5,2,0,0,0
Drew Brees,NO,1,28,47,292,3,2,2,7,0
Josh McCown,TB,1,27,43,301,2,2,5,39,0
Russell Wilson,SEA,1,10,17,172,0,2,14,107,1
Mark Sanchez,PHI,1,20,37,332,2,0,2,-1,0
Tony Romo,DAL,1,20,27,246,3,0,0,0,0
Cam Newton,CAR,1,25,40,306,2,3,2,6,0
Matthew Stafford,DET,1,25,40,280,2,1,2,-1,0
Ben Roethlisberger,PIT,1,30,43,343,1,2,1,0,0
Michael Vick,NYJ,1,10,18,132,2,0,8,39,0
Eli Manning,NYG,1,29,44,283,1,1,0,0,0
Derek Carr,OAK,1,30,47,192,2,2,0,0,0
Jay Cutler,CHI,1,22,37,272,1,2,2,0,0
Alex Smith,KC,1,17,29,177,0,0,4,25,1
Kyle Orton,BUF,1,29,48,259,1,0,2,3,0
Colin Kaepernick,SF,1,14,32,210,1,0,4,24,0
Matt Ryan,ATL,1,20,31,219,1,0,3,9,0
Blake Bortles,JAC,1,22,37,290,0,1,3,3,0
Austin Davis,STL,1,17,30,216,1,2,3,0,0
Ryan Tannehill,MIA,1,27,38,207,1,1,2,0,0
Zach Mettenberger,TEN,1,16,27,179,1,1,0,0,0
Joe Flacco,BAL,1,16,27,169,1,0,3,-2,0
Carson Palmer,ARI,1,25,36,241,0,1,1,1,0
Brian Hoyer,CLE,1,15,23,198,0,0,4,1,0
Drew Stanton,ARI,1,3,5,85,1,0,2,3,0
Andy Dalton,CIN,1,10,33,86,0,3,3,8,0
Brock Osweiler,DEN,1,2,5,13,0,0,3,2,0
Jimmy Clausen,CHI,1,1,3,11,0,0,0,0,0
Jason Campbell,CIN,1,3,6,7,0,0,0,0,0
Matt Flynn,GB,1,1,5,4,0,0,0,0,0
Brandon Weeden,DAL,1,1,1,8,0,0,3,-3,0
Matt Barkley,PHI,1,0,1,0,0,0,3,0,0
