,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Ben Roethlisberger,PIT,1,25,37,340,6,0,2,1,0
Andrew Luck,IND,1,25,46,354,4,0,2,5,0
Tom Brady,NE,1,33,53,333,4,1,2,4,0
Ryan Tannehill,MIA,1,24,34,288,3,0,4,47,0
Peyton Manning,DEN,1,34,57,438,2,2,2,3,0
Eli Manning,NYG,1,27,52,359,2,0,1,18,0
Drew Brees,NO,1,24,34,297,1,1,4,2,1
Carson Palmer,ARI,1,22,34,249,3,1,2,-2,0
Joe Flacco,BAL,1,30,45,303,2,1,1,2,0
Ryan Fitzpatrick,HOU,1,13,27,203,2,1,6,49,0
Brian Hoyer,CLE,1,21,34,300,2,2,3,-1,0
Mike Glennon,TB,1,17,33,260,2,2,3,17,0
Blake Bortles,JAC,1,22,33,247,2,1,4,10,0
Andy Dalton,CIN,1,19,31,233,2,2,2,11,0
Teddy Bridgewater,MIN,1,26,42,268,1,0,3,20,0
Robert Griffin III,WAS,1,18,28,251,1,1,7,24,0
Derek Carr,OAK,1,24,41,194,2,2,2,9,0
Mark Sanchez,PHI,1,15,22,202,2,2,5,5,0
Alex Smith,KC,1,21,31,199,2,0,0,0,0
Cam Newton,CAR,1,10,28,151,0,1,7,43,1
Colin Kaepernick,SF,1,22,33,237,1,0,5,14,0
Michael Vick,NYJ,1,21,28,196,1,0,4,18,0
Brandon Weeden,DAL,1,18,33,183,1,2,2,2,0
Russell Wilson,SEA,1,17,35,179,0,0,8,31,0
Nick Foles,PHI,1,10,13,124,1,1,1,1,0
Austin Davis,STL,1,13,24,105,1,2,2,9,0
Philip Rivers,SD,1,12,23,138,0,3,1,3,0
Matt Simms,NYJ,1,3,8,39,0,0,1,2,0
Matt Moore,MIA,1,2,4,21,0,0,0,0,0
Kellen Clemens,SD,1,1,3,10,0,0,0,0,0
