,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Martellus Bennett,CHI,1,8,5,54,2
Greg Olsen,CAR,1,7,5,69,1
Coby Fleener,IND,1,7,4,49,1
Josh Hill,NO,1,2,2,48,1
Rob Gronkowski,NE,1,6,3,44,1
Dwayne Allen,IND,1,6,4,43,1
Andrew Quarless,GB,1,5,4,43,1
Travis Kelce,KC,1,4,3,36,1
Lance Kendricks,STL,1,7,6,29,1
Daniel Fells,NYG,1,2,2,22,1
Jacob Tamme,DEN,1,3,2,22,1
Julius Thomas,DEN,1,4,3,17,1
Jared Cook,STL,1,9,7,75,0
Scott Chandler,BUF,1,5,5,74,0
Niles Paul,WAS,1,9,6,68,0
Ladarius Green,SD,1,6,4,64,0
Jace Amaro,NYJ,1,4,3,54,0
Jimmy Graham,NO,1,8,6,54,0
Delanie Walker,TEN,1,7,4,54,0
Heath Miller,PIT,1,5,4,51,0
Jason Witten,DAL,1,5,4,49,0
Larry Donnell,NYG,1,6,6,45,0
Garrett Graham,HOU,1,6,5,41,0
John Carlson,ARI,1,3,3,33,0
Brandon Myers,TB,1,5,5,33,0
Kyle Rudolph,MIN,1,5,3,27,0
Craig Stevens,TEN,1,2,2,26,0
Levine Toilolo,ATL,1,2,2,25,0
Jordan Cameron,CLE,1,3,1,23,0
Derek Carrier,SF,1,2,1,23,0
Anthony Fasano,KC,1,2,2,23,0
Charles Clay,MIA,1,4,3,21,0
Tim Wright,NE,1,1,1,20,0
James Casey,PHI,1,1,1,19,0
Jeff Cumberland,NYJ,1,6,3,18,0
Luke Stocker,TB,1,2,2,15,0
Zach Sudfeld,NYJ,1,1,1,15,0
Zach Ertz,PHI,1,3,2,14,0
Zach Miller,SEA,1,2,2,12,0
Dennis Pitta,BAL,1,3,3,12,0
Mychal Rivera,OAK,1,4,2,11,0
Jack Doyle,IND,1,3,3,10,0
Virgil Green,DEN,1,1,1,10,0
Ben Watson,NO,1,1,1,10,0
Owen Daniels,BAL,1,1,1,8,0
Antonio Gates,SD,1,1,1,8,0
Marcel Jensen,JAC,1,1,1,8,0
Dante Rosario,CHI,1,1,1,8,0
Gavin Escobar,DAL,1,1,1,7,0
Brian Leonhardt,OAK,1,1,1,7,0
