,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Adam Vinatieri,IND,1,4,4,100.0%,4,4
Stephen Gostkowski,NE,1,3,3,100.0%,4,4
Caleb Sturgis,MIA,1,3,4,75.0%,4,4
Steve Hauschka,SEA,1,3,4,75.0%,3,3
Billy Cundiff,CLE,1,3,3,100.0%,1,1
Kai Forbath,WAS,1,2,2,100.0%,2,2
Mike Nugent,CIN,1,1,1,100.0%,4,4
Cody Parkey,PHI,1,1,1,100.0%,4,4
Greg Zuerlein,STL,1,2,2,100.0%,1,1
Josh Brown,NYG,1,1,1,100.0%,3,3
Sebastian Janikowski,OAK,1,1,2,50.0%,3,3
Cairo Santos,KC,1,1,1,100.0%,3,3
Dan Bailey,DAL,1,1,2,50.0%,2,2
Patrick Murray,TB,1,1,3,33.3%,2,2
Josh Scobee,JAC,1,1,1,100.0%,2,2
Shaun Suisham,PIT,1,0,0,0.0%,5,5
Justin Tucker,BAL,1,1,1,100.0%,2,2
Chandler Catanzaro,ARI,1,0,0,0.0%,4,4
Phil Dawson,SF,1,1,2,50.0%,1,1
Nick Folk,NYJ,1,1,1,100.0%,1,1
Graham Gano,CAR,1,1,1,100.0%,1,1
Shayne Graham,NO,1,0,0,0.0%,4,4
Randy Bullock,HOU,1,0,1,0.0%,3,3
Brandon McManus,DEN,1,0,1,0.0%,3,3
Blair Walsh,MIN,1,0,0,0.0%,3,3
