,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Cody Parkey,PHI,1,5,6,83.3%,4,4
Billy Cundiff,CLE,1,4,5,80.0%,2,2
Steve Hauschka,SEA,1,4,5,80.0%,1,1
Adam Vinatieri,IND,1,3,3,100.0%,2,2
Stephen Gostkowski,NE,1,2,2,100.0%,4,4
Justin Tucker,BAL,1,2,2,100.0%,4,4
Shayne Graham,NO,1,2,2,100.0%,3,3
Nick Novak,SD,1,2,2,100.0%,3,3
Matt Prater,DET,1,3,4,75.0%,0,0
Dan Carpenter,BUF,1,1,1,100.0%,5,5
Mike Nugent,CIN,1,2,2,100.0%,2,2
Cairo Santos,KC,1,2,2,100.0%,2,2
Dan Bailey,DAL,1,1,1,100.0%,4,4
Randy Bullock,HOU,1,2,2,100.0%,1,1
Kai Forbath,WAS,1,2,2,100.0%,1,1
Brandon McManus,DEN,1,1,2,50.0%,4,4
Patrick Murray,TB,1,2,2,100.0%,1,1
Blair Walsh,MIN,1,2,2,100.0%,1,1
Matt Bryant,ATL,1,1,1,100.0%,3,3
Mason Crosby,GB,1,1,1,100.0%,3,3
Sebastian Janikowski,OAK,1,1,1,100.0%,3,3
Ryan Succop,TEN,1,1,1,100.0%,3,3
Greg Zuerlein,STL,1,1,2,50.0%,3,3
Phil Dawson,SF,1,1,1,100.0%,2,2
Josh Brown,NYG,1,0,0,0.0%,4,4
Caleb Sturgis,MIA,1,0,0,0.0%,4,4
Chandler Catanzaro,ARI,1,1,2,50.0%,0,0
Nick Folk,NYJ,1,1,1,100.0%,0,0
Robbie Gould,CHI,1,0,1,0.0%,3,3
Josh Scobee,JAC,1,1,1,100.0%,0,0
