,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Jeremy Hill,CIN,1,25,148,2,1,1,4,0
Le'Veon Bell,PIT,1,20,47,2,7,5,72,0
DeMarco Murray,DAL,1,31,81,2,1,1,3,0
Knile Davis,KC,1,9,11,1,2,1,70,1
Eddie Lacy,GB,1,15,97,1,2,2,11,0
Marshawn Lynch,SEA,1,21,91,1,2,1,7,0
Matt Asiata,MIN,1,11,36,1,7,7,50,0
Chris Polk,PHI,1,2,6,2,0,0,0,0
Mark Ingram,NO,1,17,59,1,0,0,0,0
Arian Foster,HOU,1,26,99,0,4,3,18,0
Joique Bell,DET,1,15,62,0,6,4,41,0
Giovani Bernard,CIN,1,15,79,0,3,3,24,0
Matt Forte,CHI,1,16,78,0,5,2,21,0
Doug Martin,TB,1,14,96,0,1,1,3,0
Fred Jackson,BUF,1,20,71,0,6,3,27,0
C.J. Anderson,DEN,1,29,85,0,2,2,11,0
Pierre Thomas,NO,1,2,11,0,5,5,83,0
Chris Thompson,WAS,1,3,12,0,4,3,22,1
Frank Gore,SF,1,11,29,1,0,0,0,0
Chris Ivory,NYJ,1,12,25,1,1,1,1,0
Kerwynn Williams,ARI,1,15,75,0,5,2,11,0
LeGarrette Blount,NE,1,8,17,1,2,2,7,0
Charles Sims,TB,1,7,34,0,3,3,45,0
Jonathan Stewart,CAR,1,22,73,0,1,1,6,0
Shane Vereen,NE,1,6,5,1,3,1,12,0
Latavius Murray,OAK,1,12,59,0,6,2,17,0
Rex Burkhead,CIN,1,3,14,1,0,0,0,0
Darren Sproles,PHI,1,3,5,1,2,2,8,0
Dan Herron,IND,1,11,60,0,3,2,12,0
Branden Oliver,SD,1,12,26,0,4,4,44,0
John Conner,NYJ,1,1,0,0,1,1,9,1
Jonas Gray,NE,1,11,62,0,1,1,7,0
LeSean McCoy,PHI,1,16,64,0,2,1,1,0
Toby Gerhart,JAC,1,13,54,0,2,2,9,0
Shonn Greene,TEN,1,16,50,0,1,1,13,0
Silas Redd,WAS,1,1,1,0,3,3,62,0
Stepfan Taylor,ARI,1,14,61,0,0,0,0,0
Bryce Brown,BUF,1,4,20,0,2,1,40,0
Bruce Miller,SF,1,2,4,0,6,4,56,0
Steven Jackson,ATL,1,11,46,0,1,1,11,0
Lamar Miller,MIA,1,16,47,0,2,1,10,0
Donald Brown,SD,1,5,18,0,6,4,38,0
Carlos Hyde,SF,1,6,55,0,0,0,0,0
Chris Johnson,NYJ,1,10,55,0,1,0,0,0
Jamaal Charles,KC,1,12,52,0,2,1,1,0
Andre Williams,NYG,1,18,44,0,4,1,9,0
Alfred Morris,WAS,1,14,49,0,0,0,0,0
Justin Forsett,BAL,1,16,48,0,2,1,-1,0
Ka'Deem Carey,CHI,1,1,4,0,3,3,39,0
Trent Richardson,IND,1,9,32,0,3,2,9,0
