,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Graham Gano,CAR,1,3,4,75.0%,4,4
Stephen Gostkowski,NE,1,3,4,75.0%,4,4
Mike Nugent,CIN,1,3,4,75.0%,4,4
Dan Bailey,DAL,1,3,3,100.0%,3,3
Chandler Catanzaro,ARI,1,3,3,100.0%,3,3
Justin Tucker,BAL,1,2,3,66.7%,6,6
Steve Hauschka,SEA,1,3,3,100.0%,2,2
Ryan Succop,TEN,1,3,3,100.0%,1,1
Mason Crosby,GB,1,2,2,100.0%,3,3
Cody Parkey,PHI,1,2,2,100.0%,3,3
Adam Vinatieri,IND,1,2,2,100.0%,3,3
Kai Forbath,WAS,1,2,2,100.0%,2,2
Robbie Gould,CHI,1,2,2,100.0%,2,3
Matt Bryant,ATL,1,2,2,100.0%,1,1
Billy Cundiff,CLE,1,1,1,100.0%,4,4
Phil Dawson,SF,1,1,1,100.0%,4,4
Brandon McManus,DEN,1,1,1,100.0%,4,4
Nick Novak,SD,1,1,1,100.0%,4,4
Caleb Sturgis,MIA,1,1,1,100.0%,3,3
Nick Folk,NYJ,1,1,1,100.0%,2,2
Patrick Murray,TB,1,1,2,50.0%,2,2
Matt Prater,DET,1,1,3,33.3%,2,2
Greg Zuerlein,STL,1,1,1,100.0%,2,2
Randy Bullock,HOU,1,0,1,0.0%,4,4
Sebastian Janikowski,OAK,1,0,1,0.0%,4,4
Shaun Suisham,PIT,1,1,1,100.0%,1,1
Blair Walsh,MIN,1,1,1,100.0%,0,0
Dan Carpenter,BUF,1,0,0,0.0%,2,2
Josh Scobee,JAC,1,0,1,0.0%,2,2
