,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Connor Barth,DEN,1,4,4,100.0%,5,5
Dan Bailey,DAL,1,3,3,100.0%,5,5
Josh Brown,NYG,1,4,4,100.0%,2,2
Nick Folk,NYJ,1,3,4,75.0%,4,4
Cairo Santos,KC,1,4,5,80.0%,1,1
Graham Gano,CAR,1,2,2,100.0%,4,4
Cody Parkey,PHI,1,2,2,100.0%,4,4
Jay Feely,CHI,1,3,4,75.0%,0,0
Stephen Gostkowski,NE,1,3,3,100.0%,0,0
Shaun Suisham,PIT,1,2,2,100.0%,3,3
Adam Vinatieri,IND,1,2,3,66.7%,3,3
Phil Dawson,SF,1,2,2,100.0%,2,2
Steve Hauschka,SEA,1,2,2,100.0%,2,2
Patrick Murray,TB,1,2,2,100.0%,2,2
Justin Tucker,BAL,1,2,2,100.0%,2,2
Blair Walsh,MIN,1,2,2,100.0%,1,1
Caleb Sturgis,MIA,1,1,2,50.0%,3,3
Greg Zuerlein,STL,1,2,2,100.0%,0,0
Dan Carpenter,BUF,1,1,1,100.0%,2,2
Chandler Catanzaro,ARI,1,1,1,100.0%,2,2
Kai Forbath,WAS,1,1,1,100.0%,2,2
Mike Nugent,CIN,1,1,2,50.0%,2,2
Josh Scobee,JAC,1,1,2,50.0%,2,2
Mason Crosby,GB,1,0,1,0.0%,4,4
Garrett Hartley,CLE,1,1,1,100.0%,1,1
Ryan Succop,TEN,1,1,1,100.0%,1,1
Matt Bryant,ATL,1,1,1,100.0%,0,0
Randy Bullock,HOU,1,0,0,0.0%,3,3
Shayne Graham,NO,1,0,0,0.0%,3,3
Sebastian Janikowski,OAK,1,0,0,0.0%,2,2
Matt Prater,DET,1,0,0,0.0%,2,2
Nick Novak,SD,1,0,1,0.0%,1,1
