,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,29,36,375,3,0,3,2,0
Matt Ryan,ATL,1,26,37,310,2,1,3,27,0
Tony Romo,DAL,1,22,31,265,3,0,4,-1,0
Alex Smith,KC,1,18,30,297,2,0,3,17,0
Eli Manning,NYG,1,23,34,250,3,0,0,0,0
Tom Brady,NE,1,21,35,287,2,1,3,18,0
Ryan Tannehill,MIA,1,29,47,346,1,2,3,21,0
Teddy Bridgewater,MIN,1,31,41,315,1,2,3,30,0
Robert Griffin III,WAS,1,18,27,236,1,0,5,46,0
Josh McCown,TB,1,13,28,154,1,1,2,21,1
Jay Cutler,CHI,1,17,31,194,2,3,1,20,0
Derek Anderson,CAR,1,25,40,277,1,0,5,14,0
Andrew Luck,IND,1,18,34,187,2,1,8,18,0
Ben Roethlisberger,PIT,1,27,35,360,0,0,2,-2,0
Philip Rivers,SD,1,24,41,232,1,2,1,3,0
Joe Flacco,BAL,1,20,30,221,1,0,4,8,0
Peyton Manning,DEN,1,14,20,233,1,0,3,-3,0
Derek Carr,OAK,1,27,56,222,1,0,1,0,0
Russell Wilson,SEA,1,12,24,168,1,1,5,27,0
Geno Smith,NYJ,1,16,28,179,1,0,4,16,0
Mark Sanchez,PHI,1,17,28,252,0,2,0,0,0
Shaun Hill,STL,1,20,39,229,0,1,3,11,0
Aaron Rodgers,GB,1,17,42,185,0,2,3,27,0
Matthew Stafford,DET,1,17,28,153,1,0,1,2,0
Colin Kaepernick,SF,1,11,19,141,0,0,9,46,0
Charlie Whitehurst,TEN,1,10,24,203,0,0,2,9,0
Blake Bortles,JAC,1,21,37,210,0,1,1,2,0
Kyle Orton,BUF,1,14,27,158,0,1,3,-4,0
Andy Dalton,CIN,1,14,24,117,0,1,2,3,0
Tom Savage,HOU,1,10,19,127,0,1,4,-4,0
Drew Stanton,ARI,1,12,20,109,0,0,2,3,0
Johnny Manziel,CLE,1,10,18,80,0,2,5,13,0
Colt McCoy,WAS,1,4,7,39,0,0,2,24,0
Jake Locker,TEN,1,6,11,57,0,0,2,7,0
Ryan Fitzpatrick,HOU,1,3,6,30,0,0,3,16,0
Ryan Lindley,ARI,1,4,10,30,0,0,0,0,0
Chase Daniel,KC,1,0,1,0,0,0,1,-1,0
Brock Osweiler,DEN,1,0,2,0,0,0,1,-1,0
