,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Randy Bullock,HOU,1,6,6,100.0%,1,1
Sebastian Janikowski,OAK,1,4,5,80.0%,2,2
Josh Brown,NYG,1,3,4,75.0%,4,4
Mike Nugent,CIN,1,3,3,100.0%,4,4
Matt Bryant,ATL,1,3,3,100.0%,3,3
Cairo Santos,KC,1,4,4,100.0%,0,0
Nick Folk,NYJ,1,3,4,75.0%,1,1
Kai Forbath,WAS,1,2,2,100.0%,3,3
Blair Walsh,MIN,1,2,2,100.0%,3,3
Greg Zuerlein,STL,1,2,2,100.0%,3,3
Mason Crosby,GB,1,2,3,66.7%,2,2
Nick Novak,SD,1,1,1,100.0%,5,5
Matt Prater,DET,1,2,3,66.7%,2,2
Shaun Suisham,PIT,1,2,2,100.0%,2,2
Garrett Hartley,CLE,1,2,2,100.0%,1,1
Ryan Succop,TEN,1,2,2,100.0%,1,1
Dan Bailey,DAL,1,0,1,0.0%,6,6
Dan Carpenter,BUF,1,1,1,100.0%,3,3
Chandler Catanzaro,ARI,1,2,2,100.0%,0,0
Cody Parkey,PHI,1,1,3,33.3%,3,3
Phil Dawson,SF,1,0,1,0.0%,5,5
Graham Gano,CAR,1,1,2,50.0%,2,2
Stephen Gostkowski,NE,1,1,1,100.0%,2,2
Steve Hauschka,SEA,1,0,3,0.0%,5,5
Caleb Sturgis,MIA,1,0,1,0.0%,5,5
Connor Barth,DEN,1,0,1,0.0%,4,4
Patrick Murray,TB,1,1,1,100.0%,0,0
Josh Scobee,JAC,1,0,0,0.0%,3,3
Jay Feely,CHI,1,0,0,0.0%,2,2
Shayne Graham,NO,1,0,0,0.0%,2,2
Justin Tucker,BAL,1,0,0,0.0%,1,1
Adam Vinatieri,IND,1,0,0,0.0%,1,1
