,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Greg Olsen,CAR,1,9,6,72,2
Julius Thomas,DEN,1,7,6,66,2
Antonio Gates,SD,1,6,4,60,2
Rob Gronkowski,NE,1,11,6,100,1
Tim Wright,NE,1,5,5,85,1
Dwayne Allen,IND,1,5,4,59,1
Jim Dray,CLE,1,4,3,25,1
Travis Kelce,KC,1,3,2,15,1
Owen Daniels,BAL,1,7,5,70,0
Chris Gragg,BUF,1,1,1,2,1
Michael Palmer,PIT,1,1,1,1,1
Jason Witten,DAL,1,5,4,59,0
Josh Hill,NO,1,3,3,53,0
Delanie Walker,TEN,1,4,4,47,0
Heath Miller,PIT,1,4,3,46,0
Jared Cook,STL,1,10,4,44,0
Ben Watson,NO,1,7,5,43,0
Zach Ertz,PHI,1,6,3,39,0
Jimmy Graham,NO,1,5,2,36,0
Cooper Helfet,SEA,1,2,1,36,0
Jordan Cameron,CLE,1,7,3,33,0
Anthony Fasano,KC,1,7,4,32,0
Chase Ford,MIN,1,4,3,31,0
Coby Fleener,IND,1,2,1,30,0
Luke Willson,SEA,1,4,3,28,0
Clay Harbor,JAC,1,4,3,22,0
Lance Kendricks,STL,1,1,1,22,0
Scott Chandler,BUF,1,6,4,21,0
Dante Rosario,CHI,1,4,3,20,0
Jace Amaro,NYJ,1,3,3,19,0
John Carlson,ARI,1,3,2,19,0
Andrew Quarless,GB,1,2,2,19,0
Chase Coffman,TEN,1,2,2,18,0
Martellus Bennett,CHI,1,5,3,17,0
Jacob Tamme,DEN,1,1,1,17,0
Derek Carrier,SF,1,2,2,16,0
Ed Dickson,CAR,1,2,2,16,0
MarQueis Gray,MIN,1,2,1,16,0
Brent Celek,PHI,1,3,3,15,0
Jermaine Gresham,CIN,1,4,2,15,0
Jeff Cumberland,NYJ,1,6,2,12,0
Rhett Ellison,MIN,1,2,1,12,0
Brandon Pettigrew,DET,1,3,2,12,0
Logan Paulsen,WAS,1,3,2,11,0
Austin Seferian-Jenkins,TB,1,3,1,11,0
Eric Ebron,DET,1,4,2,8,0
Ladarius Green,SD,1,1,1,8,0
Ryan Griffin,HOU,1,1,1,8,0
Niles Paul,WAS,1,2,1,6,0
Adrien Robinson,NYG,1,1,1,5,0
