,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,10,6,47,2
Tim Wright,NE,1,6,5,36,2
Delanie Walker,TEN,1,9,5,155,0
Anthony Fasano,KC,1,2,2,30,1
Jason Witten,DAL,1,6,4,30,1
Scott Chandler,BUF,1,3,3,28,1
Cooper Helfet,SEA,1,2,2,27,1
Rob Gronkowski,NE,1,10,5,78,0
James Casey,PHI,1,1,1,14,1
Travis Kelce,KC,1,5,4,67,0
Adrien Robinson,NYG,1,1,1,1,1
Richard Rodgers,GB,1,1,1,1,1
Andrew Quarless,GB,1,3,2,50,0
Kyle Rudolph,MIN,1,5,3,50,0
Brent Celek,PHI,1,7,5,48,0
Garrett Graham,HOU,1,7,4,41,0
Martellus Bennett,CHI,1,7,4,37,0
Daniel Fells,NYG,1,4,3,35,0
Ladarius Green,SD,1,3,2,34,0
Tony Moeaki,SEA,1,4,4,34,0
Jermaine Gresham,CIN,1,6,4,33,0
Dion Sims,MIA,1,5,4,31,0
Zach Ertz,PHI,1,6,4,30,0
Coby Fleener,IND,1,4,2,28,0
Jared Cook,STL,1,9,3,27,0
James Hanna,DAL,1,1,1,27,0
John Carlson,ARI,1,4,3,25,0
Larry Donnell,NYG,1,4,2,24,0
Gary Barnidge,CLE,1,3,2,23,0
Eric Ebron,DET,1,7,2,23,0
Josh Hill,NO,1,2,2,22,0
Vernon Davis,SF,1,5,3,21,0
Luke Willson,SEA,1,1,1,21,0
Levine Toilolo,ATL,1,3,2,17,0
Lance Kendricks,STL,1,2,1,16,0
Austin Seferian-Jenkins,TB,1,4,2,16,0
Antonio Gates,SD,1,2,2,14,0
Chase Ford,MIN,1,1,1,13,0
Lee Smith,BUF,1,1,1,12,0
Rhett Ellison,MIN,1,4,2,11,0
Chris Gragg,BUF,1,3,2,11,0
Niles Paul,WAS,1,2,1,11,0
Brandon Myers,TB,1,1,1,9,0
Jack Doyle,IND,1,3,2,8,0
Mychal Rivera,OAK,1,4,1,8,0
Owen Daniels,BAL,1,5,2,7,0
Dante Rosario,CHI,1,1,1,6,0
Luke Stocker,TB,1,2,1,6,0
Jeff Cumberland,NYJ,1,3,1,5,0
Ben Watson,NO,1,1,1,4,0
