,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Matt Bryant,ATL,1,4,4,100.0%,1,1
Mason Crosby,GB,1,2,2,100.0%,7,7
Brandon McManus,DEN,1,2,2,100.0%,5,5
Caleb Sturgis,MIA,1,3,3,100.0%,1,1
Phil Dawson,SF,1,2,2,100.0%,3,3
Cody Parkey,PHI,1,1,1,100.0%,6,6
Nick Folk,NYJ,1,2,3,66.7%,2,2
Steve Hauschka,SEA,1,1,1,100.0%,5,5
Matt Prater,DET,1,2,3,66.7%,2,2
Dan Bailey,DAL,1,1,2,50.0%,4,4
Dan Carpenter,BUF,1,2,2,100.0%,1,1
Chandler Catanzaro,ARI,1,1,2,50.0%,4,4
Shaun Suisham,PIT,1,2,3,66.7%,1,1
Billy Cundiff,CLE,1,1,2,50.0%,3,3
Shayne Graham,NO,1,1,1,100.0%,3,3
Josh Brown,NYG,1,1,1,100.0%,2,2
Sebastian Janikowski,OAK,1,1,1,100.0%,2,2
Patrick Murray,TB,1,1,1,100.0%,2,2
Cairo Santos,KC,1,1,1,100.0%,2,2
Graham Gano,CAR,1,0,0,0.0%,3,3
Mike Nugent,CIN,1,1,1,100.0%,0,0
Justin Tucker,BAL,1,0,0,0.0%,3,3
Robbie Gould,CHI,1,0,0,0.0%,2,2
Greg Zuerlein,STL,1,0,0,0.0%,2,2
Josh Scobee,JAC,1,0,0,0.0%,1,1
Ryan Succop,TEN,1,0,0,0.0%,1,1
