,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Connor Barth,DEN,1,5,5,100.0%,2,2
Matt Bryant,ATL,1,5,5,100.0%,2,2
Cody Parkey,PHI,1,4,4,100.0%,3,3
Justin Tucker,BAL,1,4,4,100.0%,3,3
Dan Carpenter,BUF,1,4,5,80.0%,2,2
Mason Crosby,GB,1,4,5,80.0%,2,2
Steve Hauschka,SEA,1,4,4,100.0%,1,1
Nick Novak,SD,1,2,2,100.0%,4,4
Matt Prater,DET,1,2,2,100.0%,4,4
Caleb Sturgis,MIA,1,3,4,75.0%,1,1
Shaun Suisham,PIT,1,3,4,75.0%,1,1
Greg Zuerlein,STL,1,1,1,100.0%,7,7
Randy Bullock,HOU,1,1,2,50.0%,6,6
Kai Forbath,WAS,1,2,2,100.0%,3,3
Nick Folk,NYJ,1,2,4,50.0%,1,1
Graham Gano,CAR,1,2,2,100.0%,1,1
Patrick Murray,TB,1,2,2,100.0%,1,1
Josh Scobee,JAC,1,2,2,100.0%,1,1
Adam Vinatieri,IND,1,0,0,0.0%,7,7
Blair Walsh,MIN,1,1,1,100.0%,4,4
Josh Brown,NYG,1,1,2,50.0%,3,3
Robbie Gould,CHI,1,1,1,100.0%,2,2
Shayne Graham,NO,1,0,0,0.0%,5,5
Dan Bailey,DAL,1,1,1,100.0%,1,1
Chandler Catanzaro,ARI,1,1,1,100.0%,1,1
Billy Cundiff,CLE,1,1,2,50.0%,1,1
Cairo Santos,KC,1,1,1,100.0%,1,1
Phil Dawson,SF,1,1,1,100.0%,0,0
Stephen Gostkowski,NE,1,0,1,0.0%,3,3
Ryan Succop,TEN,1,0,0,0.0%,3,3
Mike Nugent,CIN,1,0,0,0.0%,2,2
