,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Antoine Bethea,SF,1,7,1,0.0,2,1,0,0
Dre Kirkpatrick,CIN,1,2,0,0.0,2,2,0,0
Aqib Talib,DEN,1,3,1,0.0,3,1,0,0
Ryan Clark,WAS,1,13,2,0.0,1,0,0,0
Perrish Cox,SF,1,5,0,0.0,4,1,0,0
T.J. McDonald,STL,1,9,2,1.0,0,0,0,0
Marcus Williams,NYJ,1,5,2,0.0,3,1,0,0
Kareem Jackson,HOU,1,1,0,0.0,2,2,0,0
Orlando Scandrick,DAL,1,5,1,1.0,0,0,1,0
Eric Weddle,SD,1,8,2,0.0,0,0,1,0
Morgan Burnett,GB,1,9,1,0.5,0,0,0,0
Leonard Johnson,TB,1,7,1,0.0,1,0,1,0
Dwight Lowery,ATL,1,4,1,1.0,0,0,1,0
Robert McClain,ATL,1,4,1,0.0,2,1,0,0
A.J. Bouye,HOU,1,3,0,0.0,3,1,0,0
Reggie Nelson,CIN,1,5,0,0.0,1,1,0,0
Harrison Smith,MIN,1,5,0,0.0,1,1,0,0
Josh Norman,CAR,1,4,1,0.0,1,1,0,0
Brandian Ross,OAK,1,4,1,0.0,1,1,0,0
Desmond Trufant,ATL,1,4,1,0.0,1,1,0,0
Brock Vereen,CHI,1,4,1,0.0,1,1,0,0
Robert Blanton,MIN,1,9,2,0.0,0,0,0,0
Bashaud Breeland,WAS,1,3,2,0.0,1,1,0,0
Chris Culliver,SF,1,3,0,0.0,2,1,0,0
Tony Jefferson,ARI,1,7,0,0.0,0,0,1,0
Adam Jones,CIN,1,4,0,0.0,1,1,0,0
Rashaan Melvin,BAL,1,6,2,0.0,0,0,1,0
Ryan Mundy,CHI,1,3,0,0.0,2,1,0,0
Da'Norris Searcy,BUF,1,9,2,0.0,0,0,0,0
Charles Woodson,OAK,1,2,4,0.0,1,1,0,0
Bradley McDougald,TB,1,8,1,0.0,1,0,0,0
Richard Sherman,SEA,1,3,1,0.0,1,1,0,0
Darian Stewart,BAL,1,3,1,0.0,1,1,0,0
Pierre Desir,CLE,1,7,0,0.0,2,0,0,0
Marcus Gilchrist,SD,1,5,1,0.0,0,0,1,0
Kemal Ishmael,ATL,1,3,1,0.0,0,0,1,1
Malcolm Jenkins,PHI,1,3,3,0.0,1,0,1,0
Ron Brooks,BUF,1,8,0,0.0,0,0,0,0
Aaron Colvin,JAC,1,7,0,0.0,1,0,0,0
Rashean Mathis,DET,1,6,0,0.0,2,0,0,0
Mike Adams,IND,1,6,3,0.0,0,0,0,0
Nate Allen,PHI,1,1,1,0.0,1,1,0,0
Antwon Blake,PIT,1,6,1,0.0,1,0,0,0
David Bruton,DEN,1,2,3,0.0,1,0,1,0
Rashad Johnson,ARI,1,7,1,0.0,0,0,0,0
Terence Newman,CIN,1,6,1,0.0,1,0,0,0
Glover Quin,DET,1,1,1,0.0,1,1,0,0
Alterraun Verner,TB,1,6,3,0.0,0,0,0,0
D.J. Hayden,OAK,1,6,0,0.0,1,0,0,0
Will Hill,BAL,1,6,2,0.0,0,0,0,0
