,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Le'Veon Bell,PIT,1,26,185,2,9,6,50,1
DeMarco Murray,DAL,1,32,179,1,10,9,49,0
Joique Bell,DET,1,18,83,1,5,5,50,1
C.J. Anderson,DEN,1,21,58,3,0,0,0,0
Jamaal Charles,KC,1,10,91,1,4,2,20,1
Eddie Lacy,GB,1,13,73,1,9,5,33,1
Jonathan Stewart,CAR,1,20,155,1,1,0,0,0
Arian Foster,HOU,1,24,127,1,4,2,21,0
Andre Williams,NYG,1,24,131,1,5,3,16,0
Marshawn Lynch,SEA,1,23,86,0,5,5,27,1
James Starks,GB,1,10,75,1,2,2,26,0
Matt Forte,CHI,1,13,26,1,9,8,74,0
Justin Forsett,BAL,1,13,71,1,2,2,7,0
Steven Jackson,ATL,1,16,50,1,2,2,26,0
Marcel Reece,OAK,1,2,2,0,7,7,64,1
Isaiah Crowell,CLE,1,14,54,1,0,0,0,0
Kerwynn Williams,ARI,1,19,100,0,0,0,0,0
Fozzy Whittaker,CAR,1,3,5,0,1,1,26,1
Lamar Miller,MIA,1,12,53,0,5,5,36,0
Latavius Murray,OAK,1,23,76,0,2,2,9,0
LeGarrette Blount,NE,1,20,66,0,2,2,11,0
Chris Ivory,NYJ,1,16,73,0,2,1,4,0
Joseph Randle,DAL,1,1,17,1,0,0,0,0
Juwan Thompson,DEN,1,4,63,0,2,1,14,0
Alfred Blue,HOU,1,9,15,1,0,0,0,0
Fred Jackson,BUF,1,8,35,0,14,10,37,0
Dan Herron,IND,1,8,26,0,7,4,45,0
Bruce Miller,SF,1,0,0,0,1,1,8,1
Jeremy Hill,CIN,1,8,46,0,4,3,21,0
Chris Johnson,NYJ,1,16,53,0,2,2,13,0
Tre Mason,STL,1,20,66,0,2,0,0,0
Matt Asiata,MIN,1,19,54,0,4,3,10,0
Frank Gore,SF,1,12,63,0,0,0,0,0
Mike Tolbert,CAR,1,5,28,0,3,2,34,0
Mark Ingram,NO,1,10,43,0,2,2,13,0
Lorenzo Taliaferro,BAL,1,7,35,0,1,1,20,0
Terrance West,CLE,1,15,54,0,0,0,0,0
Pierre Thomas,NO,1,5,38,0,6,4,14,0
LeSean McCoy,PHI,1,17,50,0,0,0,0,0
Bernard Pierce,BAL,1,3,50,0,0,0,0,0
Donald Brown,SD,1,0,0,0,6,5,49,0
Benny Cunningham,STL,1,3,20,0,5,5,28,0
Ryan Mathews,SD,1,11,44,0,1,1,4,0
Silas Redd,WAS,1,1,8,0,4,3,36,0
Giovani Bernard,CIN,1,6,17,0,5,3,19,0
Toby Gerhart,JAC,1,5,19,0,3,2,16,0
Robert Hughes,ARI,1,1,-1,0,1,1,36,0
Reggie Bush,DET,1,8,26,0,6,4,8,0
Jacquizz Rodgers,ATL,1,3,20,0,3,1,14,0
Christine Michael,SEA,1,6,32,0,0,0,0,0
