,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Telvin Smith,JAC,1,10,3,0.0,0,0,0,2
D'Qwell Jackson,IND,1,5,8,1.0,0,0,0,1
Jelani Jenkins,MIA,1,9,2,1.0,0,0,0,0
Paul Kruger,CLE,1,3,0,2.0,0,0,1,0
Sio Moore,OAK,1,7,5,1.0,0,0,0,0
C.J. Mosley,BAL,1,9,0,1.0,0,0,0,0
Jerry Hughes,BUF,1,4,1,2.0,0,0,0,0
Trent Cole,PHI,1,4,0,2.0,0,0,0,0
Derrick Morgan,TEN,1,6,4,1.0,0,0,0,0
Elvis Dumervil,BAL,1,3,0,2.0,0,0,0,0
Rey Maualuga,CIN,1,4,2,0.0,1,1,0,0
Aldon Smith,SF,1,3,0,2.0,0,0,0,0
Rolando McClain,DAL,1,10,1,0.0,0,0,0,0
Mychal Kendricks,PHI,1,7,0,0.0,0,0,1,0
DeAndre Levy,DET,1,9,1,0.0,0,0,0,0
Nigel Bradham,BUF,1,6,4,0.0,1,0,0,0
Junior Galette,NO,1,4,0,1.0,1,0,0,0
Josh Mauga,KC,1,6,4,0.0,1,0,0,0
Terrell Suggs,BAL,1,4,2,1.0,0,0,0,0
Deone Bucannon,ARI,1,3,3,1.0,0,0,0,0
Miles Burris,OAK,1,8,1,0.0,0,0,0,0
Mason Foster,TB,1,7,1,0.0,1,0,0,0
Jerrell Freeman,IND,1,4,5,0.5,0,0,0,0
Kevin Minter,ARI,1,4,1,1.0,0,0,0,0
Alec Ogletree,STL,1,8,1,0.0,0,0,0,0
Justin Houston,KC,1,4,0,1.0,0,0,0,0
Alex Okafor,ARI,1,3,0,1.0,1,0,0,0
Craig Robertson,CLE,1,7,2,0.0,0,0,0,0
J.T. Thomas,JAC,1,4,6,0.0,1,0,0,0
Trent Murphy,WAS,1,4,1,0.0,0,0,1,0
Keenan Robinson,WAS,1,7,1,0.0,0,0,0,0
Akeem Ayers,NE,1,3,0,1.0,0,0,0,0
Chris Borland,SF,1,6,2,0.0,0,0,0,0
DeMario Davis,NYJ,1,6,2,0.0,0,0,0,0
Chad Greenway,MIN,1,5,4,0.0,0,0,0,0
James Laurinaitis,STL,1,6,2,0.0,0,0,0,0
Ty Powell,BUF,1,2,0,1.0,1,0,0,0
Vincent Rey,CIN,1,4,6,0.0,0,0,0,0
Tahir Whitehead,DET,1,7,0,0.0,0,0,0,0
Joplo Bartu,ATL,1,5,3,0.0,0,0,0,0
Dont'a Hightower,NE,1,5,3,0.0,0,0,0,0
Christian Jones,CHI,1,4,1,0.0,0,0,0,1
Ryan Kerrigan,WAS,1,2,1,1.0,0,0,0,0
Danny Lansanah,TB,1,6,1,0.0,0,0,0,0
Curtis Lofton,NO,1,6,1,0.0,0,0,0,0
Brandon Marshall,DEN,1,3,1,0.0,0,0,1,0
Koa Misi,MIA,1,6,1,0.0,0,0,0,0
Cornelius Washington,CHI,1,2,1,1.0,0,0,0,0
Wesley Woodyard,TEN,1,5,3,0.0,0,0,0,0
Anthony Barr,MIN,1,2,2,0.0,0,0,1,0
