,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Rob Gronkowski,NE,1,8,3,96,1
Josh Hill,NO,1,2,2,15,2
Owen Daniels,BAL,1,9,4,62,1
Travis Kelce,KC,1,6,5,59,1
Antonio Gates,SD,1,7,6,54,1
Greg Olsen,CAR,1,13,10,110,0
Delanie Walker,TEN,1,5,4,93,0
Jimmy Graham,NO,1,7,5,87,0
Dwayne Allen,IND,1,4,2,16,1
Kyle Rudolph,MIN,1,7,7,69,0
Jason Witten,DAL,1,9,7,69,0
Heath Miller,PIT,1,5,4,68,0
Charles Clay,MIA,1,7,6,59,0
Brent Celek,PHI,1,6,4,52,0
Mychal Rivera,OAK,1,12,7,39,0
Crockett Gillmore,BAL,1,3,2,37,0
Martellus Bennett,CHI,1,6,4,36,0
Ryan Hewitt,CIN,1,4,3,34,0
Zach Ertz,PHI,1,4,3,32,0
Coby Fleener,IND,1,5,2,32,0
Garrett Celek,SF,1,1,1,31,0
Julius Thomas,DEN,1,2,1,30,0
Scott Chandler,BUF,1,2,2,22,0
Jared Cook,STL,1,8,3,22,0
Jeff Cumberland,NYJ,1,2,2,22,0
Marcedes Lewis,JAC,1,3,2,22,0
Cory Harkey,STL,1,1,1,21,0
Jace Amaro,NYJ,1,1,1,20,0
Niles Paul,WAS,1,1,1,17,0
Daniel Fells,NYG,1,1,1,16,0
Jordan Reed,WAS,1,4,3,13,0
James Hanna,DAL,1,1,1,12,0
John Carlson,ARI,1,1,1,11,0
Larry Donnell,NYG,1,2,2,11,0
Eric Ebron,DET,1,2,1,11,0
Ryan Griffin,HOU,1,4,2,11,0
Lance Kendricks,STL,1,2,1,10,0
Rhett Ellison,MIN,1,2,2,9,0
Logan Paulsen,WAS,1,1,1,9,0
Chase Ford,MIN,1,1,1,7,0
MarQueis Gray,BUF,1,1,1,7,0
Andrew Quarless,GB,1,4,1,7,0
Darren Fells,ARI,1,4,1,6,0
Ben Watson,NO,1,1,1,5,0
Jordan Cameron,CLE,1,1,1,4,0
Dante Rosario,CHI,1,2,1,4,0
Levine Toilolo,ATL,1,2,1,4,0
Kevin Brock,CIN,1,1,1,2,0
Anthony Fasano,KC,1,1,1,2,0
Robert Housler,ARI,1,0,0,0,0
