,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Andrew Luck,IND,1,31,39,370,4,0,3,15,0
Kirk Cousins,WAS,1,30,48,427,3,1,3,5,0
Nick Foles,PHI,1,28,42,325,3,0,4,12,0
Austin Davis,STL,1,30,42,327,3,2,2,-1,0
Ryan Fitzpatrick,HOU,1,20,34,289,1,3,7,34,1
Matt Ryan,ATL,1,21,24,286,3,0,1,2,0
Russell Wilson,SEA,1,24,34,258,2,1,9,40,0
Peyton Manning,DEN,1,31,49,303,2,1,1,-1,0
Alex Smith,KC,1,19,25,186,3,0,2,17,0
Drew Brees,NO,1,27,35,293,2,0,3,-2,0
Blake Bortles,JAC,1,14,24,223,2,2,2,30,0
Philip Rivers,SD,1,18,25,256,2,0,2,11,0
Geno Smith,NYJ,1,26,43,316,1,2,3,20,0
Drew Stanton,ARI,1,18,33,244,2,0,6,16,0
Colin Kaepernick,SF,1,29,37,245,1,0,13,54,0
Jay Cutler,CHI,1,23,38,225,2,0,5,14,0
Tony Romo,DAL,1,18,23,217,2,1,3,14,0
Eli Manning,NYG,1,21,28,234,2,0,1,-1,0
Brian Hoyer,CLE,1,19,25,290,1,0,2,4,0
EJ Manuel,BUF,1,23,39,238,1,0,5,24,0
Ben Roethlisberger,PIT,1,22,30,196,2,0,1,1,0
Cam Newton,CAR,1,24,35,250,1,0,2,7,0
Joe Flacco,BAL,1,19,31,217,1,1,4,6,0
Ryan Tannehill,MIA,1,21,43,205,1,0,1,9,0
Tom Brady,NE,1,24,37,234,1,0,3,-7,0
Jake Locker,TEN,1,17,34,185,0,2,6,50,0
Matthew Stafford,DET,1,22,34,246,0,2,6,8,0
Aaron Rodgers,GB,1,16,27,162,1,0,0,0,0
Mike Glennon,TB,1,17,24,121,1,0,3,19,0
Teddy Bridgewater,MIN,1,12,20,150,0,0,6,27,0
Andy Dalton,CIN,1,15,23,169,0,1,3,3,0
Derek Carr,OAK,1,21,34,174,0,1,0,0,0
Derek Anderson,CAR,1,5,6,80,1,0,0,0,0
T.J. Yates,ATL,1,3,4,64,0,1,0,0,0
Matt Cassel,MIN,1,5,10,53,0,0,1,5,0
Josh McCown,TB,1,5,12,58,0,1,0,0,0
Chad Henne,JAC,1,4,7,33,0,0,0,0,0
Matt Hasselbeck,IND,1,2,4,20,0,0,1,-1,0
Michael Vick,NYJ,1,0,0,0,0,0,1,3,0
Jason Campbell,CIN,1,1,2,-3,0,0,0,0,0
Bruce Gradkowski,PIT,1,0,0,0,0,0,2,-2,0
