,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
DeAndre Hopkins,HOU,1,9,9,238,2,0,0,0
Calvin Johnson,DET,1,16,11,146,2,0,0,0
Donte Moncrief,IND,1,4,3,134,2,1,6,0
Julio Jones,ATL,1,12,10,189,1,0,0,0
Keenan Allen,SD,1,15,11,121,2,0,0,0
Kenny Stills,NO,1,6,5,162,1,0,0,0
Antonio Brown,PIT,1,12,8,97,2,0,0,0
Kendall Wright,TEN,1,9,7,132,1,0,0,0
Alshon Jeffery,CHI,1,13,9,71,2,0,0,0
Torrey Smith,BAL,1,8,6,65,2,0,0,0
Brandon LaFell,NE,1,7,5,38,2,0,0,0
DeSean Jackson,WAS,1,6,5,84,1,0,0,0
Eddie Royal,SD,1,10,9,81,1,0,0,0
Marqise Lee,JAC,1,8,6,75,1,0,0,0
Demaryius Thomas,DEN,1,13,6,63,1,0,0,0
T.Y. Hilton,IND,1,5,5,62,1,0,0,0
Davante Adams,GB,1,11,6,121,0,0,0,0
Nate Washington,TEN,1,9,5,61,1,0,0,0
A.J. Green,CIN,1,8,4,57,1,0,0,0
Harry Douglas,ATL,1,12,9,116,0,0,0,0
Andre Johnson,HOU,1,11,7,53,1,0,0,0
Jordy Nelson,GB,1,6,2,53,1,0,0,0
Jordan Matthews,PHI,1,5,4,51,1,0,0,0
Jeremy Maclin,PHI,1,10,8,108,0,0,0,0
Greg Jennings,MIN,1,6,5,45,1,0,0,0
Stedman Bailey,STL,1,6,5,100,0,0,0,0
Philly Brown,CAR,1,4,2,34,1,1,4,0
Tavon Austin,STL,1,5,2,11,0,2,24,1
Odell Beckham Jr.,NYG,1,8,7,90,0,1,4,0
Randall Cobb,GB,1,11,7,85,0,2,8,0
Golden Tate,DET,1,10,8,89,0,0,0,0
Miles Austin,CLE,1,9,7,86,0,0,0,0
Malcom Floyd,SD,1,6,3,85,0,0,0,0
Greg Salas,NYJ,1,0,0,0,0,1,20,1
Nick Toon,NO,1,2,2,17,1,0,0,0
Marques Colston,NO,1,5,3,16,1,0,0,0
Jaron Brown,ARI,1,9,7,75,0,0,0,0
Josh Gordon,CLE,1,13,7,75,0,0,0,0
Dez Bryant,DAL,1,7,4,73,0,0,0,0
Emmanuel Sanders,DEN,1,11,6,73,0,0,0,0
Robert Woods,BUF,1,7,4,71,0,0,0,0
Mike Wallace,MIA,1,11,6,69,0,0,0,0
Chris Hogan,BUF,1,4,2,8,1,0,0,0
Jarvis Landry,MIA,1,11,8,68,0,0,0,0
Preston Parker,NYG,1,4,2,6,1,0,0,0
James Wright,CIN,1,5,3,59,0,1,6,0
Ted Ginn Jr.,ARI,1,7,4,61,0,0,0,0
Markus Wheaton,PIT,1,9,5,61,0,0,0,0
Kelvin Benjamin,CAR,1,12,5,56,0,0,0,0
Michael Floyd,ARI,1,10,5,53,0,0,0,0
