,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Jonas Gray,NE,1,37,201,4,0,0,0,0
Jamaal Charles,KC,1,20,159,2,2,2,19,0
Le'Veon Bell,PIT,1,33,204,1,4,2,18,0
Eddie Lacy,GB,1,10,69,1,4,3,45,1
Matt Forte,CHI,1,26,117,0,6,6,58,0
Jeremy Hill,CIN,1,27,152,0,1,1,13,0
Alfred Blue,HOU,1,36,156,0,0,0,0,0
Alfred Morris,WAS,1,20,96,0,3,2,36,0
Marshawn Lynch,SEA,1,24,124,0,3,1,1,0
Roy Helu,WAS,1,0,0,0,6,6,57,1
C.J. Anderson,DEN,1,9,29,0,10,8,86,0
Joique Bell,DET,1,14,85,0,5,3,30,0
Frank Gore,SF,1,19,95,0,3,2,19,0
Tre Mason,STL,1,29,113,0,2,1,1,0
LeSean McCoy,PHI,1,23,88,0,1,1,18,0
Bishop Sankey,TEN,1,11,38,1,1,1,7,0
Lamar Miller,MIA,1,15,86,0,2,2,12,0
Mark Ingram,NO,1,23,67,0,7,7,30,0
Isaiah Crowell,CLE,1,14,61,0,4,2,30,0
Knile Davis,KC,1,5,10,1,1,1,8,0
Shane Vereen,NE,1,1,18,0,4,4,59,0
Ryan Mathews,SD,1,16,70,0,1,1,5,0
Bryce Brown,BUF,1,6,14,0,10,7,57,0
Rashad Jennings,NYG,1,18,59,0,7,4,8,0
Andre Ellington,ARI,1,19,42,0,4,4,24,0
Latavius Murray,OAK,1,4,43,0,4,3,16,0
Jerick McKinnon,MIN,1,8,38,0,7,4,20,0
Jonathan Grimes,HOU,1,13,54,0,0,0,0,0
Robert Hughes,ARI,1,1,2,0,1,1,49,0
Anthony Dixon,BUF,1,10,35,0,2,2,13,0
Steven Jackson,ATL,1,17,41,0,3,2,6,0
Charles Sims,TB,1,13,36,0,4,3,8,0
Darren Sproles,PHI,1,2,21,0,6,2,23,0
Branden Oliver,SD,1,13,36,0,3,1,3,0
Jonathan Stewart,CAR,1,7,24,0,3,3,15,0
Benny Cunningham,STL,1,2,7,0,4,4,31,0
Damien Williams,MIA,1,0,0,0,3,2,38,0
DeAngelo Williams,CAR,1,10,41,0,1,1,-3,0
Rex Burkhead,CIN,1,2,1,0,3,3,36,0
De'Anthony Thomas,KC,1,3,22,0,1,1,10,0
Travaris Cadet,NO,1,1,0,0,5,4,31,0
Carlos Hyde,SF,1,9,25,0,1,1,5,0
Devonta Freeman,ATL,1,6,28,0,0,0,0,0
Theo Riddick,DET,1,2,2,0,6,3,24,0
James Starks,GB,1,8,9,0,2,2,17,0
Silas Redd,WAS,1,4,16,0,3,2,9,0
Daniel Thomas,MIA,1,5,23,0,0,0,0,0
Dexter McCluster,TEN,1,1,5,0,2,1,17,0
Darren McFadden,OAK,1,8,21,0,3,0,0,0
Cedric Peerman,CIN,1,2,21,0,0,0,0,0
