,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Jeremy Hill,CIN,1,24,154,2,1,1,9,0
Marshawn Lynch,SEA,1,21,67,2,5,5,76,0
Matt Asiata,MIN,1,10,26,3,5,4,31,0
Mark Ingram,NO,1,30,100,2,2,1,10,0
Alfred Morris,WAS,1,19,92,2,3,2,17,0
Andre Ellington,ARI,1,21,95,0,4,4,39,1
Ronnie Hillman,DEN,1,10,16,1,10,7,47,1
Arian Foster,HOU,1,15,56,0,3,2,63,1
Denard Robinson,JAC,1,17,94,1,2,2,10,0
Jamaal Charles,KC,1,20,78,1,4,2,10,0
Shane Vereen,NE,1,11,29,0,10,5,38,1
LeSean McCoy,PHI,1,23,117,0,2,2,6,0
Bobby Rainey,TB,1,19,87,0,3,1,34,0
Le'Veon Bell,PIT,1,10,20,0,6,5,38,1
Lamar Miller,MIA,1,11,49,1,2,1,8,0
Chris Polk,PHI,1,8,50,1,0,0,0,0
Terrance West,CLE,1,15,48,0,1,1,2,1
Andre Williams,NYG,1,12,22,1,1,1,24,0
Justin Forsett,BAL,1,9,38,0,8,5,67,0
Chris Johnson,NYJ,1,11,69,0,3,2,32,0
DeMarco Murray,DAL,1,19,79,0,4,4,11,0
Ahmad Bradshaw,IND,1,7,50,0,5,3,29,0
Marion Grice,ARI,1,5,12,1,0,0,0,0
Peyton Hillis,NYG,1,4,20,0,6,5,50,0
Toby Gerhart,JAC,1,3,19,0,4,3,49,0
Jerick McKinnon,MIN,1,14,54,0,4,3,14,0
Darren McFadden,OAK,1,13,20,0,5,4,47,0
Darren Sproles,PHI,1,3,17,0,5,4,46,0
Lance Dunbar,DAL,1,3,9,0,2,2,52,0
Frank Gore,SF,1,14,49,0,3,1,9,0
Tre Mason,STL,1,19,65,0,2,1,-8,0
Lorenzo Taliaferro,BAL,1,7,21,0,3,3,34,0
Roy Helu,WAS,1,3,6,0,5,4,46,0
C.J. Anderson,DEN,1,3,18,0,4,3,33,0
Damien Williams,MIA,1,11,28,0,2,2,23,0
DeAngelo Williams,CAR,1,8,20,0,1,1,30,0
Robert Turbin,SEA,1,5,35,0,2,1,14,0
Benny Cunningham,STL,1,4,10,0,3,3,38,0
Jonathan Stewart,CAR,1,8,46,0,0,0,0,0
Trent Richardson,IND,1,7,33,0,2,2,9,0
Jonas Gray,NE,1,12,33,0,1,0,0,0
Ben Tate,CLE,1,10,3,0,4,4,29,0
Cedric Peerman,CIN,1,5,9,0,4,2,22,0
De'Anthony Thomas,KC,1,1,26,0,1,1,5,0
Travaris Cadet,NO,1,2,1,0,5,3,29,0
Donald Brown,SD,1,4,23,0,2,1,6,0
Michael Cox,NYG,1,2,27,0,0,0,0,0
Branden Oliver,SD,1,13,19,0,2,1,7,0
LeGarrette Blount,PIT,1,10,23,0,0,0,0,0
Carlos Hyde,SF,1,2,17,0,2,1,5,0
