,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Marshawn Lynch,SEA,1,10,113,2,0,0,0,0
Frank Gore,SF,1,26,158,1,0,0,0,0
Lamar Miller,MIA,1,19,92,1,7,5,58,0
Jeremy Hill,CIN,1,22,147,1,0,0,0,0
C.J. Anderson,DEN,1,18,83,1,10,8,55,0
Matt Asiata,MIN,1,16,58,2,4,3,19,0
Jonathan Stewart,CAR,1,24,122,0,4,2,7,1
LeSean McCoy,PHI,1,22,88,1,4,3,28,0
Eddie Lacy,GB,1,17,99,1,1,1,5,0
Reggie Bush,DET,1,7,54,1,7,6,44,0
Matt Forte,CHI,1,19,55,0,6,6,40,1
Joique Bell,DET,1,13,74,1,3,2,13,0
Devonta Freeman,ATL,1,5,36,1,4,3,48,0
Tre Mason,STL,1,13,76,1,1,1,7,0
Alfred Morris,WAS,1,21,83,1,0,0,0,0
Giovani Bernard,CIN,1,8,36,0,5,5,45,1
Jordan Todman,JAC,1,5,71,1,3,2,5,0
Leon Washington,TEN,1,4,11,0,7,7,62,1
Le'Veon Bell,PIT,1,20,63,1,2,1,9,0
Damien Williams,MIA,1,3,18,0,6,6,50,1
Darrel Young,WAS,1,2,2,2,1,1,3,0
Toby Gerhart,JAC,1,12,53,1,2,1,7,0
Arian Foster,HOU,1,25,96,0,4,1,23,0
DeMarco Murray,DAL,1,22,58,1,0,0,0,0
Mark Ingram,NO,1,13,38,1,3,3,17,0
Andre Williams,NYG,1,26,110,0,1,0,0,0
Latavius Murray,OAK,1,23,86,0,4,3,22,0
Fred Jackson,BUF,1,6,10,0,12,9,93,0
Orleans Darkwa,NYG,1,4,21,1,2,2,17,0
Branden Oliver,SD,1,13,53,0,5,3,28,0
Zurlon Tipton,IND,1,1,-3,0,4,4,23,1
Jamaal Charles,KC,1,9,29,0,7,5,48,0
Darren Sproles,PHI,1,4,24,0,9,6,43,0
Jonas Gray,NE,1,6,5,1,1,0,0,0
Jamize Olawale,OAK,1,0,0,0,1,1,1,1
Isaiah Crowell,CLE,1,16,55,0,0,0,0,0
Darren McFadden,OAK,1,9,54,0,2,1,0,0
Chris Ivory,NYJ,1,11,53,0,0,0,0,0
Bishop Sankey,TEN,1,14,44,0,2,1,9,0
Shane Vereen,NE,1,6,38,0,2,1,12,0
Joseph Randle,DAL,1,13,37,0,1,1,7,0
Stepfan Taylor,ARI,1,11,19,0,3,2,25,0
Ronnie Brown,SD,1,7,33,0,3,1,9,0
De'Anthony Thomas,KC,1,1,-6,0,7,6,47,0
Dan Herron,IND,1,7,3,0,4,3,37,0
Robert Turbin,SEA,1,10,38,0,0,0,0,0
Bilal Powell,NYJ,1,5,21,0,2,2,13,0
Chris Johnson,NYJ,1,10,30,0,1,1,3,0
Joe Banyard,MIN,1,5,23,0,3,2,9,0
Brandon Bolden,NE,1,5,32,0,0,0,0,0
