,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Russell Wilson,SEA,1,23,36,313,2,0,7,106,1
Peyton Manning,DEN,1,22,26,318,4,0,1,-1,0
Aaron Rodgers,GB,1,19,22,255,3,0,3,21,0
Ryan Tannehill,MIA,1,25,32,277,2,0,6,48,0
Tony Romo,DAL,1,17,23,279,3,1,2,5,0
Drew Brees,NO,1,28,45,342,2,1,1,13,0
Andrew Luck,IND,1,27,42,344,2,0,4,5,0
Eli Manning,NYG,1,21,33,248,3,0,1,11,0
Tom Brady,NE,1,20,37,261,3,0,0,0,0
Matthew Stafford,DET,1,27,40,299,2,2,2,1,0
Ryan Fitzpatrick,HOU,1,21,32,262,2,1,5,16,0
Kyle Orton,BUF,1,31,43,283,2,1,1,-1,0
Ben Roethlisberger,PIT,1,23,33,265,2,0,4,3,0
Joe Flacco,BAL,1,16,25,258,2,2,1,4,0
Carson Palmer,ARI,1,22,31,253,2,1,0,0,0
Geno Smith,NYJ,1,20,34,226,1,0,7,37,0
Colin Kaepernick,SF,1,24,39,263,1,1,3,18,0
Cam Newton,CAR,1,17,31,205,1,1,7,41,0
Philip Rivers,SD,1,17,31,205,2,1,0,0,0
Alex Smith,KC,1,19,28,221,1,0,6,29,0
Charlie Whitehurst,TEN,1,17,26,160,2,1,2,10,0
Matt Ryan,ATL,1,29,44,228,1,0,1,7,0
Blake Bortles,JAC,1,17,31,159,1,3,5,37,0
Austin Davis,STL,1,18,21,152,2,0,2,-2,0
Jay Cutler,CHI,1,21,34,190,1,1,2,3,0
Teddy Bridgewater,MIN,1,15,26,157,1,2,1,7,0
Colt McCoy,WAS,1,11,12,128,1,0,2,3,0
Brian Hoyer,CLE,1,16,41,215,0,1,1,-1,0
Derek Carr,OAK,1,16,28,173,0,0,2,2,0
Kirk Cousins,WAS,1,10,16,139,0,1,0,0,0
Blaine Gabbert,SF,1,3,7,38,1,0,1,5,0
Andy Dalton,CIN,1,18,38,126,0,0,1,0,0
Derek Anderson,CAR,1,5,8,43,1,0,0,0,0
Michael Vick,NYJ,1,0,0,0,0,0,1,6,0
Brock Osweiler,DEN,1,0,1,0,0,0,3,0,0
Matt Flynn,GB,1,0,2,0,0,0,3,-3,0
