,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,13,10,76,2
Julius Thomas,DEN,1,7,6,63,2
Jared Cook,STL,1,3,2,84,1
Mychal Rivera,OAK,1,8,6,64,1
Greg Olsen,CAR,1,7,6,119,0
Brent Celek,PHI,1,6,5,116,0
Jason Witten,DAL,1,7,5,33,1
Austin Seferian-Jenkins,TB,1,9,5,30,1
Andrew Quarless,GB,1,5,2,10,1
Jace Amaro,NYJ,1,5,2,6,1
Brandon Bostick,GB,1,2,1,1,1
Gary Barnidge,CLE,1,4,2,46,0
Martellus Bennett,CHI,1,6,2,45,0
Charles Clay,MIA,1,9,7,45,0
Delanie Walker,TEN,1,5,3,37,0
John Carlson,ARI,1,4,2,33,0
Cooper Helfet,SEA,1,2,1,32,0
Lance Kendricks,STL,1,2,2,30,0
Jermaine Gresham,CIN,1,6,3,29,0
Heath Miller,PIT,1,3,3,29,0
Clay Harbor,JAC,1,4,3,28,0
Larry Donnell,NYG,1,6,4,26,0
Owen Daniels,BAL,1,4,2,20,0
Travis Kelce,KC,1,2,2,19,0
Scott Chandler,BUF,1,6,3,17,0
Zach Ertz,PHI,1,3,1,17,0
Troy Niklas,ARI,1,1,1,17,0
Gavin Escobar,DAL,1,1,1,14,0
Nic Jacobs,JAC,1,1,1,14,0
Ben Watson,NO,1,3,1,13,0
Daniel Fells,NYG,1,1,1,12,0
Robert Housler,ARI,1,2,1,11,0
Vernon Davis,SF,1,4,1,8,0
Ed Dickson,CAR,1,1,1,7,0
Anthony Fasano,KC,1,1,1,7,0
Richard Rodgers,GB,1,3,2,6,0
Brian Leonhardt,OAK,1,1,1,5,0
Kevin Brock,CIN,1,2,1,4,0
Dante Rosario,CHI,1,1,1,3,0
Chase Coffman,TEN,1,3,0,0,0
Kellen Davis,DET,1,1,0,0,0
Jim Dray,CLE,1,1,0,0,0
Crockett Gillmore,BAL,1,1,0,0,0
Chris Gragg,BUF,1,1,0,0,0
Harold Hoskins,MIA,1,1,0,0,0
Bear Pascoe,ATL,1,1,0,0,0
Lee Smith,BUF,1,1,0,0,0
Brandon Williams,CAR,1,1,0,0,0
