,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Steve Smith,BAL,1,10,7,139,2,0,0,0
Antonio Brown,PIT,1,11,7,131,2,0,0,0
Randall Cobb,GB,1,9,7,113,2,0,0,0
Jordy Nelson,GB,1,12,10,108,2,0,0,0
Eddie Royal,SD,1,7,5,105,2,0,0,0
Terrance Williams,DAL,1,7,6,77,2,0,0,0
Brandon LaFell,NE,1,10,6,119,1,0,0,0
Reggie Wayne,IND,1,8,7,119,1,0,0,0
Mike Williams,BUF,1,6,2,84,1,0,0,0
Kelvin Benjamin,CAR,1,9,5,76,1,0,0,0
Keenan Allen,SD,1,11,10,135,0,0,0,0
Andre Holmes,OAK,1,12,5,74,1,0,0,0
Roddy White,ATL,1,14,4,73,1,0,0,0
Jarius Wright,MIN,1,10,8,132,0,0,0,0
Devin Hester,ATL,1,7,5,70,1,0,0,0
Mike Evans,TB,1,7,4,65,1,0,0,0
Jeremy Ross,DET,1,2,2,65,1,0,0,0
DeAndre Hopkins,HOU,1,6,5,64,1,0,0,0
Golden Tate,DET,1,10,8,116,0,0,0,0
Torrey Smith,BAL,1,3,2,53,1,0,0,0
Alshon Jeffery,CHI,1,7,4,39,1,1,12,0
T.Y. Hilton,IND,1,10,6,105,0,1,5,0
Victor Cruz,NYG,1,10,6,108,0,0,0,0
Eric Decker,NYJ,1,10,4,48,1,0,0,0
Dez Bryant,DAL,1,6,3,44,1,0,0,0
Malcom Floyd,SD,1,4,3,39,1,0,0,0
Louis Murphy,TB,1,11,6,99,0,0,0,0
Mike Wallace,MIA,1,4,3,35,1,1,0,0
Vincent Jackson,TB,1,10,3,32,1,0,0,0
Sammy Watkins,BUF,1,9,4,30,1,0,0,0
Rueben Randle,NYG,1,10,8,89,0,0,0,0
James Jones,OAK,1,6,6,83,0,0,0,0
Julio Jones,ATL,1,8,6,82,0,0,0,0
Dwayne Bowe,KC,1,6,5,81,0,0,0,0
Jerricho Cotchery,CAR,1,7,5,80,0,0,0,0
Andre Roberts,WAS,1,5,1,18,1,1,2,0
Brandon Marshall,CHI,1,6,2,19,1,0,0,0
Brian Hartline,MIA,1,7,6,74,0,0,0,0
Greg Jennings,MIN,1,4,3,72,0,0,0,0
Steve Johnson,SF,1,2,1,12,1,0,0,0
Andre Johnson,HOU,1,7,6,71,0,0,0,0
Allen Hurns,JAC,1,6,5,68,0,0,0,0
Jeremy Maclin,PHI,1,16,5,68,0,0,0,0
Anquan Boldin,SF,1,7,5,62,0,0,0,0
Kenny Stills,NO,1,3,2,62,0,0,0,0
Greg Salas,NYJ,1,4,2,60,0,0,0,0
Kendall Wright,TEN,1,8,5,55,0,0,0,0
Riley Cooper,PHI,1,8,6,54,0,0,0,0
Marques Colston,NO,1,10,5,50,0,0,0,0
Markus Wheaton,PIT,1,6,4,57,0,1,-7,0
