,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Josh Brown,NYG,1,5,5,100.0%,3,3
Nick Folk,NYJ,1,5,5,100.0%,1,1
Mason Crosby,GB,1,3,3,100.0%,4,5
Dan Bailey,DAL,1,2,2,100.0%,5,5
Graham Gano,CAR,1,2,2,100.0%,5,5
Stephen Gostkowski,NE,1,3,3,100.0%,2,2
Matt Prater,DET,1,2,2,100.0%,4,4
Shaun Suisham,PIT,1,2,2,100.0%,4,4
Randy Bullock,HOU,1,2,2,100.0%,3,3
Chandler Catanzaro,ARI,1,3,5,60.0%,0,0
Matt Bryant,ATL,1,1,2,50.0%,4,4
Phil Dawson,SF,1,2,3,66.7%,1,1
Josh Scobee,JAC,1,2,2,100.0%,1,1
Caleb Sturgis,MIA,1,2,2,100.0%,1,1
Adam Vinatieri,IND,1,2,2,100.0%,1,1
Connor Barth,DEN,1,1,1,100.0%,3,3
Billy Cundiff,CLE,1,1,2,50.0%,3,3
Steve Hauschka,SEA,1,1,1,100.0%,3,3
Sebastian Janikowski,OAK,1,1,1,100.0%,3,3
Blair Walsh,MIN,1,1,3,33.3%,3,3
Dan Carpenter,BUF,1,1,1,100.0%,2,2
Patrick Murray,TB,1,1,1,100.0%,2,2
Shayne Graham,NO,1,1,2,50.0%,1,1
Justin Tucker,BAL,1,0,0,0.0%,4,4
Greg Zuerlein,STL,1,1,3,33.3%,1,2
Mike Nugent,CIN,1,0,0,0.0%,3,3
Jay Feely,CHI,1,0,0,0.0%,2,3
Nick Novak,SD,1,0,0,0.0%,2,2
Cody Parkey,PHI,1,0,0,0.0%,2,2
Cairo Santos,KC,1,0,0,0.0%,2,2
Ryan Succop,TEN,1,0,1,0.0%,1,1
